Nr.;Titel;Story;Perspektive;Perspektive;Perspektive;Perspektive;Schlagwörter;Schlagwörter;Schlagwörter;Schlagwörter;TA 1;TA 2;TA 3;TA 4;TA 5;TA 6;4Memory Website URL;Notiz;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings;MaxQDA-Codings
31;Geo-Referenzierung von Orten und historischen Entitäten;Unsere Arbeitsgruppe führt eine semi-automatische prosopgraphische Auswertung durch, in welcher wir spätmittelalterliche Gelehrtenkarrieren untersuchen. Geeignete Quellen hierfür liegen bereits in digitalisierter Form vor, teilweise sind sie mit TEI oder vergleichbaren Formaten ausgezeichnet. Die Daten sind entweder über eine Schnittstelle abfragbar oder als Data-Dump verfügbar. Innerhalb der entsprechenden Texte werden verschiedene Orte genannt, deren Ortsnamen durch die mittelalterlichen Schreiber der Texte in einer nicht normierten latinisierten Schreibweise aufgezeichnet wurden. Dadurch können wir die genannten Orte aktuell noch nicht automatisch referenzieren. Zur Identifikation der Orte haben wir nach einer georeferenzierte Ortsnamen-Datenbank gesucht, welche die historischen Schreibweisen eines Ortsnamen in lateinischer und deutscher Sprache enthält. Dabei stießen wir auf die Ortsnamen-Datenbank der Monumenta Germaniae Historica (http://www.mgh.de/dmgh/imgh/geo/), die für die darin enthaltenen Orte die entsprechenden Geo-Daten und deren unterschiedlichen lateinischen Schreibweisen bereit stellt. Allerdings mussten wir feststellen, dass die MGH-Datenbank nur einen Bruchteil der in unseren Texten aufgeführten Orte enthält. Zudem stellte sich bei unserer Arbeit heraus, dass die Datenbank die darin enthaltenen Namensformen für Suchanfragen nicht expandiert, d.h. die Suche erfolgt nur in den ausgeschriebenen Namensformen und nicht in Namensformen, die mit einer abweichenden Wortendung angegeben sind. In einem zweiten Schritt wollten wir dann den Teil der durch die MGH-Datenbank referenzierten Orte auf einer Karte abtragen. Dabei mussten wir feststellen, dass es hierfür kein geeignetes historisches Kartenmaterial in digitalisierter Form vorhanden ist. Soweit wir beurteilen können, gibt es keine mit Open Access verfügbaren Karten für Mitteleuropa, welche die unterschiedlichen historische Zeitstufen der Grenzen der weltlichen und kirchlichen Entitäten abbilden. Die meisten Studien nutzen entweder moderne Google Maps-Karten oder Scans von historischen Atlanten.;dataprocessing;datapublication;0;0;Geo-Referenzierung;historische Ortsnamen;digitale historische Karten;0;1;2;3;;;;https://4memory.de/problem-stories-overview/31-geo-referenzierung-von-orten-und-historischen-entitaten/;;Datentypen;;;;;Langzeitverfügbarkeit;;Mehrsprachigkeit;Methoden;;;;;Standards
32;Übersicht über ältere Familiendatenbanken aus der akademischen Forschung;Ich bin Vertreter eines überregionalen Arbeitskreises . Etliche unserer Mitglieder haben schon seit den 1970er Jahren mit personen-, haushalts- und familienbezogenen Mikrodaten geforscht. Die entsprechenden Daten liegen in unterschiedlichen Formaten vor, unter anderem in TUSTEP, Kleio, dBase, SPSS und Access. Der Arbeitskreis kann einerseits entsprechende Daten lokalisieren, andererseits auch Wissen darüber zusammentragen, wie die damaligen Projekte gearbeitet haben. Wer kann uns dabei helfen, diese Daten für die aktuelle Forschung nutzbar zu machen und dabei insbesondere mithilfe von Normdaten anschlussfähig für neue Datenbestände zu machen?;datareuse;0;0;0;Historische Demographie;personenbezogene Daten;0;0;;2;;4;;;https://4memory.de/problem-stories-overview/32-ubersicht-uber-altere-familiendatenbanken-aus-der-akademischen-forschung/;;;;;;;;Lizenzen;;Methoden;;;;;Standards
33;Thematische Portale und Materialsammlungen ohne institutionelle Anbindung bewahren;Viele ForscherInnen und Forscher betreiben Blogseiten oder thematische Portale, auf denen sie Material aus Ihrer Forschungsarbeit oder aus dem Kontext ihrer Qualifikationsarbeiten anbieten. Gerade in den Geisteswissenschaften sind häufige Standort- und Beschäftigungswechsel keine Seltenheit. Meist kümmern sich diese Personen in privater Initiative um die Forschungsdaten, Spezialbibliographien und thematischen Portale, da sie sich mit den Themen identifizieren und profilieren. Aber was passiert, wenn jemand aus Altersgründen oder Krankheit sich nicht mehr kümmern kann? Nicht alle wissenschaftlichen Blogseiten können und müssen aufbewahrt werden, aber viele der oben beschriebenen Ressourcen sind eine wichtige Quelle für weiterführende Arbeiten und können anderen ForscherInnen viel Arbeit und Zeit sparen, die sich mit verwandten Themen und Fragestellungen beschäftigen. Wer kümmert sich also um diese Portale und Materialsammlungen, die ohne direkte institutionelle Anbindung exisitieren und gepflegt werden? Wer entscheidet, was bewahrt und was gelöscht bzw. der Wayback Machine überlassen werden kann? Wie können wertvolle Ressourcen für die zukünftige Forschung bewahrt werden?;datapublication;datareuse;0;0;Wissenschaftliche Blogs;Thematische Portale;Forschungsdaten ohne Institutionen;0;1;;3;;;6?;https://4memory.de/problem-stories-overview/33-thematische-portale-und-materialsammlungen-ohne-institutionelle-anbindung-bewahren/;Nachhaltigkeit;;;;Kompetenzen;;;;;;;;;;
34;Arbeitsgeschichte: Prozess und Alltag in historischer Perspektive;Ein internationales Projekt mit starker außereuropäischer Beteiligung untersucht die Geschichte der Arbeit eines außereuropäischen Landes seit dem 20. Jahrhundert als Prozess- und Erfahrungsgeschichte. Zum einen beinhaltet dies die Untersuchung des Wandels von Arbeitsprozessen, Arbeitswissen und betrieblicher Arbeitsorganisation seit den Anfängen des industriellen Kapitalismus. Zum anderen liegt ein Forschungsschwerpunkt auf der Alltagsgeschichte der modernen Arbeit anhand oraler und schriftlicher Selbstzeugnisse. Da auch die Quellengrundlage auch auf vielen außereuropäischen, nichtlateinischen Sprachen basiert, entsteht im Rahmen des Projekts ein in seiner Art einzigartiger, vielsprachiger Archivbestand. Er soll nicht nur die Projektarbeit dokumentieren, sondern auch der wissenschaftlichen Öffentlichkeit als Ressource zu weiteren Forschungen Open Access zur Verfügung gestellt werden. Das wissenschaftliche Design des Projekts ist fixiert. Doch es gibt offene Fragen im Hinblick auf die Aufnahme, Erschließung und Bereitstellung des mehrsprachigen Archivbestands für eine frei verfügbare digitale Präsentation: • Welche technischen Werkzeuge sind für die Erstellung und Publikation der Daten notwendig? • Gibt es hierfür Standards und Formate, die sich besonders dafür eignen? • Wie kann das Projekt mit Fragen des Datenschutzes bei personenbezogenen Daten umgehen? Hat dies Auswirkungen auf die Lizenzierung, gerade weil eine freie Verfügbarkeit der Daten angestrebt wird? • Was muss man im Projekt beachten, damit die Daten für eine langfristige Zugänglichkeit und eine nachhaltige Speicherung aufbereitet werden?;dataprocessing;datacollection;0;0;Nicht lateinische Schriften;Datenschutz;Erschließung und Bereitstellung eines mehrsprachigen Archivbestands;0;1;;3;4;;;https://4memory.de/problem-stories-overview/34-arbeitsgeschichte-prozess-und-alltag-in-historischer-perspektive/;;Datentypen;;Internationalität;;Kuration;Langzeitverfügbarkeit;Lizenzen;Mehrsprachigkeit;;;;;Softwarepflege;Standards
35;Bildungs- und Armutsgeschichte im außereuropaeischen Raum;Die Erforschung der Geschichte des betreffenden Landes steht vor grundsätzlichen Problemen hinsichtlich der Quellenlage. Zu nennen ist hier eine langjährige Vernachlässigung der einschlägigen Archivbestände, dann eine unzureichende Finanzierunggrundlage für die Sammlung, sachgerechte Unterbringung und vor allem systematische Katalogisierung und archivarische Erschließung von Quellen. Diese Probleme haben der Geschichtsforschung zu diesem Land nicht nur in Deutschland, sondern weltweit erhebliche Schwierigkeiten bereitet. Um diesem unhaltbaren Zustand in ersten Schritten abzuhelfen, hat ein Pilotprojekt verschiedenes Material gesammelt und dabei einen thematischen Schwerpunkt auf die Bildungsgeschichte gelegt. Dieses Quellenmaterial wurde in einer Zotero basierten Datenbank erschlossen. Des Weiteren ist ein Korpus von Audiomaterial entstanden, das Oral History Interviews zusammenführt. Zu den Tonaufnahmen gibt es auch entsprechende Transkriptionen. Diese Bestände sind in einem Forschungsinstitut aufbewahrt, können dort auf Anfrage kostenlos benutzt werden, was auch regelmäßig und intensiv geschieht. Der Erfolg des Pilotprojekts, in dem wertvolle Datenbestände erschlossen wurden, zeigt sich nicht zuletzt in der intensiven Nachnutzung der erschlossenen Materialien. Daraus leiten sich allerdings weitere Fragen für die fortdauernde Verfügbarkeit der Daten für die Wissenschaft ab: • Wie können die Datenbestände angesichts der intensiven Nutzung besser aufbereitet werden? Und welche Vorkehrungen muss man treffen, um einen erweiterten Nutzerkreis sowohl in Deutschland als auch international zu erreichen? • Welche Maßnahmen sind für eine langfristige Verfügbarkeit und dauerhafte Bereitstellung der Bestände zu ergreifen? • Welche Datenformate kommen hierfür infrage? Müssen also die derzeit vorhandenen Daten nochmals bearbeitet, transformiert und migriert werden? Gibt es für ein solches Szenario musterhafte Workflows? Dies auch, da das Projekt abgeschlossen ist und keine weitere Finanzierung dafür in Aussicht steht?;datacollection;dataprocessing;datapublication;datareuse;Nicht lateinische Schriften;Datenschutz;Oral History;0;1;2;3;4;;;https://4memory.de/problem-stories-overview/35-bildungs-und-armutsgeschichte-im-ausereuropaeischen-raum/;;Datentypen;;Internationalität;;Kuration;Langzeitverfügbarkeit;Lizenzen;Mehrsprachigkeit;;;;Ressourcen;;
36;perspectivia.net;Ein Nachwuchswissenschaftler möchte die gesammelten Beiträge einer von ihm organisierten internationalen Konferenz publizieren. Er hat leider keine finanziellen Mittel zur Verfügung, sodass er eine kostenfreie Lösung benötigt. Da die Beiträge von Forschenden aus vielen verschiedenen Ländern mit jeweils eigenen Publikationsmärkten stammen, strebt der Nachwuchswissenschaftler eine Veröffentlichung im Internet an. Diese Publikation soll weltweit kostenfrei zum Download verfügbar sein. Wichtig ist dem Forschenden auch eine redaktionelle Betreuung, da er darin ein Qualitätsmerkmal von Publikationen sieht, das seiner wissenschaftlichen Karriere zuträglich ist. Gleiches gilt für die regelkonforme Erschließung des Bandes nach den gängigen bibliothekarischen Standards und dessen langfristige Erreichbarkeit und Zitierbarkeit. Der Nachwuchswissenschaftler ist jedoch weder mit bibliothekarischen Standards, noch mit den unterschiedlichen Formaten von Veröffentlichungen und Wissenschaftskommunikation im Open Access vertraut. Aufgrund dessen wünscht sich der Nachwuchswissenschaftler eine Publikationsplattform, über die er die gesammelten Beiträge online im Open Access publizieren kann. Diese Plattform soll eine eigene Redaktion besitzen, und umfassende Metadaten aufweisen, die einsehbar und downloadbar sind. Die Redaktion soll den Nachwuchswissenschaftler außerdem zu den unterschiedlichen Formen wissenschaftlicher Dissemination und Publikation sowie den dazugehörigen technischen und informationswissenschaftlichen Hintergründen beraten. Jeder einzelne Beitrag des Sammelbandes soll durch persistente Identifikatoren dauerhaft zitierbar und durch backup-Systeme und digitale Langzeitarchivierung auch langfristig erreichbar sein.;dataprocessing;datacollection;datareuse;datapublication;Publikationsinfrastruktur;Open Access;Dissemination;0;1;;3;4;5;;https://4memory.de/problem-stories-overview/36-perspectivia-net/;;;;Internationalität;Kompetenzen;Kuration;Langzeitverfügbarkeit;;;;;Qualität;Ressourcen;Softwarepflege;Standards
37;OPERAS;Eine Wissenschaftlerin möchte ihre Forschungsergebnisse publizieren. Da Quellen aus unterschiedlichen Ländern in Europa und darüber hinaus Gegenstand ihrer Forschung sind, möchte die Forschende eine internationale Zielgruppe ansprechen. Zudem bietet ihre Forschung Anknüpfungspunkte für nicht historische Disziplinen, sodass sie auch für nicht historisch arbeitende Wissenschaften sichtbar sein soll. Die Publikation soll frei im Internet verfügbar sein. Gemeinsam mit ihrer Veröffentlichung möchte die Forscherin zudem einige von ihr transkribierte Quellen publizieren. Allerdings steht für die Forschende nur eine kostenlose Lösung zur Debatte, da ihr keine finanziellen Mittel für eine Publikation zur Verfügung stehen. Die Forscherin ist mit folgenden Problemen konfrontiert: • Der Wissenschaftlerin ist nicht bekannt, wie sie die gewünschte internationale und interdisziplinäre Sichtbarkeit ihrer Forschung erreichen kann. • Sie kennt das internationale Publikationswesen und die damit verbundenen Stakeholder und Communities kaum. • Auch mit den organisatorischen, technischen und informationswissenschaftlichen Hintergründen des Publizierens ist sie wenig vertraut. • Daher sind der Wissenschaftlerin weder die unterschiedlichen Formate des wissenschaftlichen Publizierens noch die dazugehörigen Standards bekannt. • Sie hat auch keine Idee, wie sich eine internationale und interdisziplinäre Sichtbarkeit ihrer Forschung sowohl organisatorisch als auch technisch umsetzten lässt. • All dies macht es der Forscherin unmöglich, eine zu ihren Anforderungen passende Publikationsstrategie zu entwickeln. Die Wissenschaftlerin wünscht sich deshalb eine zentrale Plattform, die ihr dabei hilft, eine bedarfsgerechte Veröffentlichungsstrategie zu entwickeln. Von dieser Infrastruktur wünscht sich die Forscherin nicht nur Beratung zu den verschiedenen Formen und Formaten der internationalen Wissenschaftskommunikation, sondern auch zu den organisatorischen, technischen und informationswissenschaftlichen Werkzeugen, um ihre Forschung international und interdisziplinär sichtbar zu machen. Die Wissenschaftlerin wünscht sich des Weiteren, dass die Infrastruktur ihr nationale und internationale Kontakte vermittelt, die ihr beim Erreichen ihres Zieles behilflich sein können.;datacollection;dataprocessing;datapublication;datareuse;Publikationsinfrastruktur;Internationale Vernetzung;Open Access;0;1;;3;4;5;;https://4memory.de/problem-stories-overview/37-operas/;;;Interdisziplinarität;Internationalität;Kompetenzen;;Langzeitverfügbarkeit;;;;;;Ressourcen;Softwarepflege;Standards
38;Integration von verschiedenen Datensets mit externen Werkzeugen;"Forscher_innen aus den Bereichen Geowissenschaften, Biodiversität, Archäologie, Soziologie und Geschichte befassen sich mit der Landschaftsgeschichte des Libanon über einen langen Zeitraum hinweg. Dafür möchten diese Forscher_innen ein gemeinsames Geografisches Informationssystem (GIS) aufbauen und sowohl mit Geodaten, Shapefiles als auch anderen Datenbanken als Forschungstool nutzen. Da es die für GIS notwendigen geographische Lexika (Gazetteer), die Orte mit Namen, Verwaltungseinheiten und, im besten Fall, Geodaten, für den Nahen Osten nur sehr eingeschränkt gibt, funktioniert automatisches geo-referencing häufig nicht, und Toponyme werden nur unzureichend gefunden. Die Forscher_innen aus verschiedenen Disziplinen können die überwiegende Mehrheit aller Entities von internationalen Normdatensätzen nicht gebrauchen und müssen diese erst als Grundlage definieren. Notwendig wäre daher, dass • Server-basierte Plattformen zur allgemeinen Nutzung durch Forschende zur Verfügung gestellt werden; • die erlaubten Standards nicht vordefinieren, sondern volle Anpassung an die Bedürfnisse der Nutzer_innen bei gleichzeitiger Validierung der Daten erlauben; • bei der Entwicklung und Aushandlung von Standards (in der Form von z.B. Community Standards oder Best Practices) Hilfe geboten wird.";datareuse;datapublication;dataprocessing;datacollection;Geografisches Informationssystem (GIS);Geodaten;Interdisziplinarität;0;1;2;;;;;https://4memory.de/problem-stories-overview/38-integration-von-verschiedenen-datensets-mit-externen-werkzeugen/;;Datentypen;Interdisziplinarität;Internationalität;;;Langzeitverfügbarkeit;;;;;;;Softwarepflege;Standards
39;Wissen entgrenzen;Mehrere Forschende arbeiten über verschiedene Standorte international verteilt an ihren Projekten, die einem gemeinsamen Metathema verpflichtet sind. Der Austausch mit den Projektbeteiligten an den anderen Standorten ist von zentraler Bedeutung. Ungeachtet der räumlichen, sprachlichen und fachdisziplinären Diversität benötigen alle eine gemeinsame Infrastruktur, mit der sie untereinander kommunizieren, Befunde teilen und gemeinsame Ergebnisse präsentieren können. Dazu soll auch eine multimediale Datenbank in verschiedenen Sprachen (Arabisch, Persisch und Russisch) gehören. Die Forschenden stehen vor folgenden Problemen: • Die Beteiligten der Projektgruppen sind sich unsicher, welche Kommunikationskanäle ihnen stabile Nutzungsbedingungen bieten können, zumal sie in Regionen mit unterschiedlichen, vor allem aber schwachen technischen Standards arbeiten. • Unklar ist für sie ebenso, wie sie bei der Nutzung dieser Services vor dem Verlust von Forschungsdaten gefeit sind. • Erst recht gilt dies für den Datenschutz, auf den einige von ihnen aufgrund ihrer Forschungsarbeit in politisch brisanten Regionen besonders angewiesen sind. Die Gruppe wünscht sich daher eine Forschungsumgebung, die ausfallsichere Kommunikationswege aufweist. Wichtig ist für sie die Möglichkeit, erhobene Forschungsdaten und Forschungsergebnisse ausfallsicher hinterlegen und auch untereinander austauschen zu können. Zu den Anforderungen an das Speichersystem gehört auch, dass multilinguale Texte und verschiedene Dateiformate sicher hinterlegt werden können, von Textdateien über Bildformate bis hin zu Audio- und Videomaterial. Die Gewährleistung der Datenschutzanforderungen verschiedener Jurisdiktionen ist eine besondere Anforderung.;datapublication;datareuse;datacollection;dataprocessing;Transregionale Forschung;Nicht lateinische Schriften;Internationalität/Mehrsprachigkeit;0;1;;3;4;5;6?;https://4memory.de/problem-stories-overview/39-wissen-entgrenzen/;Rechte;Datentypen;;Internationalität;Kompetenzen;;;Lizenzen;Mehrsprachigkeit;;;;;;Standards
40;Software und Datenmodelle;Ich befasse mich mit den kulturellen Artefakten außereuropäischer Gesellschaften und benötige dafür digitale Werkzeuge, die nicht schon bei der Erfassung der Daten erfordern, diese mit Modellen des Globalen Nordens im frühen 21. Jahrhundert zu beschreiben. Zur Beschreibung meines Forschungsgegenstands muss die Möglichkeit der Vielsprachigkeit und Vielschriftlichkeit gegeben sein, ohne dass eine der Sprachen Präzedenz über die anderen hat. Voller Unicodesupport auf allen Ebenen der digitalen Datenverarbeitung ist hierbei notwendig, aber nicht ausreichend (und leider auch momentan keinesfalls gegeben). Personennamen müssen jenseits von Vor- und Nachnamen beschrieben werden können. Ereignisse müssen sich jenseits des gregorianischen Kalenders mit 24 equinoctalen Stunden und einem Tagesbeginn um Mitternacht in der Zeit verorten lassen. Normalisierung ist wichtig, kann aber nicht schon bei der Datenerfassung geleistet werden, da damit eine epistemische Gewalt einhergeht, deren Auswirkungen aus den Forschungsdaten selbst nicht mehr rekonstruiert werden können.;datacollection;dataprocessing;datapublication;datareuse;Datenmodelle;nicht lateinische Schriften und Sprachen;Variantensupport;0;1;2;3;;;;https://4memory.de/problem-stories-overview/40-software-und-datenmodelle/;;;;;Kompetenzen;;;;Mehrsprachigkeit;Methoden;Modellierung;;;Softwarepflege;
41;Erfassung kultureller Artefakte des Globalen Südens;Ich befasse mich mit der Geistesgeschichte des Nahen Ostens im langen 19. Jahrhundert. Dafür möchte ich den sprachlichen Wandel durch distant reading großer Korpora untersuchen. Weltweit ist eine große Anzahl von Bilddigitalisaten schriftlicher Quellen verfügbar. Allerdings ist die automatische Texterkennung auch bei sehr teuren kommerziellen Plattformen so schlecht, dass diese nicht für meine Zwecke benutzt werden können. Es gibt offene, auf maschinellem Lernen basierende und sprachagnostische Werkzeuge, wie z.B. Kraken und Tesseract, jedoch verfüge ich weder über den technischen Sachverstand noch die notwendige Rechenkapazität, um Modelle zu trainieren und dann auf potentiell hunderttausende Seiten Faksimiles anzuwenden.;datacollection;dataprocessing;datapublication;0;Volltexterkennung (OCR);nicht lateinische Schriften;Quantitative Textanalyse;0;;;3;4;;;https://4memory.de/problem-stories-overview/41-erfassung-kultureller-artefakte-des-globalen-sudens/;HPC;Datentypen;;;;;Langzeitverfügbarkeit;;Mehrsprachigkeit;Methoden;Modellierung;;;Softwarepflege;
42;Normdaten;Ich bin SozialhistorikerIn des spätosmanischen Nahen Ostens und habe in meinen Quellen eine große Anzahl Personen, Orte, und Institutionen identifiziert. Diese unter großem Zeitaufwand erstellten Rohdaten historischer Forschung möchte ich zur Nachnutzung als Linked Open Data im Semantic Web veröffentlichen. Existierende Normdatensätze und Plattformen zur deren Auffindung, wie z.B. Wikidata, VIAF, OCLC oder PeriodO decken mein Forschungsgebiet nur sehr mangelhaft ab, was auch daran liegt, dass die für mein Forschungsgebiet relevanten Sprachen (Arabisch, Persisch, Osmanisch) und Kalender (islamischer Mondkalender, julianischer Kalender, osmanischer Finanzkalender etc.) nur unzureichend oder gar nicht unterstützt werden. So lassen sich Namen z.B. nur in einer sehr spezifischen Transkription auffinden, aber nicht in der Schrift, Sprache und Form der Quellen. Gazeteers für das Georeferencing von Toponymen sind ebenso wie Shapefiles praktisch inexistent.;datacollection;dataprocessing;datapublication;datareuse;Historische Norm- und Geodaten;Karten;nicht lateinische Schrift (Arabisch);0;;2;;;;;https://4memory.de/problem-stories-overview/42-normdaten/;;Datentypen;;;Kompetenzen;Kuration;Langzeitverfügbarkeit;;Mehrsprachigkeit;Methoden;;;Ressourcen;Softwarepflege;Standards
43;Retrodigitalisierung und Volltexterkennung von Handschriften in nicht lateinischer Schrift;Ein Forschender möchte einige historische Handschriften in nicht lateinischer Schrift retrodigitalisieren und eine Volltexterkennung durchführen. Dabei steht er vor dem Problem, dass die ihm bekannten Tools zur Retrodigitalisierung auf lateinischschriftliche Druckschriften ausgelegt sind und deshalb entweder nicht funktionieren oder schlechte Ergebnisse liefern. Zudem sind die Handschriften an unterschiedlichen Orten zu finden, sodass eine zentral zu verwaltende, aber ortsverteilt durchführbare Lösung wünschenswert ist. Sowohl retrodigitalisierte Bilder als auch Texte sollen nachhaltig gesichert werden. Dem Forschenden stellen sich daher einige Fragen: • Welche Hard- und Software sind für die Retrodigitalisierung und Volltexterkennung von Handschriften in nicht lateinischer Schrift notwendig? • Welche Richtlinien und Standards sind bei der Digitalisierung und Volltexterkennung von handschriftlichen Dokumenten in nicht lateinischer Schrift zu beachten? • Wie lässt sich ein solcher Digitalisierungsprozess als Workflow ortsverteilt gestalten und koordinieren? • Was für Daten entstehen bei einem solchen Digitalisierungsprozess und wie können diese nachhaltig gesichert werden?;datacollection;dataprocessing;datareuse;datapublication;Volltexterkennung (OCR);nicht lateinische Schriften;Handschriften;0;1;2;3;;;;https://4memory.de/problem-stories-overview/43-retrodigitalisierung-und-volltexterkennung-von-handschriften-in-nicht-lateinischer-schrift/;;Datentypen;;;;;;;Mehrsprachigkeit;Methoden;;;;Softwarepflege;Standards
44;Netzwerkforschung aus prosopographischer Perspektive;"Eine Forschende möchte prosopographische Netzwerke in Europa ermitteln und veranschaulichen. Zu diesem Zweck muss sie Quellen in unterschiedlichen lateinischen und nicht lateinischen Schriften sammeln, erfassen und analysieren. Anschließend sollen die Daten interaktiv visualisiert werden. Die Forschende muss unter anderem die nachfolgenden Probleme bewältigen: • Die zu untersuchenden Quellen müssen gesammelt, zusammengeführt und in normierter Form erfasst werden. Dafür mangelt es an einer geeigneten technischen Lösung. Zudem ist unklar, welche Anforderungen notwendig sind, um ein solches System auszuwählen; ebenso, welche Arbeitsaufwände und Kosten es erzeugt. • Zudem herrscht Unklarheit hinsichtlich der Frage, wie man die in unterschiedlichen Sprachen und Schriften vorliegenden Quellen so erfassen und auswerten kann, dass man möglichst ohne großen Aufwand die gesuchten Netzwerke herausarbeiten und visualisieren kann. • Des Weiteren ist nicht klar, ob bzw. wie man digitale Methoden und Werkzeuge zur Netzwerkanalyse einsetzen kann bzw. wobei diese helfen können. Daher sind auch die mit derartigen Methoden verbundenen Standards nicht bewusst. • Schließlich ist unklar, wie Netzwerkanalysen angemessen präsentiert und publiziert werden können. Hierfür fehlt eine passende Publikationsumgebung. Außerdem ist nicht klar, wie die Netzwerkanalysen und Quellen langfristig gesichert werden können und was dafür erforderlich ist.";datacollection;dataprocessing;datapublication;datareuse;Netzwerkforschung;nicht lateinische Quellen;Prosopographie;0;1;2;3;4;;;https://4memory.de/problem-stories-overview/44-netzwerkforschung-aus-prosopographischer-perspektive/;;;;;;;Langzeitverfügbarkeit;;Mehrsprachigkeit;Methoden;;;Ressourcen;Softwarepflege;Standards
45;Städtetourismus aus historischer Perspektive;Ein Forschender möchte die Rolle des kommerziellen Städtetourismus für die historische Sinnbildung untersuchen. Zu diesem Zweck sollen einerseits städtetouristische Angebote erfasst sowie typologisiert und andererseits Interviews mit StadtführerInnen und ReiseveranstalterInnen in verschiedenen Sprachen durchgeführt werden. Das Material umfasst sowohl lateinischschriftliche als auch nicht lateinischschriftliche Quellen. Der Forschende ist dabei mit verschiedenen Problemen konfrontiert: • Er muss digitale und analog vorliegende Reiseangebote sammeln, zusammenführen und kategorisieren. Der Forschende weiß jedoch nicht, welche technischen Hilfsmittel sich dafür eignen und welche Standards und Richtlinien dafür notwendig und sinnvoll sind. • Weiterhin muss der Forschende eine technische Lösung finden, um die unterschiedlichen Arten der von ihm untersuchten Quellen (Texte und Bilder in gedruckter und digitaler Form, audiovisuelle Interviews und die dazugehörigen Transkriptionen) zu verwalten, zu publizieren und langfristig zu sichern. • Unklarheit besteht auch bezüglich datenschutzrechtlicher sowie persönlichkeitsrechtlicher Aspekte vor allem bei der Behandlung von Daten aus aktuellen kommerziellen Dienstleistungen (Städtereisen). Erschwerend kommt hinzu, dass einige der Quellen und Angebote aus dem Ausland stammen und somit möglicherweise nicht nach deutschem Recht lizenziert werden können.;datacollection;datapublication;dataprocessing;datareuse;Städtetourismus;Datenschutz;nicht lateinischschriftliche Quellen;0;1;;3;4;5;6?;https://4memory.de/problem-stories-overview/45-stadtetourismus-aus-historischer-perspektive/;Rechte;Datentypen;;;;;Langzeitverfügbarkeit;Lizenzen;Mehrsprachigkeit;;;;;;Standards
46;Adlige Identitäten und Repräsentationskulturen im Königlichen Preußen des 17. und 18. Jahrhunderts;Eine Forschende untersucht Regionalität und Regionsbildung aus interdisziplinärer (genauer gesagt historischer und kunsthistorischer) Perspektive mit Blick auf die Identitäten und Repräsentationskultur des Adels im 17. und 18. Jahrhundert. Zu diesem Zweck sind Werke der bildenden und angewandten Künste sowie der Architektur zu untersuchen. Hierzu zählen unter anderem Adelssitze mit ihrer künstlerischen Ausstattung, Kirchen, Grabmäler, Stiftungen, Sammlungen usw. Untersucht werden entweder die Objekte selbst oder – im Falle ihres Verlustes – die Spuren, die sie in Inventaren, Briefen, Beschreibungen etc. hinterlassen haben. Es sollen sowohl Digitalisate der untersuchten Quellen als auch die Ergebnisse der Forschung virtuell präsentiert und gesichert werden. Die Forschende stößt bei ihrem Forschungsvorhaben auf folgende Probleme: • Die für die Forschung relevanten Quellen sind örtlich stark verteilt und umfassen unterschiedliche Objekttypen, unter anderem Texte, Bildmaterial, Architektur, Objekte des Kunsthandwerks, etc. Dies erschwert die Schaffung eines einheitlichen Quellenkorpus. • Die Objekttypen weisen jeweils verschiedene mediale Charakteristika auf, die für ihre Erfassung und Beschreibung wichtig sind. Dies macht die Gestaltung einheitlicher Metadaten schwierig, auch weil die Forschende mit den unterschiedlichen Daten- und Metadatenstandards nicht vertraut ist. • Die Website soll eine virtuelle Ansicht der Digitalisate der Quellen erlauben. Dafür müssen die Quellen digitalisiert werden. Doch mit dem Prozess der digitalen Erfassung, insbesondere von Objekten, ist die Forschende nur rudimentär vertraut. • Dies alles führt zu Problemen bei der Auswahl eines geeigneten technischen Systems für die Internetpräsenz. • Auch die Frage, wie die langfristige Verfügbarkeit der Internetpräsenz und der darauf befindlichen Digitalisate gewährleistet werden kann, bereit der Forschenden Schwierigkeiten.;dataprocessing;datacollection;datapublication;datareuse;Retrodigitalisierung;Kunst;Adel;0;1;2;3;4;;;https://4memory.de/problem-stories-overview/46-adlige-identitaten-und-reprasentationskulturen-im-koniglichen-preusen-des-17-und-18-jahrhunderts/;;Datentypen;Interdisziplinarität;;;;Langzeitverfügbarkeit;;;Methoden;;;;;Standards
