"id","year","short_title","notes","url","theme_title","start_date","end_date","city","state_province_region","country","references","contributors","attendance","entry_status","program_available","abstracts_available","search_text","label"
"11","2010","King's College","XML available from https://github.com/elliewix/DHAnalysis (still needs to be added)","http://dh2010.cch.kcl.ac.uk/","Cultural expression, old and new","2010-07-07","2010-07-10","London","England","65","","","","c","True","True","2010 King's College London Institution object (384) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2010 - King's College"
"12","2011","Stanford","XML available from https://github.com/elliewix/DHAnalysis (still needs to be added)","https://dh2011.stanford.edu/","Big Tent Digital Humanities","2011-06-19","2011-06-22","Stanford","California","64","","","","c","True","True","2011 Stanford Stanford Institution object (694) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2011 - Stanford"
"13","2012","Hamburg","","http://www.dh2012.uni-hamburg.de/","Digital Diversity: Cultures, languages and methods","2012-07-16","2012-07-22","Hamburg","","4","","","","c","True","True","2012 Hamburg Hamburg Institution object (814) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2012 - Hamburg"
"14","2013","Nebraska","XML available from https://github.com/elliewix/DHAnalysis (still needs to be added)","http://dh2013.unl.edu/","Freedom to Explore","2013-07-16","2013-07-19","Lincoln","Nebraska","64","","","","c","True","True","2013 Nebraska Lincoln Institution object (1566) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2013 - Nebraska"
"15","2014","Lausanne","XML available from https://github.com/elliewix/DHAnalysis (needs to replace plaintext)","https://web.archive.org/web/20161227182033/https://dh2014.org/program/","Digital Cultural Empowerment","2014-07-07","2014-07-12","Lausanne","","9","","","750 delegates according to Nyhan 2016","c","True","True","2014 Lausanne Lausanne Institution object (196) Institution object (837) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2014 - Lausanne"
"16","2015","Sydney","","https://web.archive.org/web/20190121165412/http://dh2015.org/","Global Digital Humanities","2015-06-29","2015-07-03","Sydney","","6","","","469 https://web.archive.org/web/20190422031340/http://dh2015.org/wp-content/uploads/2015/06/DH2015-Attendees.pdf","c","True","True","2015 Sydney Sydney Western Sydney University ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2015 - Sydney"
"17","2016","Kraków","","https://dh2016.adho.org/","Digital Identities: the Past and the Future","2016-07-11","2016-07-16","Kraków","","12","","","","c","True","True","2016 Kraków Kraków Institution object (365) Institution object (585) ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2016 - Kraków"
"18","2017","Montréal","","https://dh2017.adho.org/","Access/Accès","2017-08-08","2017-08-11","Montréal","","13","http://web.archive.org/web/20170802132745/https://www.conftool.pro/dh2017/sessions.php","","","c","True","True","2017 Montréal Montréal McGill University Université de Montréal ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2017 - Montréal"
"20","2018","Mexico City","","https://dh2018.adho.org/","Puentes/Bridges","2018-06-26","2018-06-29","Mexico City","","38","","","","c","True","True","2018 Mexico City Mexico City Institution object (1455) Institution object (516) ADHO Annual Conference ADHO Encuentro de Humanistas Digitales EHD Alliance of Digital Humanities Organizations ADHO","2018 - Mexico City"
"21","2019","Pittsburgh","The ACH2019 conference, in partnership with Keystone DH, provides a forum for conversations on an expansive definition of digital humanities in a broad array of subject areas, methods, and communities of practice.","http://ach2019.ach.org/","","2019-07-23","2019-07-26","Pittsburgh","Pennsylvania","64","","","","c","True","True","2019 Pittsburgh Pittsburgh Institution object (97) Institution object (183) Institution object (1058) Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH KeystoneDH KeystoneDH The Association for Computers and the Humanities ACH KeystoneDH KeystoneDH","2019 - Pittsburgh"
"22","1999","Virginia","","http://www2.iath.virginia.edu/ach-allc.99/schedule.html","","1999-06-09","1999-06-13","Charlottesville","Virginia","64","","","","r","True","True","1999 Virginia Charlottesville Institution object (1122) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1999 - Virginia"
"23","2019","Utrecht","","http://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/index.html","Complexities","2019-07-09","2019-07-12","Utrecht","","1","http://staticweb.hum.uu.nl/dh2019/dh2019.adho.org/programme/book-of-abstracts/index.html","","","r","True","True","2019 Utrecht Utrecht Utrecht University ADHO Annual Conference ADHO Alliance of Digital Humanities Organizations ADHO","2019 - Utrecht"
"24","1998","Lajos Kossuth University","","https://web.archive.org/web/19991022041140/http://lingua.arts.klte.hu/allcach98/","Virtual Communities","1998-07-05","1998-07-10","Debrecen","","31","http://web.archive.org/web/19990225164509/http://lingua.arts.klte.hu/allcach98/abst/jegyzek.htm","","~60 (https://web.archive.org/web/19990128030244/http://lingua.arts.klte.hu/allcach98/listpar3.htm)","r","True","True","1998 Lajos Kossuth University Debrecen Institution object (947) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1998 - Lajos Kossuth University"
"25","1997","Queen's University","","https://web.archive.org/web/20010105065100/http://www.cs.queensu.ca/achallc97/","","1997-06-03","1997-06-07","Kingston","Ontario","13","","","","r","True","True","1997 Queen's University Kingston Queen's University Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1997 - Queen's University"
"26","1996","Bergen","Scott Weingart has print abstract book that needs to be scanned; certain abstracts also available on dh-abstracts github page. (https://github.com/ADHO/dh-abstracts/tree/master/data)","https://web.archive.org/web/19990224202037/www.hd.uib.no/allc-ach96.html","","1996-06-25","1996-06-29","Bergen","","35","","","","r","True","True","1996 Bergen Bergen Institution object (907) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1996 - Bergen"
"27","1995","UC Santa Barbara","","http://xml.coverpages.org/ach95pro.html","","1995-07-11","1995-07-15","Santa Barbara","CA","64","","","","r","True","False","1995 UC Santa Barbara Santa Barbara Institution object (930) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1995 - UC Santa Barbara"
"28","1994","Sorbonne","","http://web.archive.org/web/20070403170847/http://www.ach.org/ACH_Newsletter/16.1_Newsletter.html#program","Consensus Ex Machina","1994-04-19","1994-04-23","Paris","","2","","","","r","True","False","1994 Sorbonne Paris Institution object (865) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1994 - Sorbonne"
"29","1993","Georgetown University","See also: https://www.indexpup.com/index-list/1993/01_June_1993.txt","http://xml.coverpages.org/flynnach.html","","1993-06-16","1993-06-19","Washington, D.C.","","64","","","","r","True","False","1993 Georgetown University Washington, D.C. Institution object (249) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1993 - Georgetown University"
"30","1992","Christ Church, Oxford","Scott Weingart has paper copy of book of abstracts / program; still needs to be scanned.","http://lists.village.virginia.edu/lists_archive/Humanist/v05/0644.html","","1992-05-05","1992-05-09","Oxford","England","65","","","","r","True","True","1992 Christ Church, Oxford Oxford Institution object (575) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1992 - Christ Church, Oxford"
"31","1991","Arizona State University","See also: https://dhhumanist.org/Archives/Virginia/v04/0491.html

Scott Weingart has paper copy of program, still needs to be scanned.","http://korpus.uib.no/humfak/humdata/1-91/ach.htm","Making Connections","1991-03-17","1991-03-21","Tempe","Arizona","64","","","230, http://korpus.uib.no/humfak/humdata/1-91/ach.htm","r","True","True","1991 Arizona State University Tempe Institution object (32) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1991 - Arizona State University"
"32","1990","University of Siegen","","http://lists.village.virginia.edu/lists_archive/Humanist/v03/1120.html","The New Medium","1990-06-04","1990-06-09","Siegen","","64","","","","r","True","False","1990 University of Siegen Siegen Institution object (1853) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1990 - University of Siegen"
"33","1989","Toronto","Scott Weingart has paper copy of program; still needs to be scanned.","","The Dynamic Text","1989-06-06","1989-06-10","Toronto","Ontario","13","https://academic.oup.com/dsh/article/4/1/43/968041","","","r","True","True","1989 Toronto Toronto Institution object (1109) Joint Annual Conference of the Association for Computers and the Humanities and the Association for Literary and Linguistic Computing ACH/ALLC Association for Computers and the Humanities / International Conference on Computers and the Humanities ACH/ICCH Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH The Association for Computers and the Humanities ACH Association for Literary and Linguistic Computing ALLC","1989 - Toronto"
"34","2014","Koninklijke Bibliotheek, The Hague","","http://www.dhbenelux.org/?ar=2014","","2014-06-12","2014-06-13","The Hague","","1","","","161","n","True","False","2014 Koninklijke Bibliotheek, The Hague The Hague Institution object (392) Digital Humanities Benelux DH Benelux DH Benelux DHBenelux","2014 - Koninklijke Bibliotheek, The Hague"
"35","2015","University of Antwerp","","http://www.dhbenelux.org/?ar=2015","","2015-06-08","2015-06-09","Antwerp","","28","","","1","n","True","True","2015 University of Antwerp Antwerp Institution object (896) Digital Humanities Benelux DH Benelux DH Benelux DHBenelux","2015 - University of Antwerp"
"36","2016","University of Luxembourg","","http://www.dhbenelux.org/","","2016-06-09","2016-06-10","Belval","","27","","","","n","True","True","2016 University of Luxembourg Belval University of Luxembourg Digital Humanities Benelux DH Benelux DH Benelux DHBenelux","2016 - University of Luxembourg"
"37","2018","International Institute for Social History, Amsterdam","","http://2018.dhbenelux.org/programme/detailed-programme/","","2018-06-06","2018-06-08","Amsterdam","","1","","","","n","True","True","2018 International Institute for Social History, Amsterdam Amsterdam International Institute of Social History Digital Humanities Benelux DH Benelux DH Benelux DHBenelux","2018 - International Institute for Social History, Amsterdam"
"38","2019","University of Liège","","http://2019.dhbenelux.org/program/","","2019-09-11","2019-09-13","Liège","","28","","","","n","True","True","2019 University of Liège Liège Université de Liège (Liege) Digital Humanities Benelux DH Benelux DH Benelux DHBenelux","2019 - University of Liège"
"39","2012","Australian National University","","https://web.archive.org.au/awa/20120322232840mp_/http://pandora.nla.gov.au/pan/129862/20141216-1203/aa-dh.org/images/2011/12/DHA2012-program1.pdf","Building, Mapping, Connecting","2012-03-27","2012-03-30","Canberra","","6","","","","n","True","False","2012 Australian National University Canberra Institution object (43) Digital Humanities Australasia DHA Australasian Association for Digital Humanities aaDH","2012 - Australian National University"
"40","2014","University of Western Australia","http://www.dha2014.org/","http://web.archive.org/web/20140409162411/http://dha2014.org/wp-content/uploads/2014/02/DHA-2014-conference-full-proceedings.pdf","Expanding Horizons","2014-03-18","2014-03-21","Perth","","6","","","","n","True","True","2014 University of Western Australia Perth Institution object (1131) Digital Humanities Australasia DHA Australasian Association for Digital Humanities aaDH","2014 - University of Western Australia"
"41","2016","University of Tasmania","","http://web.archive.org/web/20160510133156/http://www.uqhistory.net/web/dha2016/index.php/dha2016/dha2016/schedConf/presentations","Working with Complexity","2016-06-20","2016-06-23","Hobart","","6","","","","n","True","True","2016 University of Tasmania Hobart Institution object (1951) Digital Humanities Australasia DHA Australasian Association for Digital Humanities aaDH","2016 - University of Tasmania"
"42","2018","University of South Australia","","http://web.archive.org/web/20190903020153/http://dha-2018.p.dha2018.currinda.com/","Making Connections","2018-09-25","2018-09-28","Adelaide","","6","","","","n","True","True","2018 University of South Australia Adelaide Institution object (1952) Digital Humanities Australasia DHA Australasian Association for Digital Humanities aaDH","2018 - University of South Australia"
"43","2018","National University of Ireland, Galway","Program: https://eadh2018eadh.files.wordpress.com/2018/12/eadh2018_programme_5dec1.pdf
List of presentations, occasionally linking to full text: https://eadh2018.exordo.com/programme/presentations","https://eadh2018eadh.wordpress.com/","Data in Digital Humanities","2018-12-07","2018-12-09","Galway","","16","","","","r","True","False","2018 National University of Ireland, Galway Galway National University of Ireland, Galway (NUI Galway) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH European Association of Digital Humanities Conference EADH Association for Literary and Linguistic Computing ALLC European Association for Digital Humanities EADH","2018 - National University of Ireland, Galway"
"44","2011","University of Osaka","","http://web.archive.org/web/20130914062856/http://www.lang.osaka-u.ac.jp/~osdh2011/OSDH2011_program2.1.7.html","Osaka Symposium on Digital Humanities","2011-09-13","2011-09-13","Osaka","","17","","","","r","True","False","2011 University of Osaka Osaka Institution object (1044) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2011 - University of Osaka"
"45","2012","University of Tokyo","","https://www.jadh.org/node/18","Inheriting Humanities","2012-09-15","2012-09-17","Tokyo","","17","","","","n","True","False","2012 University of Tokyo Tokyo Institution object (1108) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2012 - University of Tokyo"
"46","2013","Ritsumeikan University","","https://www.dh-jac.net/jadh2013/programme.html","","2013-09-19","2013-09-21","Kyoto","","17","","","","n","True","True","2013 Ritsumeikan University Kyoto Institution object (632) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2013 - Ritsumeikan University"
"47","2014","University of Tsukuba","","https://conf2014.jadh.org/Programme.html","Bridging GLAM and Humanities through Digital Humanities","2014-09-19","2014-09-21","Tsukuba","","17","","","","n","True","True","2014 University of Tsukuba Tsukuba Institution object (1953) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2014 - University of Tsukuba"
"48","2015","Kyoto University","","http://conf2015.jadh.org/program/","Encoding Cultural Resources","2015-09-01","2015-09-03","Kyoto","","17","","","","n","True","True","2015 Kyoto University Kyoto Institution object (396) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2015 - Kyoto University"
"49","2016","University of Tokyo","","http://conf2016.jadh.org/program/","Digital Scholarship in History and the Humanities","2016-09-12","2016-09-14","Tokyo","","17","","","","n","True","True","2016 University of Tokyo Tokyo Institution object (1108) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2016 - University of Tokyo"
"50","2017","Doshisha University","","http://conf2017.jadh.org/programme.html","Creating Data through Collaboration","2017-09-11","2017-09-12","Kyoto","","17","","","","n","True","True","2017 Doshisha University Kyoto Institution object (175) Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2017 - Doshisha University"
"51","2018","Tokyo","","https://conf2018.jadh.org/session.html","Leveraging Open data","2018-09-09","2018-09-11","Tokyo","","17","","","","n","True","True","2018 Tokyo Tokyo Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2018 - Tokyo"
"52","2019","Kansai University","","https://wps.itc.kansai-u.ac.jp/jadh2019/programm/time-schedule-2/","Localization in Global DH","2019-08-29","2019-08-31","Osaka","","17","","","","n","True","True","2019 Kansai University Osaka Japanese Association for Digital Humanities Annual Conference JADH Japanese Association for Digital Humanities JADH","2019 - Kansai University"
"53","1970","Cambridge","The works here represent an incomplete list, coming from the published proceedings.","","Symposium on the Uses of Computers in Literary Research","1970-03-23","1970-03-26","Cambridge","England","65","The Computer in Literary and Linguistic Research, ed. R. Wisbey, Cambridge University Press, 1972 (proceedings of the conference held in Cambridge, 1970).
Farringdon, Michael G. “Symposium on the Uses of the Computer in Literary Research: A Conference Report.” Computers and the Humanities, vol. 4, no. 5, 1970, pp. 315–317. JSTOR, www.jstor.org/stable/30199382. Accessed 11 May 2020.
Hardesty, William H., and David D. Mann. “Literary and Linguistic Research: The Cambridge Symposium.” Computers and the Humanities, vol. 7, no. 5, 1973, pp. 287–291. JSTOR, www.jstor.org/stable/30199579. Accessed 11 May 2020.","","62 participants from nine countries (incl. Australia, Belgium, Canada, Germany, Italy, the Netherlands, Norway, and the United States), via Farringdon, Michael G. “Symposium on the Uses of the Computer in Literary Research: A Conference Report.” Computers and the Humanities, vol. 4, no. 5, 1970, pp. 315–317. JSTOR, www.jstor.org/stable/30199382. Accessed 11 May 2020.","i","True","False","1970 Cambridge Cambridge Institution object (94) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1970 - Cambridge"
"54","1972","Edinburgh","Works based on published proceedings, which is an incomplete subset of the original conference program.","","Symposium on the Uses of Computers in Literary Research","1972-03-27","1972-03-30","Edinburgh","Scotland","65","The Computer and Literary Studies, ed. A. J. Aitken, R. W. Bailey and N. Hamilton-Smith, Edinburgh University Press, 1973 (proceedings of the conference held in Edinburgh, 1972).","","","i","True","False","1972 Edinburgh Edinburgh Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1972 - Edinburgh"
"55","1974","Cardiff","First official ""ALLC"" conference (ALLC was founded at a meeting in King's College in 1973)

[Scott Weingart has index to program in paper form]","","","1974-04-01","1974-04-05","Cardiff","Wales","65","The Computer in Literary and Linguistic Studies, ed. A. Jones and R. F. Churchhouse, University of Wales Press, 1976 (proceedings of the conference held in Cardiff, 1974).","","","i","True","False","1974 Cardiff Cardiff Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1974 - Cardiff"
"56","1976","Oxford University","","","","1976-04-05","1976-04-09","Oxford","England","65","Pester, A. R. ""The Use of the Computer in Linguistic and Literary Research."" ALLC Bulletin 4(3): 245-50","","","n","False","False","1976 Oxford University Oxford Institution object (575) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1976 - Oxford University"
"57","1978","Birmingham","Works based on published proceedings, which is an incomplete subset of the original conference program.","","","1978-04-03","1978-04-04","Birmingham","England","65","Advances in Computer-aided Literary and Linguistic Research (Ager, Knowles, & Smith 1979).","","","i","True","False","1978 Birmingham Birmingham Institution object (2145) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1978 - Birmingham"
"58","1980","Newnham College, Cambridge","http://users.ox.ac.uk/~lou/Reports/1980-03-28.html","","","1980-03-28","1980-04-03","Cambridge","England","65","","","","n","False","False","1980 Newnham College, Cambridge Cambridge Institution object (94) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1980 - Newnham College, Cambridge"
"59","1982","Pisa","Works based on published proceedings, which is an incomplete subset of the original conference program.","","","1982-06-07","1982-06-11","Pisa","","26","L. Cignoni and C. Peters (eds), 'Computers in Literary and  Linguistic Research: Proceedings of the Seventh International Symposium of the Association for Literary and Linguistic Computing, Pisa 1982', Pisa: Giardini, 1983.","","More than two hundred participants, with 65 papers accepted and 54 of those presented.","i","True","False","1982 Pisa Pisa Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1982 - Pisa"
"60","1984","Catholic University, Louvain","""10 AGM's doubled as international meetings from 1973 up to 1983. The Louvain Conference was the first one to coincide with the AGM so the Conference was (re)numbered 11."" -Vanhoutte","","","1984-04-02","1984-04-06","Leuven","","28","Hamesse, Jacqueline, and Antonio Zampolli, eds. Computers in Literary and Linguistic Computing. (Proceedings of the Eleventh International Conference of the Association for Literary and Linguistic Computing at the Catholic University of Louvain, April 12-6, 1984."" Geneva: Champion- Slatkine, 1985)","","","n","False","False","1984 Catholic University, Louvain Leuven Institution object (378) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1984 - Catholic University, Louvain"
"61","1985","Université de Nice","","","","1985-06-05","1985-06-08","Nice","","2","Report on the Twelfth ALLC International ALLC Conference - Nice 5-8 June 1985, ALLC Bulletin, 13 (1985), 77-79

Brunet, E., Ed.,Proceedings of the 12th ALLC Conference, Nice, France, 1985. Association for Literary & Linguistic Computing. Champion-Slatkine (Geneve & Paris, 1986).","","","n","False","False","1985 Université de Nice Nice Institution object (842) Association for Literary and Linguistic Computing / European Association of Digital Humanities ALLC/EADH Association for Literary and Linguistic Computing ALLC","1985 - Université de Nice"
