"id","name","city","state_province_region","country"
"182","Dunhuang Academy","","","68"
"183","Duquesne University","","","64"
"184","Eagle TS R&D","","","20"
"185","Early Manuscripts Electronic Library","","","64"
"186","Eastern Kentucky University","","","64"
"190","Ecole Nationale Supérieure des Arts et Techniques du Théâtre","Lyon","","2"
"192","École Normale Supérieure","","","2"
"193","Ecole Normale Supérieure de Lyon","Lyon","","2"
"194","Ecole Polytechnique de l'Université de Tours","","","2"
"196","École Polytechnique Fédérale de Lausanne (EPFL)","Lausanne","","9"
"197","Edinburgh College of Art","","","65"
"198","Ecole des hautes études en sciences sociales (EHESS)","Paris","","2"
"199","Electronic Literature Organization","","","64"
"200","ELTE University","Budapest","","31"
"201","Emery IT","","","64"
"202","Emily Carr University of Art and Design","Vancouver","British Columbia","13"
"203","Emory University","Atlanta","Georgia","64"
"205","ENEA/UDA","","","26"
"206","Engineering Ingegneria Informatica S.p.a.","","","26"
"208","Erasmus University Rotterdam","Rotterdam","","1"
"209","Estonian Literary Museum","","","32"
"210","ETH Zurich (Swiss Federal Institute of Technology Zurich)","Zurich","","9"
"211","Euchronie","","","2"
"212","European Academy Bozen-Bolzano (EURAC)","","","26"
"214","European Institute for Participatory Media","","","4"
"217","eXist Solutions","","","4"
"218","Fachhochschule Mainz (Mainz University of Applied Sciences)","Mainz","","4"
"219","Fachhochschule Potsdam (FHP / University of Applied Sciences Potsdam)","Potsdam","","4"
"223","Fairfield University","","","64"
"225","Finnish Literary Society","","","8"
"226","Fitchburg State University","","","64"
"227","Flinders University","Adelaide","","6"
"228","Florida Atlantic University","","","64"
"229","Florida State University","","","64"
"231","Folger Shakespeare Library","","","64"
"232","Fondazione Bruno Kessler","","","26"
"234","Fordham University","Bronx","","64"
"237","Freie Universität Berlin","Berlin","","4"
"238","Freies Deutsches Hochstift","","","4"
"241","Friedrich-Schiller-Universität Jena","Jena","","4"
"242","Furman University","Greenville","South Carolina","64"
"243","Göteborg University (Gothenburg)","Göteborg","","34"
"244","Gainesville College","","","64"
"245","Gakushuin University","Tokyo","","17"
"248","George Mason University","Fairfax","","64"
"249","Georgetown University","Washington","D.C.","64"
"251","Georgia State University","Atlanta","Georgia","64"
"253","Georgia Institute of Technology (Georgia Tech)","Atlanta","Georgia","64"
"254","German Institute for International Educational Research","","","4"
"255","Deutsches Forschungszentrum für Künstliche Intelligenz (German Research Center for Artificial Intelligence) (DFKI GmBH)","","","4"
"258","Ghent University","","","28"
"269","Graduate Institute of Applied Linguistics","","","64"
"270","GraphiTech","","","26"
"273","Gunma National College of Technology","","","17"
"274","Hacettepe University","","","24"
"276","Hamilton College","","","64"
"277","Hannover University","","","4"
"278","Hartwick College","Oneonta","New York","64"
"279","Harvard University","Cambridge","Massachusetts","64"
"280","Haverford College","Haverford","Pennsylvania","64"
"282","Hebrew University","","","20"
"284","Heidelberger Akademie der Wissenschaften","","","4"
"285","Heinrich-Heine-Institut Düsseldorf","","","4"
"286","Helsinki Collegium for Advanced Studies","","","8"
"287","Henley Middle School","","","64"
"288","Henrik Ibsen's Writings","","","35"
"290","Herzog August Bibliothek (Library)","Wolfenbüttel","","4"
"292","Hiroshima University","","","17"
"293","HistoryPin","","","64"
"294","Hokkaido University","","","17"
"296","Homeria Open Solutions S.L.","","","21"
"298","Humboldt-Universität zu Berlin (Humboldt University)","Berlin","","4"
"299","Hungarian Academy of Sciences","","","31"
"307","Hyogo University","Kakogawa","","17"
"308","Idaho State University","","","64"
"309","Idiap Research Institute","","","9"
"312","Illinois Institute of Technology","Chicago","","64"
"313","Illinois State University","","","64"
"314","Independent Digital History Software Services","","","64"
"315","Independent Museum Consultant, NY","","","64"
"316","Independent Poet","","","12"
"317","Independent Scholar","","",""
"318","Independent Software Developer","","",""
"319","Indian Institute of Technology (IIT), Indore","","","14"
"320","Indian Institute of Technology, Roorkee","","","14"
"323","Indiana University, Bloomington","Bloomington","Indiana","64"
"324","Indiana University, South Bend","","","64"
"325","Indiana University-Purdue University","","","64"
"326","Indianapolis Museum of Art","Indianapolis","Indiana","64"
"330","Institut Fondamental d'Afrique Noire","","","37"
"332","Institut für Deutsche Sprache (IDS)","Mannheim","","4"
"335","Institut National de l'information géographique et forestière","","","2"
"336","Institut national de recherche en informatique et en automatique (INRIA)","Rocquencourt","","2"
"337","Institut National des Langues et Civilisations Orientales","","","2"
"338","Institute for Autonomous intelligent Systems","","","4"
"340","Institute for Multimedia Literacy in the School of Cinematic Arts","","","64"
"341","Institute for Scientific and Technological Research (ITC-irst)","","","26"
"344","Institute of Historical Research","London","England","65"
"347","Institute of Mathematics and Informatics","","","25"
"348","Institute of the Czech National Corpus","","","29"
"350","Institutio Nationale de Fiscia Nucleare","","","26"
"351","Instituto Nacional de Antropología e Historia (National Institute of Anthropology and History)","Mexico City","","38"
"352","Instituut voor Nederlandse Lexicologie","","","1"
"353","International Institute for Digital Humanities","","","17"
"354","International Institute of Information Technology Hyderabad (IIIT-Hyderabad)","Hyderabad","","14"
"355","Intersect","","","6"
"356","Ionian University","Corfu","","18"
"357","Irvine Community College","","","64"
"361","Ithaka S+R","","","64"
"362","Izhevsk State Technical University","","","51"
"363","J.T. Watson IBM Research Center","","","64"
"365","Jagiellonian University","Krakow","","12"
"366","James Cook University","","","6"
"367","James Madison University","","","64"
"368","Janya, Inc","","","64"
"369","Jawaharlal Nehru University","","","14"
"371","Johann-Wolfgang-Goethe-Universität Frankfurt am Main (Goethe University of Frankfurt)","Frankfurt","","4"
"372","Jožef Stefan Institute","","","40"
"373","JSTOR","","","64"
"374","Justus-Liebig-Universität Gießen (University of Gießen)","Gießen","","4"
"377","Karlsruhe Institute of Technology (KIT)","Karlsruhe","","4"
"378","Katholieke Universiteit (KU) Leuven (Catholic University of Louvain)","Leuven","","28"
"380","Kempelen Farkas Speech Research Laboratory","","","31"
"381","Kennesaw State University","","","64"
"382","Kent State University","","","64"
"384","King's College London","London","England","65"
"388","Kinki University","","","17"
"389","Klassik Stiftung Weimar","","","4"
"390","Klokan Technologies GmbH","","","9"
"391","Knowledge Synergy Inc.","","","17"
"392","Koninklijke Bibliotheek (KB National Library of the Netherlands)","The Hague","","1"
"393","Korea University","","","41"
"395","Kumamoto Gakuen University","","","17"
"396","Kyoto University","","","17"
"397","L3S Research Center","","","4"
"398","La Soprintendenza archivistica per l'Emilia Romagna","","","26"
"399","La Trobe University","","","6"
"401","LAB1100","","","1"
"403","Lafayette College","","","64"
"405","Language Technology Lab","","","64"
"409","Leibniz Institute of European History","","","4"
"410","Leicester University","","","65"
"411","Leiden University","Leiden","","1"
"413","Lessius Hogeschool","","","28"
"414","Library of Congress","Washington D.C.","","64"
"416","Logica","","","65"
"417","London Metropolitan Archives, City of London Corporation","","","65"
"418","Los Alamos National Laboratory","","","64"
"419","Loughborough University","Loughborough","England","65"
"421","Loyola Marymount University","","","64"
"423","Loyola University, Chicago","Chicago","Illinois","64"
"425","Ludwig-Maximilans-Universität (Ludwig Maximilian University of Munich)","Munich","","4"
"426","Lund University","","","34"
"427","Macquarie University","","","6"
"428","Maharishi University of Management","","","64"
"430","Martin-Luther-Universität Halle-Wittenberg","Halle","","4"
"432","Marylhurst University","","","64"
"433","Marymount University","","","64"
"434","Masaryk University","Brno","","29"
"436","Massachusetts Historical Society","","","64"
"437","Massachusetts Institute of Technology","Boston","MA","64"
"438","Max Planck Computing & Data Facility (MPDCF), formerly Rechenzentrum Garching (RZG)","Garching","","4"
"440","Max Planck Institut für Wissenschaftsgeschichte","","","4"
"441","Max Planck Institute for Empirical Aesthetics","Frankfurt","","4"
"442","Max Planck Institute for Evolutionary Anthropology","","","4"
"443","Max Planck Institute for Psycholinguistics","","","1"
"444","Max Planck Institute for the History of Science","Berlin","","4"
"445","Maynooth University (National University of Ireland, Maynooth)","Maynooth","","16"
"447","McGill University","Montréal","Québec","13"
"448","McMaster University","Hamilton","Ontario","13"
"453","MegaVision","","","64"
"454","Memoragram, Peru","","","42"
"456","Memorial University of Newfoundland","St. John's","Newfoundland","13"
"457","METAe","","","64"
"459","Michigan State University","East Lansing","Michigan","64"
"460","Microsoft Bing","","","64"
"461","Middlebury College","","","64"
"464","MODUL University Vienna","","","5"
"465","Monash University","","","6"
"467","Morehead State University","","","64"
"468","Moscow State University","Moscow","","51"
"469","Mount Allison University","Sackville","New Brunswick","13"
"470","Mount Holyoke","","","64"
"471","Mount Holyoke College","","","64"
"473","Mount Royal University (Mount Royal College)","Calgary","Alberta","13"
"474","Musée de l'Homme","","","2"
"475","Musikwissenschaftliches Seminar Detmold/Paderborn","","","4"
"476","Nanjing University","Nanjing","","22"
"477","Napier University","","","65"
"478","NASA Goddard Space Flight Center","","","64"
"479","Nashoba Valley Technical Vocational High School","","","64"
"480","National Chengchi University","Taipei","","68"
"481","National and Kapodistrian University of Athens","","","18"
"482","National Archives and Records Administration","","","64"
"485","National College of Ireland","","","65"
"486","National Diet Library","","","17"
"487","National Endowment for the Humanities","Washington D.C.","","64"
"488","National e-Science Centre","","","65"
"489","National Initiative for a Networked Cultural Heritage","","","64"
"490","National Institute for Japanese Language and Linguistics","Tokyo","","17"
"491","National Institute for Japanese Literature","","","17"
"492","National Institute for Technology in Liberal Education (NITLE)","","","64"
"493","National Institute of Informatics","Tokyo","","17"
"495","National Institutes for the Humanities","","","17"
"496","National Library of Australia","","","6"
"497","National Library of Finland","","","8"
"498","National Library of Wales","","","65"
"499","National Library, Norway","Oslo","","35"
"500","National Polytechnic Institute, Mexico","","","38"
"501","National Research Council of Italy","","","26"
"502","National Research Council of Canada","","","13"
"503","National Research Council: Institute for European Intellectual Lexicon and History of Ideas (CNR-ILIESI)","","","26"
"506","National Research Unversity Higher School of Economics","Moscow","","51"
"507","National Sun Yat-sen University","","","22"
"508","National Taiwan Normal University, Taiwan","","","68"
"509","National Taiwan University","Taipei","","68"
"510","National Taiwan University of Technology and Science","","","68"
"511","National Tsing-hua University","","","68"
"513","National University of Ireland, Galway (NUI Galway)","Galway","","16"
"516","Universidad Nacional Autónoma de México (UNAM) (National Autonomous University of Mexico)","Mexico City","","38"
"517","National University of Singapore","Singapore","","44"
"518","Naturalis Biodiversity Center","","","1"
"519","Nazarbayev University","","","45"
"522","Net7 SRL, Internet Open Solutions","","","26"
"523","Netherlands eScience Center","Amsterdam","","1"
"524","Netherlands Institute for Sound and Vision","","","1"
"525","Netherlands Institute for War Documentation (NIOD)","Amsterdam","","1"
"526","Network in Canadian History & Environment","","","13"
"527","New Bulgarian University","","","25"
"528","New Jersey Institute of Technology","","","64"
"529","New Mexico State University","","","64"
"530","New School for Liberal Arts","","","64"
"532","New York City Technical College, CUNY","New York","New York","64"
"533","New York Public Library","","","64"
"534","New York University","New York","New York","64"
"535","New Zealand Electronic Text Centre","","","46"
"536","Newberry Library","Chicago","","64"
"537","Newcastle University","Newcastle-upon-Tyne","England","65"
"538","NewsBlip","","","64"
"540","NIOD Institute for War, Holocaust and Genocide Studies","","","1"
"541","Nipissing University","","","13"
"542","No Affiliation","","","2"
"543","North Carolina State University","Raleigh","North Carolina","64"
"544","North Dakota State University","","","64"
"545","Northeastern University","Boston","Massachusetts","64"
"546","Northern Illinois University","DeKalb","Illinois","64"
"547","Northwestern University","Chicago","","64"
"548","Norwegian University of Science and Technology","","","35"
"549","Nottingham Trent University","","","65"
"550","Novosibirsk Pedagogical University","","","51"
"551","NPO ""The Field""","","","17"
"552","N-Topus Software","","","64"
"553","Ochanomizu University","","","17"
"554","OCLC Online Computer Library Center","Dublin","Ohio","64"
"555","Odense University","","","10"
"556","Oesterreichische Akademie der Wissenschaften","","","5"
"557","Ogden Consulting Group","","","64"
"558","Ohio State University","Columbus","Ohio","64"
"559","Oklahoma State University","","","64"
"560","Old Dominion University","","","64"
"561","Oles Honchar Dnipropetrovsk National University","","","47"
"562","Ontos verlag, Heusenstamm nr. Frankfurt","","","4"
"563","Open Knowledge Foundation","","","65"
"564","Open Sky Solutions","","","13"
"565","Open University","Milton Keynes","England","65"
"566","OpenText.org","","","65"
"567","Oregon Health & Science University","","","64"
"568","Organization for the Advancement of Structured Information Standards {OASIS}","","","64"
"569","Orient-Institut Beirut","","","15"
"571","Osaka-Shoin Women's University","","","17"
"572","Overbits","","","48"
"575","Oxford University","Oxford","England","65"
"576","OZWE, Lausanne","","","9"
"577","pagina GmbH publication technologies","","","64"
"578","Palo Alto Research Center","","","64"
"579","Parcours numérique","","","13"
"583","Payap University","","","49"
"585","Pedagogical University of Krakow","Krakow","","12"
"587","Pennsylvania State University","State College","Pennsylvania","64"
"589","Performant Software Solutions LLC","","","64"
"590","Perm State National Research University","Perm","","51"
"591","Petőfi Literary Museum","Budapest","","31"
"592","Petrozavodsk State University","","","51"
"594","Piez Consulting Services","","","64"
"597","Polish Academy of Sciences","","","12"
"598","Politecnico di Milano (Polytechnic University of Milan)","Milan","","26"
"599","Politecnico di Torino","","","26"
"601","Pomona College","","","64"
"603","Prairie View A&M University","","","64"
"604","Pratt Institute","Brooklyn","New York","64"
"605","Presidency University, Kolkata","","","14"
"607","Princeton University","Princeton","New Jersey","64"
"608","ProQuest Information and Learning","","","64"
"609","Providence College","","","64"
"611","Public Research Centre Henri Tudor","","","27"
"612","Purdue University","West Lafayette","Indiana","64"
"615","Queens University of Belfast","","","16"
"617","Queensland University of Technology","","","6"
"618","QuestionCopyright.org","","","64"
"619","R.B. Toth Associates","","","64"
"620","RACAI-Romanian Academy Center for Artificial Intelligence","","","19"
"621","Radboud University","Nijmegen","","1"
"622","regesta.exe","","","26"
"623","Rensselaer Polytechnic Institute","Troy","New York","64"
"626","Research Institute for Linguistics","","","31"
"627","Research Libraries Group","","","64"
"629","Rice University","Houston","","64"
"630","Richard Stockton College","","","64"
"632","Ritsumeikan University","","","17"
"634","Rochester Institute of Technology","","","64"
"635","Royal College of Music","","","65"
"636","Royal Holloway University of London","","","65"
"637","Royal Irish Academy","","","16"
"639","Ruhr-University Bochum","Bochum","","4"
"641","Russian Academy of Sciences","","","51"
"642","Rutgers University","","New Jersey","64"
"643","Ryerson University","Toronto","Ontario","13"
"645","Saint Louis University","St. Louis","Missouri","64"
"646","Saint Mary's University","","","64"
"647","Saitama University","","","17"
"648","Salomon Ludwig Steinheim-Institut für deutsch-jÃ¼dische Geschichte","","","4"
"649","Salzburg Research","","","5"
"650","Sam Houston State University","Huntsville","Texas","64"
"651","San Diego State University (SDSU)","San Diego","California","64"
"652","San Diego United","","","64"
"653","San Jose State University","","","64"
"654","Sapienza Università di Roma (Sapienza University of Rome)","Rome","","26"
"656","Science Po","Paris","","2"
"657","Scottish National Dictionary Association","","","65"
"658","Scripps College","","","64"
"660","Scuola Normale Superiore di Pisa","Pisa","","26"
"661","Secrit-CONICET","","","50"
"662","Semandra","","","13"
"663","Seton Hill University","","","64"
"664","Shanghai Jiao Tong University","","","22"
"665","Shaw University","","","64"
"666","Sheffield Hallam University","","","65"
"668","Shippenberg University","","","64"
"669","Shizuoka University","","","17"
"670","Siberian Federal University","Krasnoyarsk","","51"
"671","Sidwell School, Washington, D.C","","","64"
"673","Simon Fraser University","","","13"
"675","Skidmore College","","","64"
"676","Slovene Academy of Sciences and Arts (SAZU)","","","40"
"677","SLUB-Dresden","","","4"
"678","Smithsonian American Art Museum","","","64"
"679","Smithsonian Transcription Center","","","64"
"680","Smolensk State University","","","51"
"682","Society of Biblical Literature","","","64"
"683","Sofia University","","","25"
"684","Song New Creative","","","64"
"685","Sonic Linguistics","","","18"
"686","Southern Cross University","","","6"
"687","Soziologisches Forschungsinstitut Göttingen","","","4"
"690","St. Patrick's College","","","16"
"691","St. Petersburg State University","","","51"
"692","St. Petersburg University of Transport","","","51"
"694","Stanford University","Palo Alto","California","64"
"696","State Library of NSW","","","6"
"697","State Library of Queensland","","","6"
"698","State University of Feira de Santana","","","33"
"699","State University of New Jersey","","","64"
"701","Stedelijk Museum","","","1"
"702","Stevens Institute of Technology","","","64"
"703","Stuttgart Media University","","","4"
"705","SUNY New Paltz","","","64"
"707","Swarthmore College","","","64"
"709","Swiss Academy of the Humanities and Social Sciences","","","9"
"710","Swiss Institute of Bioinformatics","","","9"
"711","Swiss Literary Archives","","","9"
"712","Syracuse University","Syracuse","New York","64"
"713","Szczecin University","","","12"
"714","Taipei National University of the Arts","Taipei","","68"
"715","Tate","","","65"
"717","Eindhoven University of Technology","Eindhoven","","1"
"718","Technische Universität Darmstadt (Technical University of Darmstadt)","Darmstadt","","4"
"719","Technische Universität Dortmund","Dortmund","","4"
"720","Teklia","","","2"
"722","Tel-Aviv University","Tel Aviv","","20"
"723","Telecom ParisTech","","","2"
"724","Telecom ParisTech, Centre Norbert Elias","","","2"
"725","Temple University","Philadelphia","","64"
"728","Texas A&M University","College Station","Texas","64"
"729","Texas Center for Applied Technology","","","64"
"730","TGE-Adonis","","","2"
"731","The Arni Magnusson Institute for Icelandic Studies","","","52"
"732","The British Museum","","","65"
"733","The College of New Jersey","","","64"
"737","The Medici Archive Project","","","26"
"738","The National Board of Antiquities","","","8"
"739","The National Digital Library project","","","8"
"741","The New School","","","64"
"743","The Polis Center at IUPUI","","","64"
"744","The Swedish Literature Bank","","","34"
"746","The University of Huddersfield","","","65"
"748","The University of North Texas","","","64"
"751","Themis Research","","","13"
"752","Tibetan Buddhist Resource Center","","New York","64"
"753","Tidewater Community College","","","64"
"754","Tilburg University","","","1"
"755","Tokyo Institute of Technology","Tokyo","","17"
"756","Toyo Bunko","","","17"
"757","Toyo University","","","17"
"760","Trinity College","Hartford","","64"
"762","Trinity College Dublin","","","16"
"764","Tsurumi University","Yokohama","","17"
"766","Tufts University","Middlesex County","Massachusetts","64"
"767","Turku University","Turku","","8"
"768","Twitter","","","14"
"771","Udmurtia State University","","","51"
"772","Umeå University","","","34"
"774","Union College","Schenectady","New York","64"
"775","Unitec Institute of Technology","","","46"
"777","University of Dhaka","Dhaka","","54"
"779","Universidad Carlos III de Madrid","","","21"
"780","Universidad Complutense de Madrid","Madrid","","21"
"781","Universidad de Alicante","","","21"
"782","Universidad de Extremadura","","","21"
"783","Universidad de La Laguna","","","21"
"784","Universidad de Las Palmas de Gran Canaria","","","21"
"786","Universidad de San Andrés","","","50"
"787","Universidad de Sevilla","","","21"
"791","Universidade de São Paulo","","","33"
"792","Universidade Estadual De Feira De Santana","","","33"
"793","Universidade Nova de Lisboa","","","55"
"796","Università degli Studi di Salerno","","","26"
"797","Università  Ca' Foscari","Venice","","26"
"798","Università  degli studi di Torino","Turin","","26"
"799","Università  del Piemonte Orientale","","","26"
"801","Università di Pisa","Pisa","","26"
"804","Università per Stranieri di Siena","","","26"
"806","Università Politecnica delle Marche","Ancona","","26"
"808","Universität Bonn","","","4"
"809","Universität des Saarlandes (Saarland University)","Saarbrücken","","4"
"810","Universität Duisburg-Essen (University of Duisburg-Essen)","","","4"
"813","Karl-Franzens Universität Graz (University of Graz)","Graz","","5"
"814","Universität Hamburg (University of Hamburg)","Hamburg","","4"
"816","Universität Konstanz","Konstanz","","4"
"817","Universität Leipzig","Leipzig","","4"
"818","Universitat Oberta de Catalunya","","","21"
"819","Universität Paderborn","Paderborn","","4"
"820","Universität Passau","Passau","","4"
"821","Universitat Pompeu Fabra","","","21"
"822","Universität Stuttgart","Stuttgart","","4"
"823","Universität Trier","Trier","","4"
"825","Universität Tübingen (University of Tubingen / Tuebingen)","Tübingen","","4"
"827","Universität Würzburg (Julius Maximilian University of Wurzburg)","Würzburg","","4"
"832","Universität Zürich (University of Zurich)","Zürich","","9"
"834","Université de Franche-Comté","","","2"
"835","Université de Fribourg","Fribourg","","9"
"836","Université de Genève","","","9"
"837","Université de Lausanne","Lausanne","","9"
"838","Université de Lille 3","","","2"
"839","Université de Lyon (University of Lyon)","Lyon","","2"
"840","Université de Montréal","Montréal","Quebec","13"
"841","Université de Neuchâtel","Neuchâtel","","9"
"842","Université de Nice Sophia Antipolis (University of Nice)","Nice","","2"
"843","Université de Poitiers (University of Poitiers)","Poitiers","","2"
"845","Université de Valencienne","","","2"
"846","Université de Valenciennes et du Hainaut-Cambrésis","","","2"
"847","Université d'Ottawa (University of Ottawa)","Ottawa","Ontario","13"
"848","Université du Littoral Côte dOpale","","","2"
"849","Université du Québec à Montréal (Quebec a Montral - UQAM)","Montreal","","13"
"852","Université du Québec Ã  Trois-RiviÃ¨res","","","13"
"853","Université Francois-Rabelais","","","2"
"855","Université Grenoble Alpes","Grenoble","","2"
"856","Université Jean Monnet","","","2"
"857","Université Jean Moulin","","","2"
"858","Université Laval","","","13"
"859","Université Nancy 2","","","2"
"862","Université Paris 1 Panthéon-Sorbonne","Paris","","2"
"863","Université Paris Descartes","","","2"
"865","Université Paris-Sorbonne, Paris IV (Paris-Sorbonne University)","Paris","","2"
"866","Université Paris-Diderot","Paris","","2"
"871","Université Paul-Valéry Montpellier","Montpellier","","2"
"872","Université Pierre et Marie Curie (UPMC) (University of Pierre and Marie Curie)","Paris","","2"
"873","Université Sorbonne Nouvelle Paris 3","Paris","","2"
"874","Universiti Utara Malaysia","","","56"
"876","University Alicante","","","21"
"878","University at Buffalo, State University of New York (SUNY)","Buffalo","New York","64"
"880","University Charles de Gaulle","","","2"
"881","University Cheikh Anta Diop of Dakar","","","37"
"882","University College Cork","Cork","","16"
"884","University College London","London","England","65"
"887","Friedrich-Alexander-Universität Erlangen-Nürnberg","Erlangen","","4"
"890","University Miguel Hernández","Elche","","21"
"891","University of Aberdeen","","","65"
"892","University of Alabama","Tuscaloosa","Alabama","64"
"893","University of Alberta","Edmonton","Alberta","13"
"894","University of Alicante","","","21"
"895","University of Amsterdam","Amsterdam","","1"
"896","University of Antwerp","Antwerp","","28"
"897","University of Applied Sciences of Southern Switzerland","","","9"
"898","University of Arizona","Tucson","Arizona","64"
"899","University of Augsburg","","","4"
"900","University of Aveiro","","","55"
"901","University of Avignon","Avignon","","2"
"902","University of Baltimore, Maryland","","","64"
"903","Otto-Friedrich-University of Bamberg","Bamberg","","4"
