"id","work","keyword"
"143","161","466"
"144","161","1783"
"145","162","1514"
"146","162","379"
"147","162","2037"
"148","163","2824"
"149","163","1706"
"151","165","1706"
"152","165","763"
"153","165","3011"
"154","166","3006"
"155","166","2399"
"156","166","2087"
"158","167","3028"
"159","167","2677"
"160","167","1655"
"161","169","2096"
"162","169","923"
"163","169","1591"
"164","170","1305"
"165","170","922"
"166","170","764"
"167","172","2272"
"168","172","97"
"169","172","1418"
"171","174","2555"
"172","174","188"
"173","174","1854"
"174","175","2875"
"175","175","2671"
"176","176","1824"
"177","176","2908"
"178","177","864"
"179","177","2057"
"180","177","1860"
"181","178","576"
"182","178","1858"
"183","178","821"
"185","181","2063"
"186","182","3039"
"188","182","2975"
"189","185","2866"
"190","185","1307"
"191","185","2437"
"192","186","912"
"193","186","2199"
"194","186","1111"
"195","187","2736"
"197","187","2124"
"198","188","2200"
"199","189","2881"
"200","189","2882"
"201","189","2677"
"202","190","2584"
"203","192","321"
"204","192","265"
"205","192","1707"
"206","193","202"
"207","193","2394"
"208","193","1679"
"209","1579","1088"
"210","1579","1251"
"212","1579","1969"
"213","1579","125"
"214","1580","1306"
"215","1580","749"
"216","1580","14"
"217","1582","2931"
"218","1582","2667"
"219","1582","1654"
"220","1583","2466"
"221","1583","1795"
"222","1583","2667"
"223","1583","114"
"224","1583","3004"
"225","1584","2569"
"226","1584","922"
"227","1584","1786"
"228","1585","1093"
"229","1585","2474"
"230","1585","2063"
"231","1585","2484"
"232","1585","2906"
"233","1586","1136"
"234","1586","1425"
"235","1586","2865"
"236","1586","1800"
"237","1587","2848"
"238","1587","1097"
"239","1587","1937"
"240","1587","1035"
"241","1588","1900"
"242","1588","2452"
"243","1588","50"
"244","1588","148"
"245","1589","2705"
"246","1589","1923"
"247","1589","1085"
"248","1589","2182"
"249","1590","3033"
"250","1590","2818"
"251","1590","540"
"252","1591","2187"
"253","1591","428"
"254","1591","1804"
"255","1591","878"
"256","1591","54"
"258","1592","451"
"259","1592","1461"
"261","1593","451"
"263","1593","1675"
"264","1593","1779"
"267","1594","1418"
"268","1594","2118"
"269","1595","56"
"270","1595","2649"
"272","1595","1845"
"273","1596","1557"
"274","1596","1292"
"275","1596","125"
"276","1596","1938"
"277","1597","2433"
"278","1597","2667"
"279","1597","555"
"280","1598","2016"
"281","1598","1155"
"282","1598","2958"
"283","1598","2388"
"284","1598","1625"
"285","1599","161"
"286","1599","1697"
"290","1600","1477"
"292","1600","2349"
"293","1600","2554"
"294","1600","191"
"295","1601","193"
"296","1601","99"
"297","1601","1831"
"298","1601","2218"
"299","1601","1727"
"300","1602","2106"
"301","1602","2692"
"302","1602","341"
"304","1604","1433"
"305","1604","987"
"306","1604","2289"
"307","1604","837"
"308","1605","2370"
"311","1606","2417"
"313","1606","2396"
"315","1607","2710"
"316","1608","816"
"317","1608","1603"
"318","1608","2861"
"319","1609","384"
"320","1609","1433"
"321","1609","482"
"322","1610","2417"
"323","1610","878"
"324","1610","342"
"325","1610","1631"
"326","1611","2823"
"328","1611","1359"
"329","1611","253"
"330","1611","573"
"331","1612","656"
"332","1612","254"
"333","1612","2010"
"334","1612","2267"
"336","1613","1835"
"340","1613","2494"
"341","1614","256"
"342","1614","241"
"343","1614","738"
"344","1614","132"
"345","1616","2471"
"346","1616","675"
"347","1616","2982"
"348","1616","1471"
"349","1617","2216"
"353","1619","264"
"354","1619","2957"
"355","1619","2943"
"356","1620","732"
"357","1620","292"
"358","1620","2665"
"359","1620","1692"
"360","1620","2302"
"361","1621","1433"
"364","1621","1142"
"365","1622","674"
"366","1622","1798"
"367","1622","2857"
"368","1622","632"
"369","1622","382"
"370","1624","2177"
"372","1624","973"
"373","1624","1456"
"374","1624","2364"
"375","1625","33"
"376","1625","2177"
"378","1625","973"
"379","1625","2364"
"380","1626","1297"
"381","1626","1890"
"382","1626","614"
"383","1626","1743"
"384","1627","382"
"385","1627","1033"
"386","1627","266"
"387","1627","2845"
"388","1627","2494"
"389","1630","1376"
"390","1630","230"
"391","1630","340"
"392","1630","2357"
"393","1630","2427"
"395","1631","2653"
"396","1631","622"
"397","1631","1215"
"398","1632","1731"
"399","1632","2757"
"400","1632","2189"
"401","1632","1042"
"402","1632","2684"
"403","1633","396"
"404","1633","1822"
"405","1633","2327"
"406","1634","2760"
"407","1634","2684"
"408","1634","2629"
"409","1635","1441"
"410","1635","1987"
"411","1635","1893"
"412","1635","2737"
"413","1635","410"
"414","1636","1184"
"415","1636","1219"
"416","1636","164"
"417","1636","1748"
"419","1637","2980"
"420","1637","933"
"421","1637","393"
"422","1637","555"
"423","1637","1516"
"424","1637","404"
"425","1639","2702"
"426","1639","1351"
"427","1640","399"
"428","1641","2905"
"429","1641","2091"
"430","1641","1398"
"431","1642","736"
"432","1642","2763"
"433","1642","1688"
"434","1642","1686"
"435","1642","1016"
"436","1643","249"
"438","1643","99"
"439","1643","273"
"440","1644","160"
"441","1644","1507"
"442","1644","10"
"443","1644","1807"
"444","1644","573"
"445","1645","2317"
"446","1646","1760"
"447","1646","642"
"451","1647","1330"
"452","1647","1827"
"453","1647","1828"
"454","1647","1767"
"456","1648","2514"
"457","1648","1118"
"458","1649","617"
"459","1649","1387"
"460","1650","34"
"461","1650","99"
"462","1650","1890"
"463","1650","1944"
"464","1650","1305"
"466","1651","188"
"467","1651","1076"
"468","1651","1108"
"470","1652","2289"
"471","1652","922"
"472","1652","596"
"473","1653","2825"
"474","1653","586"
"475","1653","2063"
"477","1653","2142"
"478","1654","416"
"479","1654","419"
"481","1654","2767"
"482","1654","1183"
"484","1655","636"
"485","1655","2990"
"486","1655","2804"
"487","1656","1996"
"488","1656","2478"
"489","1656","2066"
"490","1656","2357"
"491","1656","2199"
"492","1657","2628"
"494","1657","2667"
"495","1657","2861"
"496","1657","2364"
"499","1658","1365"
"501","1658","2617"
"503","1659","2756"
"504","1659","2494"
"505","1660","672"
"507","1660","1140"
"508","1660","2100"
"509","1660","573"
"510","1661","865"
"511","1661","99"
"512","1661","2246"
"513","1662","66"
"514","1662","2595"
"515","1662","1160"
"516","1662","586"
"517","1662","952"
"518","1663","1771"
"519","1663","1158"
"520","1663","2063"
"521","1664","617"
"522","1664","2362"
"523","1664","2497"
"524","1664","1135"
"525","1665","0"
"526","1665","1433"
"527","1665","588"
"528","1665","2063"
"529","1666","2684"
"530","1666","1890"
"531","1666","1299"
"532","1666","629"
"533","1666","2428"
"534","1666","701"
"535","1667","1504"
"536","1667","419"
"537","1667","749"
"538","1667","382"
"539","1667","1151"
"540","1668","2438"
"541","1668","1702"
"542","1668","1097"
"544","1668","351"
"545","1669","707"
"546","1669","900"
"547","1669","1348"
"548","1669","2855"
"549","1669","1338"
"550","1670","568"
"551","1670","298"
"552","1670","436"
"553","1670","2538"
"554","1671","1609"
"555","1671","801"
"556","1671","2787"
"557","1671","575"
"558","1672","809"
"559","1672","2475"
"560","1673","729"
"561","1673","819"
"562","1673","2861"
"564","1674","24"
"566","1674","2597"
"567","1674","2365"
"568","1675","664"
"569","1675","778"
"570","1675","860"
"571","1676","2176"
"572","1676","2919"
"573","1676","2987"
"574","1676","239"
"575","1676","2480"
"576","1677","522"
"577","1677","2894"
"578","1677","884"
"579","1677","886"
"580","1677","1912"
"582","1678","2124"
"583","1678","2478"
"585","1678","93"
"586","1679","929"
"587","1679","1364"
"589","1679","2767"
"590","1680","1706"
"591","1680","915"
"593","1681","1674"
"594","1681","1451"
"595","1681","2775"
"597","1682","274"
"598","1682","1225"
"599","1682","645"
"600","1683","2549"
"601","1683","1237"
"603","1684","2616"
"604","1684","1290"
"605","1684","2507"
"606","1686","1987"
"607","1686","733"
"608","1686","3011"
"609","1687","1442"
"610","1687","1891"
"611","1687","646"
"612","1687","1257"
"614","1688","2616"
"615","1688","1290"
"616","1688","2507"
"617","1689","954"
"618","1689","132"
"619","1689","1650"
"620","1689","2063"
"621","1690","99"
"622","1690","1443"
"624","1690","2962"
"625","1690","1845"
"626","1691","2176"
"628","1692","100"
"629","1692","1316"
"630","1692","2396"
"631","1693","3040"
"632","1693","1929"
"633","1693","810"
"635","1694","2622"
"636","1694","2623"
"638","1695","2118"
"639","1696","2113"
"640","1696","356"
"641","1696","1829"
"642","1696","308"
"643","1696","310"
"645","1697","1436"
"646","1697","2118"
"647","1698","1258"
"648","1698","2675"
"649","1699","2595"
"650","1699","2677"
"651","1699","758"
"652","1699","24"
"653","1699","2042"
"654","1700","1922"
"655","1700","1926"
"656","1700","2667"
"657","1700","2285"
"658","1700","270"
"660","1702","1934"
"661","1702","2229"
"662","1702","983"
"663","1702","1528"
"664","1703","68"
"665","1703","2373"
"666","1703","230"
"667","1703","2478"
"668","1703","2357"
"669","1703","2234"
"670","1703","763"
"671","1704","1360"
"672","1704","2610"
"673","1704","555"
"674","1705","2473"
"675","1705","1965"
"676","1705","2485"
"677","1705","2159"
"678","1706","132"
"679","1706","1958"
"680","1706","787"
"681","1706","1047"
"682","1706","889"
"683","1707","2722"
"684","1707","1482"
"685","1707","2856"
"686","1707","398"
"687","1708","2688"
"688","1708","2695"
"689","1708","807"
"690","1708","730"
"691","1708","2207"
"694","1709","558"
"695","1710","2598"
"696","1710","1996"
"697","1710","2066"
"698","1710","2357"
"699","1710","2199"
"700","1711","1128"
"701","1711","1971"
"702","1711","1286"
"704","1713","1358"
"705","1713","85"
"707","1713","2815"
"708","1716","1809"
"709","1716","2748"
"710","1716","2513"
"711","1717","480"
"712","1717","2059"
"713","1717","1493"
"714","1717","2199"
"716","1718","987"
"717","1718","2018"
"719","1719","2708"
"720","1719","398"
"721","1721","491"
"722","1721","116"
"723","1721","2006"
"725","1722","2306"
"726","1722","813"
"727","1722","1495"
"728","1722","2366"
"729","1722","1407"
"730","1723","1600"
"731","1723","2633"
"732","1723","366"
"733","1723","660"
"734","1723","1433"
"736","1724","395"
"737","1724","1871"
"738","1724","958"
"739","1724","1598"
"740","1725","2417"
"741","1725","2843"
"742","1725","1860"
"743","1725","1631"
"744","1726","1944"
"745","1726","970"
"746","1726","2668"
"747","1727","555"
"748","1727","1484"
"749","1727","2485"
"750","1727","1631"
"751","1729","1760"
"752","1729","2417"
"753","1729","734"
"754","1729","1631"
"755","1730","1792"
"756","1730","1889"
"757","1730","73"
"758","1730","1655"
"759","1730","1118"
"760","1731","1984"
"761","1731","2072"
"762","1731","1860"
"763","1731","166"
"764","1732","496"
"765","1732","979"
"767","1732","2645"
"768","1732","925"
"769","1734","585"
"770","1734","612"
"771","1734","844"
"772","1735","833"
"773","1735","492"
"774","1735","718"
"775","1735","2834"
"776","1735","25"
"777","1736","2150"
"778","1736","491"
"779","1736","3022"
"780","1736","2651"
"781","1736","2107"
"782","1737","419"
"783","1737","749"
"786","1738","2417"
"788","1738","1468"
"790","1739","2667"
"791","1739","2648"
"792","1739","850"
"793","1739","1208"
"794","1739","1212"
"795","1740","753"
"796","1740","1603"
"797","1740","755"
"798","1741","2169"
"799","1741","555"
"800","1742","2169"
"801","1742","586"
"802","1742","749"
"803","1742","922"
"804","1743","1714"
"805","1743","355"
"806","1743","2612"
"807","1743","717"
"808","1744","2515"
"809","1744","2335"
"810","1744","1118"
"811","1744","1287"
"812","1745","1696"
"813","1745","910"
"814","1745","690"
"815","1745","2132"
"816","1745","2748"
"817","1746","1696"
"818","1746","1121"
"819","1746","2912"
"820","1746","717"
"822","1747","1698"
"823","1747","2105"
"824","1748","617"
"825","1748","1706"
"826","1748","1659"
"827","1748","2028"
"828","1749","2937"
"829","1749","2271"
"830","1749","1803"
"831","1749","1799"
"832","1750","1032"
"833","1750","1760"
"834","1750","51"
"835","1750","1750"
"836","1751","65"
"838","1751","2118"
"839","1751","1679"
"840","1751","2963"
"841","1752","2898"
"843","1752","591"
"845","1753","1091"
"846","1753","676"
"847","1753","999"
"848","1754","1640"
"849","1754","2401"
"850","1754","2485"
"851","1755","235"
"852","1755","366"
"853","1755","1298"
"854","1755","1268"
"855","1755","1018"
"856","1756","441"
"857","1756","122"
"858","1756","705"
"859","1757","99"
"860","1757","1948"
"861","1757","2357"
"862","1758","555"
"863","1758","428"
"864","1758","1979"
"865","1759","293"
"866","1759","262"
"867","1759","523"
"868","1759","2828"
"869","1759","282"
"870","1760","1888"
"871","1760","707"
"872","1760","1575"
"875","1761","1435"
"876","1761","2844"
"877","1761","2245"
"878","1761","598"
"879","1762","1221"
"880","1762","2791"
"881","1762","1131"
"882","1762","2196"
"883","1762","2485"
"884","1763","136"
"885","1763","1458"
"886","1763","947"
"888","1764","1706"
"890","1764","1806"
"891","1765","162"
"892","1765","208"
"893","1765","1978"
"894","1765","2238"
"895","1765","735"
"897","1766","2724"
"898","1766","2118"
"899","1766","1679"
"900","1767","2944"
"901","1767","1293"
"903","1767","559"
"904","1767","2677"
"905","1768","1280"
"907","1768","1712"
"908","1768","817"
"909","1768","1074"
"910","1769","1585"
"911","1769","306"
"913","1770","2093"
"915","1770","1329"
"916","1770","1907"
"917","1770","185"
"918","1771","1714"
"919","1771","355"
"920","1771","2612"
"921","1771","717"
"922","1772","2033"
"923","1772","819"
"924","1772","2316"
"925","1772","2313"
"926","1773","2404"
"927","1773","2088"
"928","1773","1996"
"929","1773","749"
"930","1773","2068"
"931","1774","2481"
"932","1774","2650"
"933","1774","1028"
"935","1776","2940"
"936","1776","2962"
"937","1777","418"
"938","1777","1963"
"939","1777","2063"
"940","1777","2000"
"941","1777","2001"
"942","1778","1082"
"943","1778","2015"
"944","1779","2114"
"945","1779","2452"
"947","1780","2553"
"948","1780","2684"
"949","1780","2485"
"951","1781","2465"
"952","1781","2481"
"953","1781","1485"
"954","1781","158"
"956","1782","2090"
"957","1782","2118"
"958","1782","2503"
"959","1783","673"
"960","1783","586"
"961","1783","37"
"962","1783","2071"
"963","1784","1345"
"965","1784","1559"
"966","1785","513"
"967","1785","2689"
"969","1785","2767"
"970","1785","2429"
"971","1787","2385"
"972","1787","508"
"973","1787","3038"
"974","1787","958"
"975","1788","1482"
"977","1788","1294"
"978","1788","559"
"979","1788","666"
"980","1789","2040"
"981","1789","3028"
"982","1789","340"
"984","1790","2684"
"985","1790","876"
"987","1791","1636"
"988","1791","580"
"989","1791","1395"
"990","1791","629"
"992","1792","1636"
"993","1792","1395"
"994","1792","2165"
"995","1792","629"
"997","1793","2945"
"998","1793","2180"
"999","1793","1771"
"1000","1793","1011"
"1001","1793","2108"
"1002","1794","1433"
"1003","1794","2503"
"1004","1794","382"
"1005","1794","1159"
"1006","1795","355"
"1007","1795","1061"
"1008","1795","2118"
"1010","1795","2684"
"1012","1797","2114"
"1014","1797","486"
"1015","1798","2288"
"1016","1798","2849"
"1017","1798","2810"
"1018","1798","2844"
"1019","1799","348"
"1020","1799","1973"
"1021","1799","2478"
"1022","1800","2756"
"1023","1800","2884"
"1025","1800","2710"
"1026","1800","2873"
"1027","1801","1265"
"1028","1801","2770"
"1029","1801","2357"
"1031","1802","745"
"1033","1802","132"
"1034","1802","1073"
"1035","1803","1114"
"1036","1803","2823"
"1037","1805","591"
"1038","1806","260"
"1039","1806","625"
"1040","1806","242"
"1041","1806","819"
"1042","1806","1524"
"1043","1807","558"
"1044","1807","1737"
"1045","1807","70"
"1047","1808","896"
"1048","1808","1549"
"1049","1809","2424"
"1050","1809","2667"
"1051","1809","2861"
"1052","1811","2961"
"1053","1811","2295"
"1054","1811","2879"
"1055","1811","1655"
"1056","1812","312"
"1057","1812","2679"
"1058","1812","1526"
"1059","1812","1014"
"1060","1812","152"
"1061","1813","2443"
"1062","1813","749"
"1063","1813","2511"
"1064","1813","2550"
"1065","1813","89"
"1066","1814","2658"
"1067","1814","1996"
"1068","1814","721"
"1069","1814","2199"
"1070","1814","1497"
"1071","1815","2608"
"1072","1815","2217"
"1073","1815","2026"
"1074","1816","128"
"1075","1816","2503"
"1077","1816","1679"
"1078","1817","2696"
"1079","1817","225"
"1080","1817","2710"
"1081","1817","1167"
"1082","1818","897"
"1083","1818","1661"
"1084","1818","228"
"1085","1818","1265"
"1086","1819","2919"
"1087","1819","1767"
"1088","1819","1262"
"1089","1819","1592"
"1090","1819","2398"
"1091","1820","2708"
"1092","1820","2626"
"1093","1820","1580"
"1094","1820","1413"
"1095","1821","1124"
"1096","1821","495"
"1097","1821","561"
"1098","1821","469"
"1099","1821","1785"
"1100","1822","3018"
"1101","1822","2263"
"1102","1822","378"
"1103","1822","571"
"1104","1822","2268"
"1105","1823","3003"
"1106","1823","2620"
"1107","1823","1726"
"1108","1824","1912"
"1109","1824","1705"
"1112","1825","609"
"1113","1825","550"
"1114","1825","1451"
"1115","1825","1390"
"1116","1825","1104"
"1117","1826","1157"
"1118","1826","2633"
"1119","1826","2067"
"1120","1826","2069"
"1121","1826","1815"
"1123","1827","1477"
"1124","1827","2349"
"1125","1827","2133"
"1126","1827","191"
"1127","1828","1696"
"1129","1828","2063"
"1132","1829","1478"
"1133","1830","449"
"1134","1830","1666"
"1135","1830","2495"
"1136","1831","132"
"1137","1831","1515"
"1138","1831","592"
"1139","1831","2684"
"1140","1831","2559"
"1141","1832","717"
"1142","1832","821"
"1143","1832","250"
"1144","1832","763"
"1145","1832","863"
"1146","1833","2184"
"1147","1833","2185"
"1148","1833","464"
"1150","1833","29"
"1151","1834","2752"
"1152","1834","577"
"1153","1834","1253"
"1154","1834","3028"
"1155","1834","629"
"1156","1835","1409"
"1157","1835","236"
"1158","1835","2063"
"1159","1835","501"
"1160","1835","88"
"1161","1836","1344"
"1162","1836","2058"
"1163","1836","716"
"1164","1836","749"
"1165","1836","2362"
"1166","1837","1451"
"1168","1837","633"
"1169","1837","634"
"1170","1837","382"
"1171","1838","2756"
"1172","1838","2155"
"1173","1838","815"
"1174","1838","798"
"1175","1838","2975"
"1176","1839","13"
"1178","1839","121"
"1179","1839","2842"
"1180","1839","124"
"1183","1840","573"
"1184","1840","1987"
"1186","1841","2539"
"1188","1842","2667"
"1189","1842","2354"
"1190","1842","3028"
"1191","1842","2485"
"1193","1843","2080"
"1194","1843","451"
"1195","1843","1480"
"1196","1843","2667"
"1197","1843","2229"
"1199","1844","916"
"1200","1844","1860"
"1201","1845","739"
"1202","1845","998"
"1203","1845","2029"
"1206","1845","2078"
"1207","1846","2455"
"1208","1846","2660"
"1209","1846","1222"
"1210","1846","1223"
"1211","1846","2921"
"1212","1846","2251"
"1213","1846","81"
"1214","1846","82"
"1215","1846","1399"
"1216","1846","1789"
"1217","1847","580"
"1218","1847","327"
"1219","1847","1870"
"1220","1847","1914"
"1221","1847","1695"
"1222","1848","416"
"1223","1848","122"
"1224","1848","1019"
"1225","1848","2478"
"1228","1849","1348"
"1229","1850","2691"
"1231","1851","1384"
"1232","1851","1773"
"1233","1851","1038"
"1234","1851","663"
"1235","1852","2341"
"1236","1852","2768"
"1237","1852","1108"
"1238","1852","314"
"1239","1852","220"
"1240","1853","1474"
"1242","1853","382"
"1243","1853","2327"
"1244","1854","2496"
"1245","1854","1465"
"1246","1854","1187"
"1247","1854","614"
"1248","1855","2362"
"1249","1855","1996"
"1250","1855","1966"
"1251","1856","132"
"1252","1856","520"
"1253","1856","2767"
"1254","1856","1587"
"1255","1856","629"
"1256","1857","2384"
"1257","1857","2683"
"1258","1858","2817"
"1259","1858","2761"
"1262","1858","2494"
"1263","1859","848"
"1264","1859","1662"
"1266","1860","2880"
"1267","1860","1989"
"1268","1860","2118"
"1269","1860","2277"
"1270","1860","332"
"1271","1860","2029"
"1273","1860","1775"
"1274","1860","1874"
"1275","1860","3028"
"1277","1860","2974"
"1278","1861","3034"
"1279","1861","1578"
"1280","1861","2677"
"1281","1861","991"
"1282","1862","2861"
"1283","1862","1356"
"1284","1862","717"
"1285","1863","1409"
"1286","1863","132"
"1287","1863","2117"
"1288","1863","2118"
"1289","1863","2174"
"1290","1864","1317"
"1291","1864","971"
"1293","1864","629"
"1294","1864","1018"
"1295","1865","1696"
"1296","1865","1731"
"1297","1865","869"
"1298","1865","845"
"1299","1865","30"
"1300","1866","2470"
"1301","1866","541"
"1302","1866","1406"
"1303","1866","711"
"1304","1867","520"
"1306","1867","1587"
"1307","1867","2645"
"1308","1868","289"
"1309","1868","1186"
"1310","1868","221"
"1311","1868","1982"
"1312","1869","1541"
"1313","1869","1768"
"1314","1869","2667"
"1315","1869","2735"
"1317","1869","2141"
"1319","1870","2150"
"1320","1871","1242"
"1321","1871","1596"
"1322","1871","2418"
"1323","1871","1271"
"1324","1872","1451"
"1325","1872","1551"
"1326","1872","1552"
"1328","1872","2296"
"1329","1873","704"
"1330","1873","169"
"1331","1873","1411"
"1332","1873","564"
"1333","1874","1448"
"1334","1874","2385"
"1335","1874","132"
"1336","1875","382"
"1338","1875","1996"
"1340","1875","1534"
"1341","1876","481"
"1342","1876","388"
"1343","1876","53"
"1344","1876","1993"
"1345","1877","1777"
"1346","1877","1626"
"1347","1877","510"
"1348","1877","1682"
"1349","1878","1912"
"1350","1878","1898"
"1351","1878","1453"
"1353","1879","146"
"1354","1879","1067"
"1355","1879","447"
"1356","1880","1002"
"1357","1880","2667"
"1358","1880","781"
"1359","1880","2381"
"1360","1880","109"
"1361","1881","196"
"1362","1881","1415"
"1363","1881","1744"
"1364","1881","3028"
"1365","1881","636"
"1366","1882","2624"
"1367","1882","870"
"1368","1882","2755"
"1369","1882","134"
"1370","1883","1409"
"1371","1883","1163"
"1372","1883","300"
"1373","1884","2816"
"1374","1884","2761"
"1376","1884","2672"
"1377","1884","539"
"1378","1885","2472"
"1379","1885","2362"
"1380","1885","555"
"1381","1885","1655"
"1382","1886","1603"
"1383","1886","555"
"1384","1886","2063"
"1385","1886","1849"
"1386","1886","154"
"1387","1887","1958"
"1388","1887","967"
"1389","1887","555"
"1390","1887","2731"
"1391","1887","2166"
"1392","1888","2088"
"1393","1888","2194"
"1394","1888","2004"
"1395","1888","1494"
"1396","1888","796"
"1397","1889","581"
"1398","1889","236"
"1399","1889","2831"
"1400","1889","2193"
"1401","1889","2684"
"1402","1890","424"
"1403","1890","2003"
"1405","1890","573"
"1406","1891","2634"
"1407","1891","749"
"1408","1891","2904"
"1409","1891","2292"
"1410","1891","792"
"1411","1892","1454"
"1412","1892","2447"
"1413","1892","1238"
"1414","1892","1943"
"1415","1892","605"
"1416","1893","1786"
"1417","1894","2432"
"1418","1894","1603"
"1419","1894","2758"
"1420","1894","1382"
"1421","1895","163"
"1422","1895","297"
"1423","1895","107"
"1424","1895","1496"
"1426","1896","1336"
"1427","1896","1681"
"1428","1896","1922"
"1429","1896","1921"
"1430","1897","818"
"1431","1897","1355"
"1432","1897","1005"
"1433","1898","2312"
"1434","1898","915"
"1435","1898","1748"
"1436","1898","922"
"1437","1898","2843"
"1438","1898","382"
"1439","1899","614"
"1440","1899","2503"
"1441","1899","1385"
"1443","1899","2843"
"1444","1899","541"
"1446","1900","2478"
"1447","1900","2063"
"1449","1900","1205"
"1450","1901","2148"
"1452","1901","2031"
"1453","1901","689"
"1454","1901","2134"
"1455","1902","2787"
"1456","1902","587"
"1457","1902","1072"
"1458","1902","725"
"1459","1902","2460"
"1460","1903","2575"
"1461","1903","1968"
"1463","1903","2063"
"1464","1903","275"
"1465","1904","1757"
"1466","1904","779"
"1468","1904","357"
"1470","1905","505"
"1471","1905","1117"
"1473","1906","819"
"1474","1906","573"
"1475","1907","1273"
"1476","1907","555"
"1477","1907","132"
"1478","1907","1243"
"1479","1908","99"
"1480","1908","2181"
"1481","1908","1451"
"1482","1908","1773"
"1483","1908","1809"
"1484","1909","2825"
"1485","1909","586"
"1486","1909","2063"
"1487","1909","2928"
"1488","1909","922"
"1489","1910","752"
"1490","1910","607"
"1491","1911","1860"
"1492","1911","2888"
"1494","1911","151"
"1495","1911","1786"
"1496","1912","729"
"1497","1912","1622"
"1498","1913","1025"
"1499","1913","2825"
"1500","1913","427"
"1503","1914","721"
"1504","1914","2986"
"1505","1914","773"
"1506","1914","2097"
"1507","1915","259"
"1508","1915","2063"
"1509","1915","533"
"1510","1915","1690"
"1511","1915","382"
"1513","1916","76"
"1514","1916","824"
"1515","1916","536"
"1516","1916","382"
"1517","1916","767"
"1518","1917","2625"
"1519","1917","1796"
"1520","1917","456"
"1521","1917","1422"
"1522","1917","1717"
"1523","1918","1284"
"1525","1918","2347"
"1526","1918","2803"
"1527","1918","821"
"1528","1919","2734"
"1529","1919","111"
"1530","1919","1695"
"1532","1919","3028"
"1534","1919","1655"
"1535","1919","1627"
"1537","1920","2242"
"1538","1920","2795"
"1539","1920","2991"
"1540","1921","1657"
"1541","1921","1638"
"1543","1921","366"
"1544","1922","1760"
"1545","1922","1697"
"1546","1922","2385"
"1548","1922","1663"
"1549","1923","2118"
"1550","1923","1639"
"1551","1923","455"
"1552","1923","850"
"1553","1923","1877"
"1554","1923","505"
"1555","1924","867"
"1556","1924","1764"
"1558","1924","555"
"1559","1924","433"
"1560","1925","355"
"1561","1925","2025"
"1562","1925","1331"
"1563","1925","1876"
"1564","1925","3000"
"1565","1926","709"
"1566","1926","965"
"1568","1926","181"
"1569","1926","503"
"1570","1926","1278"
"1571","1927","3040"
"1573","1927","785"
"1574","1927","3028"
"1575","1927","732"
"1576","1928","2118"
"1578","1928","2667"
"1579","1928","2165"
"1580","1928","382"
"1581","1929","586"
"1582","1929","1034"
"1583","1929","1774"
"1584","1929","2577"
"1585","1929","382"
"1586","1930","96"
"1587","1930","2993"
"1588","1930","1826"
"1589","1930","1718"
"1590","1931","1987"
"1591","1931","1765"
"1592","1931","1229"
"1593","1931","2417"
"1595","1932","1760"
"1596","1932","1895"
"1597","1932","520"
"1598","1932","1131"
"1599","1932","1811"
"1600","1933","1760"
"1601","1933","2018"
"1602","1933","1859"
"1603","1933","1603"
