"date","informationContributor.id","informationContributor.username","source.id","source.label","no.tools"
2022-01-20,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-02-09,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-02-23,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",3,"SSK Zotero Resources",1
2022-03-08,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,2
2022-03-18,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",3,"SSK Zotero Resources",1
2022-03-31,674,"105729905308061393541@google.com",NA,NA,1
2022-04-01,1,"Administrator",NA,NA,4
2022-04-04,1,"Administrator",104,"SSHopencloud Service Catalogue",2
2022-04-04,1,"Administrator",202,"EOSC Catalogue",1
2022-04-04,1,"Administrator",NA,NA,3
2022-04-06,1,"Administrator",104,"SSHopencloud Service Catalogue",3
2022-04-06,1,"Administrator",NA,NA,2
2022-04-06,257,"0000-0001-9288-2888@orcid.org",NA,NA,1
2022-04-11,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-05-13,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",3,"SSK Zotero Resources",1
2022-05-16,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",104,"SSHopencloud Service Catalogue",1
2022-05-20,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-06-01,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",1,"TAPoR",1
2022-06-29,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",302,"DARIAH contribution tool",1
2022-06-29,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,5
2022-07-01,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-07-22,1,"Administrator",1,"TAPoR",1
2022-07-22,1,"Administrator",NA,NA,1
2022-07-27,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",104,"SSHopencloud Service Catalogue",1
2022-08-23,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,2
2022-08-24,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-08-31,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-10-14,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-10-18,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-10-21,1,"Administrator",202,"EOSC Catalogue",8
2022-10-21,1,"Administrator",NA,NA,1
2022-10-24,1,"Administrator",NA,NA,3
2022-10-25,1,"Administrator",NA,NA,1
2022-11-03,5,"System moderator",1,"TAPoR",1017
2022-11-03,5,"System moderator",202,"EOSC Catalogue",1
2022-11-03,5,"System moderator",302,"DARIAH contribution tool",3
2022-11-03,5,"System moderator",NA,NA,24
2022-11-09,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-11-11,157,"763b0b7d12b0ff7629e2de777dd6d10715e55c4f60d5485eb27602c77c28c997@dariah.eu",NA,NA,1
2022-11-14,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,2
2022-11-15,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",3,"SSK Zotero Resources",12
2022-11-15,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-11-15,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",1,"TAPoR",1
2022-11-16,1,"Administrator",1,"TAPoR",1
2022-11-16,1,"Administrator",3,"SSK Zotero Resources",1
2022-11-16,1,"Administrator",NA,NA,5
2022-11-16,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-11-16,859,"0000-0001-9422-1418@orcid.org",NA,NA,1
2022-11-16,909,"76b020ea2b33d969eae993ed22413bdc5ff81f1a532d50fc902fd84382fcc382@aai.eosc-portal.eu",1,"TAPoR",3
2022-11-16,909,"76b020ea2b33d969eae993ed22413bdc5ff81f1a532d50fc902fd84382fcc382@aai.eosc-portal.eu",3,"SSK Zotero Resources",4
2022-11-16,909,"76b020ea2b33d969eae993ed22413bdc5ff81f1a532d50fc902fd84382fcc382@aai.eosc-portal.eu",NA,NA,4
2022-11-16,912,"102696928498913728364@google.com",3,"SSK Zotero Resources",1
2022-11-16,912,"102696928498913728364@google.com",NA,NA,1
2022-11-16,913,"9cbc2301d28e1573172f25597577b56cb86fff78141712e611e12f4678b20b33@aai.eosc-portal.eu",NA,NA,2
2022-11-17,1,"Administrator",202,"EOSC Catalogue",2
2022-11-17,1,"Administrator",NA,NA,3
2022-11-17,860,"7b551a7f9591f5f80296a2387556252bb30d20967d3c0c777b880761d7a7e664@aai.eosc-portal.eu",1,"TAPoR",1
2022-11-17,860,"7b551a7f9591f5f80296a2387556252bb30d20967d3c0c777b880761d7a7e664@aai.eosc-portal.eu",NA,NA,1
2022-11-21,1,"Administrator",NA,NA,1
2022-11-21,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2022-11-22,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-11-24,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-11-28,1,"Administrator",NA,NA,1
2022-11-29,307,"639e26d6765c4918ad41e8dbfa210d91@eudat.eu",1,"TAPoR",1
2022-11-29,777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",NA,NA,1
2022-11-29,780,"113575597226772854643@google.com",NA,NA,1
2022-11-29,936,"adf7d07d1e09d7f53d0aacb696e85fb83099e5d74ad4d3bdbe8dd4082faf04c5@dariah.eu",NA,NA,1
2022-11-30,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2022-12-04,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2022-12-06,260,"268b5821aa730c9868f8d341b983c23af2a7c8272f0100fe38e6b47d837ed143@dariah.eu",NA,NA,1
2022-12-08,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,2
2022-12-12,1,"Administrator",NA,NA,1
2022-12-12,777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",3,"SSK Zotero Resources",1
2022-12-13,777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",3,"SSK Zotero Resources",1
2022-12-13,777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",NA,NA,2
2022-12-15,1,"Administrator",302,"DARIAH contribution tool",1
2022-12-15,5,"System moderator",1,"TAPoR",5
2022-12-15,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2022-12-18,786,"3b1da5a074ae4be84a2b95e3710e63f33e18e2df@eduteams.org",1,"TAPoR",1
2022-12-18,786,"3b1da5a074ae4be84a2b95e3710e63f33e18e2df@eduteams.org",NA,NA,1
2022-12-19,1,"Administrator",NA,NA,1
2023-01-05,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,4
2023-01-06,1,"Administrator",NA,NA,2
2023-01-06,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",1,"TAPoR",1
2023-01-06,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,2
2023-01-09,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",1,"TAPoR",3
2023-01-09,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2023-01-10,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",1,"TAPoR",1
2023-01-10,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,4
2023-01-10,1010,"111618135605349851906@google.com",NA,NA,1
2023-01-11,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2023-01-13,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,2
2023-01-16,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",1,"TAPoR",4
2023-01-16,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2023-01-20,1,"Administrator",202,"EOSC Catalogue",1
2023-01-27,5,"System moderator",1,"TAPoR",6
2023-01-27,5,"System moderator",3,"SSK Zotero Resources",5
2023-01-27,5,"System moderator",NA,NA,1
2023-01-27,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2023-01-29,786,"3b1da5a074ae4be84a2b95e3710e63f33e18e2df@eduteams.org",NA,NA,1
2023-01-30,1,"Administrator",1,"TAPoR",22
2023-01-30,1,"Administrator",NA,NA,3
2023-01-30,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2023-01-31,1,"Administrator",NA,NA,1
2023-01-31,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,1
2023-01-31,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,2
2023-02-02,762,"2831d719344621627b613bf8b39f950500dc15f9afcfb544b335632a5f5ba40a@aai.eosc-portal.eu",302,"DARIAH contribution tool",1
2023-02-02,762,"2831d719344621627b613bf8b39f950500dc15f9afcfb544b335632a5f5ba40a@aai.eosc-portal.eu",NA,NA,2
2023-02-06,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,2
2023-02-06,776,"0000-0002-5851-5643@orcid.org",NA,NA,1
2023-02-14,1,"Administrator",NA,NA,3
2023-02-16,777,"78fe9bfe194c35e4066f2122c84131d2829242374b2884efd50d9153c72ca710@aai.eosc-portal.eu",1,"TAPoR",1
2023-02-22,774,"104991793678547226149@google.com",3,"SSK Zotero Resources",1
2023-02-24,5,"System moderator",3,"SSK Zotero Resources",1
2023-02-24,264,"375705ce1b4f3e660ff1981587d410f3e9475f6be05e7a8f5a0032c054348748@dariah.eu",3,"SSK Zotero Resources",1
2023-02-28,1,"Administrator",1,"TAPoR",2
2023-02-28,1,"Administrator",NA,NA,2
2023-02-28,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",202,"EOSC Catalogue",2
2023-02-28,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",3,"SSK Zotero Resources",1
2023-02-28,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,1
2023-02-28,207,"09da271bfff10ccaabbadcb52fca13fe7c75125b25e03adf8544aaa4635364f2@dariah.eu",NA,NA,1
2023-02-28,1027,"435fad30a426313c28802b4b1584eb205e99dd9ac04ca065f37809ef1f8dfe4d@aai.eosc-portal.eu",3,"SSK Zotero Resources",1
2023-03-02,1,"Administrator",1,"TAPoR",1
2023-03-02,1,"Administrator",NA,NA,3
2023-03-08,1,"Administrator",1,"TAPoR",1
2023-03-08,1,"Administrator",NA,NA,1
2023-03-30,786,"3b1da5a074ae4be84a2b95e3710e63f33e18e2df@eduteams.org",1,"TAPoR",1
2023-04-04,779,"f4548688d9aa2fe06889a756be4732a46fb2e64960bfc1dc03868c120faa290c@aai.eosc-portal.eu",NA,NA,12
2023-04-26,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,4
2023-04-28,65,"4ea88b26c3275dbb81ef7ec4f4c5869ce4c0e751268125e9361f0f36e542fb18@dariah.eu",NA,NA,5
2023-04-28,107,"4d77afff84b8b447593e38aa3c59c02edf456f0bbb68cb0e3a163831bf550563@dariah.eu",NA,NA,2
