"id","id.ssh","label","source.label","id.source","label.clean"
40836,"nMm0wM","Adobe Acrobat Reader",NA,NA,"Adobe Acrobat Reader"
28178,"U6hzqf","Adobe After Effects","TAPoR","1217","Adobe After Effects"
44381,"Tpi8KE","Adobe Bridge","TAPoR","1214","Adobe Bridge"
44382,"6ssOMC","Adobe Dreamweaver","TAPoR","1250","Adobe Dreamweaver"
44383,"usExJA","Adobe Illustrator","TAPoR","1215","Adobe Illustrator"
44384,"aeQ2f6","Adobe InDesign","TAPoR","1216","Adobe InDesign"
36153,"E34Hob","Adobe Photoshop","SSK Zotero Resources","AWRNIGUR","Adobe Photoshop"
44389,"RY4LgT","Advene","TAPoR","940","Advene"
28106,"57QHiH","Aelfred","TAPoR","780","Aelfred"
44390,"foI8Mi","Aeon Timeline","TAPoR","874","Aeon Timeline"
44391,"5A70DH","Afloat","TAPoR","1439","Afloat"
40326,"isedTr","Agisoft Metashape",NA,NA,"Agisoft Metashape"
40778,"knCcCv","Aïoli platform","SSHopencloud Service Catalogue","225","Aïoli platform"
44399,"bbGlRd","Alfresco","TAPoR","1635","Alfresco"
44401,"YKv47J","ALGOL","TAPoR","487","ALGOL"
44405,"7otnya","All Our Ideas","TAPoR","1029","All Our Ideas"
44416,"eeF0pG","Alt.Text","TAPoR","510","Alt.Text"
47898,"AB57Ny","aLTAG3D - a Long Term Archive Generator for 3D","SSK Zotero Resources","P2M6IPXW","aLTAG3D - a Long Term Archive Generator for 3D"
44410,"4UtwMD","Alteryx","TAPoR","1633","Alteryx"
44412,"tNPMTo","Altmetric","TAPoR","1036","Altmetric"
44423,"tAGITn","Alveo","TAPoR","530","Alveo"
44424,"sJVV15","Alveo Virtual Laboratory","TAPoR","708","Alveo Virtual Laboratory"
48200,"spdPRI","AMADO-online",NA,NA,"AMADO-online"
44426,"9XIqow","Amazon Comprehend","TAPoR","1531","Amazon Comprehend"
44430,"qO4IIL","Analyse-it","TAPoR","1486","Analyse-it"
44432,"aIi3cE","Analyse-it Method Validation Edition","TAPoR","713","Analyse-it Method Validation Edition"
44434,"wc6vM5","Analyse-it Quality Control & Improvement Edition","TAPoR","712","Analyse-it Quality Control \& Improvement Edition"
44435,"eJcCIJ","Analyse-it Standard Edition","TAPoR","714","Analyse-it Standard Edition"
28662,"DP69ob","Anki","TAPoR","793","Anki"
44440,"E8DhE2","ANNIS (ANNotation of Information Structure)","TAPoR","304","ANNIS \(ANNotation of Information Structure\)"
44445,"WgVsOq","Annotate","TAPoR","1118","Annotate"
28882,"gKEK3M","AnnotateIt","TAPoR","1019","AnnotateIt"
44449,"e2uRBt","Annotation Graph Toolkit (AGTK)","TAPoR","1292","Annotation Graph Toolkit \(AGTK\)"
44456,"VOENAw","Annotation Studio","TAPoR","443","Annotation Studio"
44452,"98ulMr","Annotations","TAPoR","828","Annotations"
44461,"2xUpv8","Annotator's Workbench","TAPoR","1117","Annotator's Workbench"
48686,"k2AvKt","Annotorious","TAPoR","934","Annotorious"
49904,"DE6qsb","Annotum","TAPoR","1023","Annotum"
44467,"t0bBaw","Annozilla (Annotea on Mozilla)","TAPoR","1116","Annozilla \(Annotea on Mozilla\)"
40435,"0KBK9n","AntConc","TAPoR","148","AntConc"
44471,"Gomh9r","Anthologize","TAPoR","86","Anthologize"
44478,"s4FjTD","ANTHROPAC","TAPoR","520","ANTHROPAC"
44481,"vBrxsU","AntWordProfiler","TAPoR","1470","AntWordProfiler"
44483,"1Q5luu","Anvil","TAPoR","1030","Anvil"
44485,"rbo6MV","Apache Open NLP","TAPoR","120","Apache Open NLP"
36411,"r43yWg","Apache OpenNLP","SSK Zotero Resources","IA92LHEW","Apache OpenNLP"
35952,"7PyEBu","Apache Stanbol","SSK Zotero Resources","W95ELYYT","Apache Stanbol"
44487,"KjxjFp","Apache Subversion Version System (SVN)","TAPoR","1249","Apache Subversion Version System \(SVN\)"
44490,"Qbt4XV","Apache UIMA","TAPoR","121","Apache UIMA"
44491,"1YxQpO","Apache Xalan","TAPoR","181","Apache Xalan"
12798,"CqCK1n","API for Generations and Gender Programme (GGP) ","SSHopencloud Service Catalogue","211","API for Generations and Gender Programme \(GGP\) "
44494,"XzfHJV","Apple Pie Parser","TAPoR","384","Apple Pie Parser"
44496,"DQh5ts","ArcGIS","TAPoR","1254","ArcGIS"
44233,"ouZ1GH","ARCHE A Resource Centre for the HumanitiEs",NA,NA,"ARCHE A Resource Centre for the HumanitiEs"
44498,"17nWui","Archeosurveyor (TerraSurveyor)","TAPoR","1222","Archeosurveyor \(TerraSurveyor\)"
40784,"AOHiq8","Archive in a Box","SSHopencloud Service Catalogue","212","Archive in a Box"
44503,"NjZQ37","Archive-It","TAPoR","1042","Archive-It"
44505,"sYLKsH","Archivematica",NA,NA,"Archivematica"
47747,"VK0sej","ARCO: An Architecture for Digitization, Management and Presentation of Virtual Exhibitions","SSK Zotero Resources","G3ADKTMA","ARCO: An Architecture for Digitization, Management and Presentation of Virtual Exhibitions"
40772,"VjLUsM","ARIADNE Portal",NA,NA,"ARIADNE Portal"
44508,"wI0G4x","ARRAS","TAPoR","289","ARRAS"
28149,"TyenhY","ARTFL Encyclopédie Project","TAPoR","1455","ARTFL Encyclopédie Project"
44513,"S9m9UW","Artifex Press","TAPoR","875","Artifex Press"
49959,"mRIDl4","Artlas - BasArt. Global Database of Exhibition Catalogues",NA,NA,"Artlas - BasArt. Global Database of Exhibition Catalogues"
49954,"7Tcmc2","Artlas / Biographical Dictionary of the Residents of the French Academy in Rome",NA,NA,"Artlas \/ Biographical Dictionary of the Residents of the French Academy in Rome"
49960,"k8fd6T"," Artlas / Geomap",NA,NA,"Artlas \/ Geomap"
44515,"s4aKf4","Aruspix","TAPoR","1352","Aruspix"
44516,"TmiBJ7","AskSam","TAPoR","1129","AskSam"
44521,"EdUOYX","Asset Bank","TAPoR","1227","Asset Bank"
44525,"Ip5RLN","ASV Online Toolbox","TAPoR","1553","ASV Online Toolbox"
44529,"Gd6xsp","ATLAS.ti","TAPoR","184","ATLAS.ti"
48667,"abRIUx","Atom",NA,NA,"Atom"
35694,"bhZPRG","Atomic spectral line database","SSK Zotero Resources","ZG6IKTA5","Atomic spectral line database"
44531,"xulHux","Attensity","TAPoR","1390","Attensity"
44532,"MGZtAz","Audacity","TAPoR","1028","Audacity"
12790,"wLzD4H","Audio Survey Module Questionnaire and Fieldwork Implementation Guideline","SSHopencloud Service Catalogue","224","Audio Survey Module Questionnaire and Fieldwork Implementation Guideline"
44536,"5yqOoe","Audiotool",NA,NA,"Audiotool"
28827,"wL7BKR","Augmented Notes","TAPoR","867","Augmented Notes"
28583,"5Er35v","AustESE","TAPoR","926","AustESE"
44540,"21heYa","AustESE (Australian Electronic Scholarly Editing)","TAPoR","294","AustESE \(Australian Electronic Scholarly Editing\)"
44542,"F9sgTE","AUTHOR","TAPoR","402","AUTHOR"
44543,"kzL3qk","Autodesk 3ds Max","TAPoR","1255","Autodesk 3ds Max"
44549,"bvaj6g","Automatic Mapping Among Lexico-Grammatical Annotation Models (AMALGAM)","TAPoR","375","Automatic Mapping Among Lexico-Grammatical Annotation Models \(AMALGAM\)"
15240,"M4W2k9","Automatic Transcription of Dutch Speech Recordings (MP3 file)","Language Resource Switchboard","Automatic%20Transcription%20of%20Dutch%20Speech%20Recordings%20(MP3%20file)","Automatic Transcription of Dutch Speech Recordings \(MP3 file\)"
34634,"uJ2Z7h","Automatic Transcription of Dutch Speech Recordings (Ogg file)","Language Resource Switchboard","Automatic%20Transcription%20of%20Dutch%20Speech%20Recordings%20(Ogg%20file)","Automatic Transcription of Dutch Speech Recordings \(Ogg file\)"
15242,"afBF4p","Automatic Transcription of Dutch Speech Recordings (Wav file)","Language Resource Switchboard","Automatic%20Transcription%20of%20Dutch%20Speech%20Recordings%20(Wav%20file)","Automatic Transcription of Dutch Speech Recordings \(Wav file\)"
41068,"qKSdjk","Automatic Verification Tool (AVT)","SSHopencloud Service Catalogue","525","Automatic Verification Tool \(AVT\)"
44553,"CnhldB","AUTOSTYL","TAPoR","411","AUTOSTYL"
44554,"ojFzT1","AVA (Advanced Video Annotations)","TAPoR","832","AVA \(Advanced Video Annotations\)"
48574,"F4lU9j","AVOBMAT",NA,NA,"AVOBMAT"
44557,"VqGguW","AWK","TAPoR","493","AWK"
28769,"pVlfHM","Babbel Language Learning Tool","TAPoR","776","Babbel Language Learning Tool"
35955,"lpdfs8","Babelfy","SSK Zotero Resources","V44YQVT3","Babelfy"
40179,"CEgdSF","BabelNet",NA,NA,"BabelNet"
44559,"NuVpHa","BALCON (Bilingual Analytical Literary and Linguistic Concordance)","TAPoR","413","BALCON \(Bilingual Analytical Literary and Linguistic Concordance\)"
44561,"PLDUw3","Balsamiq Mockups","TAPoR","990","Balsamiq Mockups"
44563,"WnrT3t","Bamboo Person Service","TAPoR","1286","Bamboo Person Service"
36630,"R1hl3E","BASE - Bielefeld Academic Search Engine","SSK Zotero Resources","I32B6KKT","BASE - Bielefeld Academic Search Engine"
44568,"gWRoUF","Basecamp","TAPoR","916","Basecamp"
49732,"f2Lqiq","Basel Register of Thesauri, Ontologies & Classifications (BARTOC.org)","SSK Zotero Resources","CHEQTDE9","Basel Register of Thesauri, Ontologies \& Classifications \(BARTOC.org\)"
36924,"qUV8zn","BaseX Documentation","SSK Zotero Resources","L6M9Q4T5","BaseX Documentation"
44570,"qWejKS","Basis Technology","TAPoR","1387","Basis Technology"
44571,"BKdbvA","BatchGeo","TAPoR","1332","BatchGeo"
44572,"vMdFum","BBEdit","TAPoR","1235","BBEdit"
48728,"UkyQhY","BBT - BackBone Thesaurus",NA,NA,"BBT - BackBone Thesaurus"
36906,"SkWj85","BCP 47 - Tags for Identifying Languages","SSK Zotero Resources","U6HVF6P8","BCP 47 - Tags for Identifying Languages"
44575,"pncq27","Beautiful Soup 4 Gathering URLs from a Web Page","TAPoR","653","Beautiful Soup 4 Gathering URLs from a Web Page"
40832,"TEjhgf","beQuali, Qualitative social science survey bank","SSK Zotero Resources","SM4GIA8J","beQuali, Qualitative social science survey bank"
44577,"i4H095","Berkeley Parser","TAPoR","396","Berkeley Parser"
44578,"8zrfAZ","BibApp","TAPoR","1143","BibApp"
44580,"m0z5G3","BIBCON","TAPoR","392","BIBCON"
44581,"2Qhk3T","BibDesk","TAPoR","1193","BibDesk"
48295,"ZT73cU","BibExcel",NA,NA,"BibExcel"
44585,"D33jIg","Bibliogo","TAPoR","1152","Bibliogo"
48409,"7KxIET","Bibliography Doing Digital Humanities","DARIAH contribution tool","60a397653321ca146e566122","Bibliography Doing Digital Humanities"
49740,"xbncfM","Bibliography of the History of the Czech Lands",NA,NA,"Bibliography of the History of the Czech Lands"
49961,"9sAUlE"," Biblioteca anatomica",NA,NA,"Biblioteca anatomica"
50110,"vGzMZt","Biblioteca Comum: Catálogo Coletivo das Bibliotecas das Instituições de Investigação e Ensino Superior de Portugal",NA,NA,"Biblioteca Comum: Catálogo Coletivo das Bibliotecas das Instituições de Investigação e Ensino Superior de Portugal"
48195,"6Esznt","Biblissima Portal",NA,NA,"Biblissima Portal"
36954,"p1fAm1","Biblissima Resources","SSK Zotero Resources","KJB5UBGY","Biblissima Resources"
44587,"oEYQGt","BibMe","TAPoR","1192","BibMe"
44588,"wcZtcc","BibServer","TAPoR","1035","BibServer"
28969,"inheKA","BibSonomy","TAPoR","842","BibSonomy"
44589,"CuWxPP","Bibus","TAPoR","1191","Bibus"
44592,"JFNWmU","BITEXT","TAPoR","897","BITEXT"
44594,"QVoxgK","bitly","TAPoR","1000","bitly"
44605,"l49JUH","bl.ock","TAPoR","1600","bl.ock"
44596,"Aj3Z9L","Blackboard Scholar","TAPoR","1146","Blackboard Scholar"
44600,"FONfye","Blacklight","TAPoR","996","Blacklight"
44601,"jKiOXX","Blender","TAPoR","807","Blender"
47745,"OIOSK6","Blender - Free and Open 3D Creation Software","SSK Zotero Resources","STRB2DF6","Blender - Free and Open 3D Creation Software"
47746,"MXYXqR","Blender Documentation","SSK Zotero Resources","PVBAFNXD","Blender Documentation"
44603,"4ZJOel","BLLIP Parser","TAPoR","829","BLLIP Parser"
44609,"74qgFm","Blog Analysis Toolkit (BAT)","TAPoR","1307","Blog Analysis Toolkit \(BAT\)"
44613,"mt41Xe","Blogger","TAPoR","771","Blogger"
44615,"Z9qdg7","Bluefish","TAPoR","1007","Bluefish"
28121,"H6vqJr","Bokeh","TAPoR","863","Bokeh"
44616,"rzc1Z8","Bookends","TAPoR","1190","Bookends"
44617,"Kfm9H2","BookLamp","TAPoR","349","BookLamp"
44621,"ZvfBNa","BookLamp Labs: Sentiment Viewer","TAPoR","353","BookLamp Labs: Sentiment Viewer"
44622,"rwOBmw","BookLamp Labs: StoryDNA Viewer","TAPoR","351","BookLamp Labs: StoryDNA Viewer"
44624,"xt6oLb","BookLamp Labs: Stream Graph Viewer","TAPoR","350","BookLamp Labs: Stream Graph Viewer"
44627,"6lIN1I","BookLamp Labs: Suggestion Viewer","TAPoR","352","BookLamp Labs: Suggestion Viewer"
44631,"9m1n4c","Bookworm","TAPoR","163","Bookworm"
44634,"A5cQeg","Bootstrap","TAPoR","1032","Bootstrap"
27946,"bHHXBB","Boxer","TAPoR","1238","Boxer"
44642,"pC5SBh","brat rapid annotation tool","TAPoR","164","brat rapid annotation tool"
44645,"E38eg2","bubbl.us","TAPoR","1322","bubbl.us"
44648,"xnuVE8","BuddyPress","TAPoR","1433","BuddyPress"
28400,"A7QSay","BuddyPress Courseware","TAPoR","1429","BuddyPress Courseware"
28744,"CRETFA","BuzzData","TAPoR","1044","BuzzData"
47713,"LkQDDc","Calenda",NA,NA,"Calenda"
49962,"Y2UzT9"," Calendar of events in the field of history in Switzerland ",NA,NA,"Calendar of events in the field of history in Switzerland "
44654,"boXkNB","Calibre","TAPoR","1401","Calibre"
44656,"FUjzy3","CamStudio","TAPoR","1241","CamStudio"
44661,"PRPtYA","Camtasia","TAPoR","1240","Camtasia"
44664,"2IsPUP","Captivate","TAPoR","1242","Captivate"
36315,"5EW6HY","Capturing Reality","SSK Zotero Resources","8GDIFMTR","Capturing Reality"
28834,"t7hOZv","Carbonmade Online Portfolio","TAPoR","789","Carbonmade Online Portfolio"
44666,"d9MQTi","carrd.co","TAPoR","1592","carrd.co"
48685,"QKqkOF","Carrot2","TAPoR","525","Carrot2"
44675,"zVhgwv","CartoDB","TAPoR","857","CartoDB"
44679,"B51xcr","Casual","TAPoR","526","Casual"
44681,"QhIUpI","CasualConc","TAPoR","1570","CasualConc"
48303,"JcaHfh","CATMA: Computer Aided Textual Markup & Analysis",NA,NA,"CATMA: Computer Aided Textual Markup \& Analysis"
44694,"ePxIX5","Catmandu","TAPoR","760","Catmandu"
44696,"nOoKXF","CATPAC","TAPoR","253","CATPAC"
49688,"VrpVSA","CC Viewer - User Manual","SSK Zotero Resources","KZN9DQ6Q","CC Viewer - User Manual"
36534,"yks1mq","cc-viewer: An awesome OpenAQ data viewer from Cloud City","SSK Zotero Resources","98CMING2","cc-viewer: An awesome OpenAQ data viewer from Cloud City"
48593,"i3v5q0","CERL Portal","SSK Zotero Resources","6ZFUTU53","CERL Portal"
36690,"8Je7Ma","CERL Thesaurus","SSK Zotero Resources","D4ZDU8RS","CERL Thesaurus"
44234,"nCk2Fz","CESNET DataCare - Object Based Storage","EOSC Catalogue","cesnet.object_based_storage","CESNET DataCare - Object Based Storage"
49701,"etR4oA","CESSDA Data Catalogue","EOSC Catalogue","cessda-eric.cessda_data_catalogue","CESSDA Data Catalogue"
44697,"UuWKL0","Cestagi","TAPoR","1142","Cestagi"
44701,"cXSqDf","CETA Parser","TAPoR","394","CETA Parser"
28075,"iFzshl","Channelkit","TAPoR","812","Channelkit"
28754,"5n2OdN","chart.io","TAPoR","853","chart.io"
44702,"DRI55w","Chart.js","TAPoR","1515","Chart.js"
44703,"o2X2Sl","Chartle","TAPoR","1344","Chartle"
44704,"520poP","CheckText","TAPoR","506","CheckText"
44707,"HdX4Co","CHET-C","TAPoR","1230","CHET-C"
44713,"nVwPaR","Chorus","TAPoR","618","Chorus"
28591,"Hfxm0S","Chrome","TAPoR","1246","Chrome"
44715,"Gt1wsh","Chronos Timeline","TAPoR","1536","Chronos Timeline"
44716,"fhIJVa","Cinco","TAPoR","1545","Cinco"
44722,"ZffcWN","Circos","TAPoR","295","Circos"
44725,"pNS3UD","Cisdem PDFConverterOCR for Mac","TAPoR","837","Cisdem PDFConverterOCR for Mac"
44726,"XYWXCZ","Citavi","TAPoR","772","Citavi"
44729,"7VTCID","Citeline","TAPoR","98","Citeline"
44733,"eElXqu","CiteULike","TAPoR","955","CiteULike"
44735,"wxhVZ6","Clarify-it","TAPoR","938","Clarify-it"
36903,"butGX1","CLARIN Concept Registry \| CLARIN ERIC","SSK Zotero Resources","VE2C5SZW","CLARIN Concept Registry \\| CLARIN ERIC"
40744,"zCOdxD","CLARIN Multilingual Metadata",NA,NA,"CLARIN Multilingual Metadata"
47772,"3zJNqI","CLARIN-D WebAnno","SSK Zotero Resources","7HN4C98S","CLARIN-D WebAnno"
44738,"r0kaTD","CLARIN-PL","TAPoR","1581","CLARIN-PL"
44741,"9EDmNR","CLAS (Computerized Language Analysis System)","TAPoR","319","CLAS \(Computerized Language Analysis System\)"
44747,"v6PsTg","Classical Text Editor","TAPoR","297","Classical Text Editor"
44749,"Malu0k","CLAWS Part-of-Speech Tagger","TAPoR","150","CLAWS Part-of-Speech Tagger"
44751,"NYujx4","CLAWS Tagger","TAPoR","1219","CLAWS Tagger"
44752,"cZJbuk","Clipping Magic","TAPoR","885","Clipping Magic"
44754,"XDbWtz","CLOC","TAPoR","218","CLOC"
47738,"Rt1EqK","CloudCompare - 3D point cloud and mesh processing software Open Source Project","SSK Zotero Resources","IDHDKE7P","CloudCompare - 3D point cloud and mesh processing software Open Source Project"
47730,"Ruek2W","CloudCompare - Documentation",NA,NA,"CloudCompare - Documentation"
47740,"7aSH2Z","CloudCompare - Github","SSK Zotero Resources","VK4PB9V4","CloudCompare - Github"
28269,"TL508y","Cluuz","TAPoR","1091","Cluuz"
28956,"hSGFem","CMAP","TAPoR","1313","CMAP"
15243,"3PuI0y","CMDI Explorer","Language Resource Switchboard","CMDI%20Explorer","CMDI Explorer"
48594,"GwWY2h","CMU-Cambridge Statistical Language Modelling Toolkit","TAPoR","374","CMU-Cambridge Statistical Language Modelling Toolkit"
44757,"fK6rcl","CNRTL Extension for Firefox","TAPoR","233","CNRTL Extension for Firefox"
44797,"AwzQA3","Co-ment","TAPoR","1114","Co-ment"
44759,"Gtm3BN","COBOL","TAPoR","486","COBOL"
44761,"tf8rEi","COCOA","TAPoR","222","COCOA"
48028,"PT9QGb","COCOON",NA,NA,"COCOON"
44763,"hV8zFl","Code Bubbles","TAPoR","1544","Code Bubbles"
12799,"m5jJ5s","Code for data exchange between TMT and open source CAT software","SSHopencloud Service Catalogue","210","Code for data exchange between TMT and open source CAT software"
44765,"hMs5EQ","Coding Analysis Toolkit (CAT)","TAPoR","1468","Coding Analysis Toolkit \(CAT\)"
44767,"YHlmKX","Coggle",NA,NA,"Coggle"
44770,"jdPIXl","COGS-3","TAPoR","416","COGS-3"
44772,"OkVrGH","Colaboratory","TAPoR","1562","Colaboratory"
41118,"jQnpCr","Collabora",NA,NA,"Collabora"
44776,"mfI2Ri","Collate: Interactive Collation of Large Textual Traditions","TAPoR","208","Collate: Interactive Collation of Large Textual Traditions"
44780,"PG9VWw","CollateX","TAPoR","185","CollateX"
44782,"V9dMl6","Collation Works","TAPoR","1204","Collation Works"
44784,"r6EcJo","Collocate","TAPoR","284","Collocate"
44792,"Hia278","ColorBrewer","TAPoR","1343","ColorBrewer"
44801,"qn6meX","COMIT","TAPoR","485","COMIT"
48671,"CxFbcY","Commentpress","TAPoR","88","Commentpress"
44809,"Z8u399","CommentSpace","TAPoR","144","CommentSpace"
44810,"ptNZb9","Commons In A Box","TAPoR","921","Commons In A Box"
44815,"90Pnyy","Community Contributed Collection (CoCoCo)","TAPoR","514","Community Contributed Collection \(CoCoCo\)"
44834,"u6fDlm","Compare Lists","TAPoR","454","Compare Lists"
44837,"PNBD30","Compare Networks Over Time","TAPoR","461","Compare Networks Over Time"
44840,"dfDk1h","Compfight","TAPoR","984","Compfight"
44842,"O3dRJB","CompHistSem","TAPoR","1642","CompHistSem"
44845,"e8U0Ik","Complex Sentiment Analysis","TAPoR","586","Complex Sentiment Analysis"
44847,"7w95ah","CONCORD","TAPoR","410","CONCORD"
44862,"HZVQDa","Concord, the Interactive Concordance Generator (Virtual Muse)","TAPoR","246","Concord, the Interactive Concordance Generator \(Virtual Muse\)"
44852,"62qlBX","Concordance","TAPoR","202","Concordance"
44860,"u2pdd2","Concordle","TAPoR","315","Concordle"
15244,"djDOAb","Concraft","Language Resource Switchboard","Concraft","Concraft"
15246,"2A6fEr","Concraft -> Bartek","Language Resource Switchboard","Concraft%20-%3E%20Bartek","Concraft -> Bartek"
15247,"P0ZoZa","Concraft -> Bartek -> NicolasSummarizer","Language Resource Switchboard","Concraft%20-%3E%20Bartek%20-%3E%20NicolasSummarizer","Concraft -> Bartek -> NicolasSummarizer"
29143,"G4iyld","Concraft -> DependencyParser","Language Resource Switchboard","Concraft%20-%3E%20DependencyParser","Concraft -> DependencyParser"
15249,"JXjDxt","Concraft -> Nerf","Language Resource Switchboard","Concraft%20-%3E%20Nerf","Concraft -> Nerf"
15250,"x3mn2r","Concraft -> Sentipejd","Language Resource Switchboard","Concraft%20-%3E%20Sentipejd","Concraft -> Sentipejd"
15251,"As8f05","Concraft->Spejd","Language Resource Switchboard","Concraft-%3ESpejd","Concraft->Spejd"
44864,"GdDi7n","Concraft-pl 2.0","TAPoR","1585","Concraft-pl 2.0"
44865,"99qQcc","CONDOR","TAPoR","639","CONDOR"
48492,"gXGKMW","ConedaKOR",NA,NA,"ConedaKOR"
28128,"Jv0TkC","Confluence","TAPoR","1437","Confluence"
44866,"qxdVH2","ConfTool","TAPoR","1419","ConfTool"
44867,"vOV9Lr","congree","TAPoR","1605","congree"
48551,"MVnVXH","Conservatoire National des Données 3D SHS",NA,NA,"Conservatoire National des Données 3D SHS"
44868,"73kJVH","ContaWords","TAPoR","529","ContaWords"
44873,"QNvhmh","CONTENTdm","TAPoR","1388","CONTENTdm"
48484,"JZuVsb","Contributions to Contemporary History - Journal",NA,NA,"Contributions to Contemporary History - Journal"
44875,"DiTQhb","Contropedia","TAPoR","619","Contropedia"
35709,"A9nRNi","Convert and transform various OCR formats (hOCR, ALTO, PAGE, FineReader): kba/ocr-schemas","SSK Zotero Resources","FFL5CPCK","Convert and transform various OCR formats \(hOCR, ALTO, PAGE, FineReader\): kba\/ocr-schemas"
44876,"Eg1SvN","CoolText","TAPoR","1609","CoolText"
44880,"NEIh65","Cornell Notes PDF Generator","TAPoR","1113","Cornell Notes PDF Generator"
44881,"74PRXu","Corpkit","TAPoR","736","Corpkit"
44892,"KE90xs","CorpusExplorer","TAPoR","1586","CorpusExplorer"
44893,"lvtnwT","CorpusSearch","TAPoR","1284","CorpusSearch"
44897,"GQE5se","CorpusSearch 2","TAPoR","310","CorpusSearch 2"
44236,"f6Tch2","Cos4Bio","EOSC Catalogue","bineo.cos4bio","Cos4Bio"
48710,"23jFco","CosmoTool",NA,NA,"CosmoTool"
44900,"TEyBgJ","Cowo","TAPoR","1569","Cowo"
44903,"HBeaIs","CQPweb","TAPoR","643","CQPweb"
44907,"Q2Ofa0","Crawdad Text Analysis Software","TAPoR","258","Crawdad Text Analysis Software"
44911,"nirlFb","Creately","TAPoR","761","Creately"
44915,"McpN1L","CRIC-8 CONCORDER (Cross-Reference in Context)","TAPoR","414","CRIC-8 CONCORDER \(Cross-Reference in Context\)"
44919,"CVyUeU","Critic Markup","TAPoR","545","Critic Markup"
44921,"b5vyBf","Crossfilter","TAPoR","1524","Crossfilter"
44924,"k8nOt4","Crowdmap","TAPoR","1270","Crowdmap"
36561,"hnwnQN","CRYENGINE","SSK Zotero Resources","F7KKR7AC","CRYENGINE"
36567,"9snWhS","CRYENGINE V Manual- Documentation","SSK Zotero Resources","CJN4JFQZ","CRYENGINE V Manual- Documentation"
48666,"WCXCgY","CSV Sort","TAPoR","584","CSV Sort"
44928,"Lw3BUe","cue.language","TAPoR","186","cue.language"
7256,"MkXY6u","Cultural Heritage Imaging \| NEH Start-up Project","SSK Zotero Resources","YE3KE6WY","Cultural Heritage Imaging \\| NEH Start-up Project"
7379,"NQ76Ma","Cultural Heritage Imaging \| Process: RTIBuilder Download","SSK Zotero Resources","J5XDF5WM","Cultural Heritage Imaging \\| Process: RTIBuilder Download"
44933,"H5pCtj","CulturalAnalytics","TAPoR","187","CulturalAnalytics"
44271,"u4cQWg","CVCE.eu",NA,NA,"CVCE.eu"
44935,"ndYjWa","Cytoscape","TAPoR","122","Cytoscape"
44936,"K0fpIl","D3.js","TAPoR","1062","D3.js"
44940,"RJtMWB","d3.js - Data Driven Documents","TAPoR","112","d3.js - Data Driven Documents"
