subject;label;tadirah.id;itemsWIKIDATA;WD_ID
https://vocabs.dariah.eu/tadirah/searching;searching;searching;search;Q11540953
https://vocabs.dariah.eu/tadirah/lettering;lettering;lettering;lettering;Q5538738
https://vocabs.dariah.eu/tadirah/microblogging;microblogging;microblogging;microblogging;Q92438
https://vocabs.dariah.eu/tadirah/associating;associating;associating;assignment;Q29182544
https://vocabs.dariah.eu/tadirah/extracting;Extracting;extracting;Extracting;Q91494455
https://vocabs.dariah.eu/tadirah/description;description;description;description;Q1200750
https://vocabs.dariah.eu/tadirah/relationalAnalysis;relationalAnalysis;relationalAnalysis;relationalAnalysis;Q123783456
https://vocabs.dariah.eu/tadirah/teaching;teaching;teaching;teaching;Q352842
https://vocabs.dariah.eu/tadirah/photographing;photographing;photographing;photography;Q11633
https://vocabs.dariah.eu/tadirah/informationMining;informationMining;informationMining;informationMining;Q172491
https://vocabs.dariah.eu/tadirah/distanceMeasures;distanceMeasures;distanceMeasures;distance measures;Q1344778
https://vocabs.dariah.eu/tadirah/parsing;parsing;parsing;parsing;Q194152
https://vocabs.dariah.eu/tadirah/opticalCharacterRecognition;opticalCharacterRecognition;opticalCharacterRecognition;optical character recognition;Q167555
https://vocabs.dariah.eu/tadirah/writing;writing;writing;writing;Q110484020
https://vocabs.dariah.eu/tadirah/dataMapping;dataMapping;dataMapping;data mapping;Q2330408
https://vocabs.dariah.eu/tadirah/webDevelopment;web development;webDevelopment;web development;Q386275
https://vocabs.dariah.eu/tadirah/rhetoricalAnalysis;rhetoricalAnalysis;rhetoricalAnalysis;rhetoricalAnalysis;Q123783458
https://vocabs.dariah.eu/tadirah/transcoding;transcoding;transcoding;transcoding;Q1888734
https://vocabs.dariah.eu/tadirah/preserving;preserving;preserving;digital preservation;Q632897
https://vocabs.dariah.eu/tadirah/conceptualizing;conceptualization;conceptualizing;conceptualization;Q17008777
https://vocabs.dariah.eu/tadirah/stylisticAnalysis;stylistic analysis;stylisticAnalysis;stylistic analysis;Q11873636
https://vocabs.dariah.eu/tadirah/videoEditing;videoEditing;videoEditing;video editing;Q1154312
https://vocabs.dariah.eu/tadirah/migration;migration;migration;data migration;Q1932543
https://vocabs.dariah.eu/tadirah/gamification;gamification;gamification;gamification;Q1067402
https://vocabs.dariah.eu/tadirah/correcting;correcting;correcting;correction;Q1414531
https://vocabs.dariah.eu/tadirah/sequenceAlignment;sequenceAlignment;sequenceAlignment;sequence alignment;Q827246
https://vocabs.dariah.eu/tadirah/instantMessaging;instantMessaging;instantMessaging;instant messaging;Q58199
https://vocabs.dariah.eu/tadirah/digitalObjectIdentifier;digitalObjectIdentifier;digitalObjectIdentifier;digital object identifier;Q25670
https://vocabs.dariah.eu/tadirah/opticalMusicRecognition;opticalMusicRecognition;opticalMusicRecognition;Optical Music Recognition;Q1243229
https://vocabs.dariah.eu/tadirah/screencast;screencast;screencast;screencast;Q1365447
https://vocabs.dariah.eu/tadirah/collaborating;collaborating;collaborating;collaboration;Q1145523
https://vocabs.dariah.eu/tadirah/designing;designing;designing;designing;Q123783459
https://vocabs.dariah.eu/tadirah/exploration;exploration;exploration;exploration;Q6502154
https://vocabs.dariah.eu/tadirah/modeling;scientific modeling;modeling;scientific modeling;Q1116876
https://vocabs.dariah.eu/tadirah/transformation;transformation;transformation;transformation;Q65757353
https://vocabs.dariah.eu/tadirah/archiving;archiving;archiving;archiving;Q10418049
https://vocabs.dariah.eu/tadirah/machineLearning;machineLearning;machineLearning;machine learning;Q2539
https://vocabs.dariah.eu/tadirah/analyzing;analyzing;analyzing;analysis;Q217602
https://vocabs.dariah.eu/tadirah/commenting;commenting;commenting;commenting;Q123783460
https://vocabs.dariah.eu/tadirah/drawing;drawing;drawing;drawing;Q93184
https://vocabs.dariah.eu/tadirah/debugging;debugging;debugging;debugging;Q845566
https://vocabs.dariah.eu/tadirah/academicPublishing;academicPublishing;academicPublishing;academic publishing;Q5246046
https://vocabs.dariah.eu/tadirah/translating;translation;translating;translation;Q7553
https://vocabs.dariah.eu/tadirah/sentimentAnalysis;sentimentAnalysis;sentimentAnalysis;sentiment analysis;Q2271421
https://vocabs.dariah.eu/tadirah/genreRecognition;genreRecognition;genreRecognition;genreRecognition;Q123819221
https://vocabs.dariah.eu/tadirah/storing;storing;storing;storing;Q123819222
https://vocabs.dariah.eu/tadirah/supplementing;supplementing;supplementing;supplement;Q2915731
https://vocabs.dariah.eu/tadirah/knowledgeDiscovery;knowledgeDiscovery;knowledgeDiscovery;knowledgeDiscovery;Q123818584
https://vocabs.dariah.eu/tadirah/semantification;semantification;semantification;semantification;Q123819223
https://vocabs.dariah.eu/tadirah/treeTagging;treeTagging;treeTagging;treeTagging;Q98845582
https://vocabs.dariah.eu/tadirah/webScraping;webScraping;webScraping;web scraping;Q665452
https://vocabs.dariah.eu/tadirah/webCrawling;webCrawling;webCrawling;web crawling;Q61466324
https://vocabs.dariah.eu/tadirah/posTagging;posTagging;posTagging;part-of-speech tagging;Q1271424
https://vocabs.dariah.eu/tadirah/formatting;formatting;formatting;formatting;Q115676482
https://vocabs.dariah.eu/tadirah/converting;data conversion;converting;data conversion;Q1783551
https://vocabs.dariah.eu/tadirah/contrastiveAnalysis;contrastiveAnalysis;contrastiveAnalysis;contrastive analysis;Q614959
https://vocabs.dariah.eu/tadirah/associate;associate;associate;associate;Q2868277
https://vocabs.dariah.eu/tadirah/georeferencing;georeferencing;georeferencing;georeferencing;Q772007
https://vocabs.dariah.eu/tadirah/audioConferencing;audioConferencing;audioConferencing;instant messaging;Q58199
https://vocabs.dariah.eu/tadirah/wireframing;wireframing;wireframing;wireframing;Q123819152
https://vocabs.dariah.eu/tadirah/uniformResourceIdentifier;uniformResourceIdentifier;uniformResourceIdentifier;Uniform Resource Identifier;Q61694
https://vocabs.dariah.eu/tadirah/graphicsProgramming;graphicsProgramming;graphicsProgramming;graphicsProgramming;Q123819153
https://vocabs.dariah.eu/tadirah/capturing;capturing;capturing;capturing;Q123819225
https://vocabs.dariah.eu/tadirah/networkAnalysis;network analysis;networkAnalysis;network analysis;Q4417999
https://vocabs.dariah.eu/tadirah/publishing;publishing;publishing;publishing;Q3972943
https://vocabs.dariah.eu/tadirah/persistentIdentifier;persistentIdentifier;persistentIdentifier;persistent identifier;Q420330
https://vocabs.dariah.eu/tadirah/cropping;cropping;cropping;cropping;Q785116
https://vocabs.dariah.eu/tadirah/dataCleansing;data cleansing;dataCleansing;data cleansing;Q1172378
https://vocabs.dariah.eu/tadirah/explanation;explanation;explanation;explanation;Q7958
https://vocabs.dariah.eu/tadirah/topicModeling;topicModeling;topicModeling;Topic modeling;Q96468792
https://vocabs.dariah.eu/tadirah/annotating;annotating;annotating;annotation;Q857525
https://vocabs.dariah.eu/tadirah/dataVisualization;dataVisualization;dataVisualization;data visualization;Q6504956
https://vocabs.dariah.eu/tadirah/querying;querying;querying;query;Q3428776
https://vocabs.dariah.eu/tadirah/eMailing;eMailing;eMailing;emailing;Q386274
https://vocabs.dariah.eu/tadirah/disseminating;disseminating;disseminating;disseminating;Q123819226
https://vocabs.dariah.eu/tadirah/emulation;emulation;emulation;emulator;Q202871
https://vocabs.dariah.eu/tadirah/knowledgeExtraction;knowledgeExtraction;knowledgeExtraction;knowledge extraction;Q1582085
https://vocabs.dariah.eu/tadirah/replication;replication;replication;data replication;Q1332873
https://vocabs.dariah.eu/tadirah/collecting;collecting;collecting;collecting;Q208165
https://vocabs.dariah.eu/tadirah/identifier;identifier;identifier;identifier;Q853614
https://vocabs.dariah.eu/tadirah/textCategorization;textCategorization;textCategorization;text categorization;Q102190629
https://vocabs.dariah.eu/tadirah/diagramming;diagramming;diagramming;diagram;Q959962
https://vocabs.dariah.eu/tadirah/creating;creating;creating;creating;Q123819227
https://vocabs.dariah.eu/tadirah/improving;improving;improving;improvement;Q21255975
https://vocabs.dariah.eu/tadirah/adding;adding;adding;addition;Q32043
https://vocabs.dariah.eu/tadirah/scanning;scanning;scanning;scanning;Q59155052
https://vocabs.dariah.eu/tadirah/audioRecording;audioRecording;audioRecording;audio recording;Q3302947
https://vocabs.dariah.eu/tadirah/collocationAnalysis;collocationAnalysis;collocationAnalysis;collocationAnalysis;Q123819228
https://vocabs.dariah.eu/tadirah/identifying;identification;identifying;identification;Q3265221
https://vocabs.dariah.eu/tadirah/socialNetworking;socialNetworking;socialNetworking;social networking;Q19368491
https://vocabs.dariah.eu/tadirah/transcribing;transcribing;transcribing;transcription;Q207714
https://vocabs.dariah.eu/tadirah/digitalPublishing;digitalPublishing;digitalPublishing;Digital publishing;Q1224844
