ID,Title,Description,Requirements,Cost,Link,Complexity,Type,"Linked Agent",Related
1441,H5P,"Create and share HTML5 learning modules across platforms that support embedded content.",Browser,Free|Subscription,https://h5p.org/,Basic,"Open Educational Resources|Publishing",,
1443,"Open Syllabus","Find english-language syllabi from post-secondary instutions worldwide.",Browser,Free,https://opensyllabus.org/,Basic,"Open Educational Resources|Repository",,
1444,"OER Commons","Explore open educational resources for preschool to adult education content that can be filtered by subject, education standard, and license type.",Browser,Free,https://www.oercommons.org/,Basic,"Open Educational Resources|Repository",,
1445,"Open Library Ecampus Ontario","Explore open educational resources focused on post-secondary education in Ontario. The Open Library platform allows users to search, adapt and create open educational resources",Browser,Free,https://openlibrary.ecampusontario.ca/,Basic,"Learning|Open Educational Resources|Repository",,
1446,OpenStax,"Explore open educational resources for high school and post-secondary education including peer-reviewed, open-license textbooks.",Browser,Free,https://openstax.org/,Basic,"Open Educational Resources|Repository",,
1448,"Community College Consortium for OER","Explore open educational resources as well as resources for building open educational resources.",Browser,Free,https://www.cccoer.org/,Basic,"Open Educational Resources|Repository",,
1449,"The Mason OER Metafinder","Search across 21 open education material sources, including OpenStax, OER Commons, HathiTrust, Internet Archive, and New York Public Library Digital Collections to find open materials for education.",Browser,Free,https://publishing.gmu.edu/whos-using-the-mason-oer-metafinder/,Basic,"Open Educational Resources|Repository",,
1450,"BCCampus Open Textbooks","Find open educational resources for post-secondary students..",Browser,Free,https://opentextbc.ca/,Basic,"Open Educational Resources|Repository",,
1451,"The Learning Portal College Libraries Ontario","Fidn resources pertaining to study skills, online learning, research, writing and math skills.",Browser,Free,https://tlp-lpa.ca/home,Basic,"Open Educational Resources",,
1453,"Choose a License","Select the best license for your open materials.",Browser,Free,https://choosealicense.com/,Basic,Licensing,,
1465,Medium,"Publish stories, articles in this popular publication platform.",Browser,Freemium,http://medium.com/,Basic,Blogging,,
1466,Ghost,"Blog and publish on this web-based platform with a focus on subscription.",Browser,"Academic Licensing|Freemium",https://ghost.org/,Basic,Blogging,,
1467,Blogger,"Build blogs using custom templates.",Browser,Free,https://www.blogger.com/,Basic,Blogging,,
1468,Otter,"Record and use artificial intelligence to transcribe audio.",Browser,Freemium,https://otter.ai/,Basic,"Audio Editing|Transcription",,
1474,VisualEyes,"Combine images, maps, charts, video and data into dynamic and interactive environment, with a focus on research and education.",Browser,Free,http://www.viseyes.org/visualeyes/,Basic,"Digital Storytelling|Mapping",,
1477,GeoNames,"Search and download place names, population statistics, physical landmarks and download for free.",Browser,Free,https://www.geonames.org/,Basic,Glossary|Mapping|Repository,,geocodio
1482,StockSnap.io,"Find and share Creative Commons licensed photos.",Browser,Free,https://stocksnap.io/,Basic,"Image Editing|Repository",,"Pexels, Adobe Stock - Free, Unsplash"
1484,Pexels,"Find and share free videos and photos.",Browser,Free,https://www.pexels.com/,Basic,"Image Editing|Repository|Video Editing",,"StockSnap.io, Adobe Stock - Free, Unsplash"
1487,"Digital Humanities Now","Learn more about digital humanities through this open web publication that highlights scholarship in the digital humanities.",Browser,Free,https://digitalhumanitiesnow.org/,Basic,"Digital Humanities|Learning",,
1498,Zotero,"Use this free reference management program to collect and collaborate on secondary research and generate citations and bibliographies.","Browser, Linux, Mac, Windows","Free|Open Source",https://www.zotero.org/,Basic,"Citation Management",,"JabRef, Mastering Zotero"
1502,"Digital Research Training Courses (University of London)","Explore a mixture of of free and fee-based courses exploring the practice of digital historical research and other related digital humanities practices.",Browser,"Free|One-time cost",https://www.history.ac.uk/study-training/research-training,Basic,"Digital Humanities|Learning",,
1503,"Text Mechanic","Manipulate text in the browser to complete basic cleaning functions.",Browser,Free,https://textmechanic.com/,Basic,"Data Cleaning|Text Analysis",,
1506,"Digital Humanities 201 course (UCLA)","Explore Miriam Posner's course on the digital humanities including readings, assignments and guides.",Browser,Free,https://miriamposner.com/classes/dh201w19/,Basic,"Digital Humanities|Learning",,
1507,"Museums in the Digital Age course (UCLA)","Explore Miriam Posner's course on how the digital age has shifted museum services including readings, assignments, and guides.",Browser,Free,https://miriamposner.com/classes/is289s18/,Basic,"Digital Humanities|Learning",,
1508,"Systems and Infrastructures course (UCLA)","Explore Miriam Posner's course on the relationship between infrastructures and information including readings, assignments and other resources.",Browser,Free,https://miriamposner.com/classes/is270w18/,Basic,"Digital Humanities|Learning",,
1514,"Atlan Data Wiki","Explore an online encyclopedia that invites users to learn about different elements of data and contribute new entries.",Browser,Free,https://wiki.atlan.com/about-us/,Basic,"Data Science|Glossary|Learning",,
1515,"Data Visualization Catalogue","Explore a digital collection that details different types of information visualizations by describing their function, appearance, and related creation tools.",Browser,Free,https://datavizcatalogue.com/index.html,Basic,Glossary|Learning|Visualizations,,"Data Viz Project"
1516,"Data Viz Project","Explore a free gallery of data visualizations and visualisation types (such as plots, charts and diagrams) that describes their functions and includes relevant examples.",Browser,Free,https://datavizproject.com/,Basic,Glossary|Learning|Visualizations,,"Data Visualization Catalogue"
1518,"Getting Started with Git: Terminology 101","Read a quick introduction to the Git distributed version-control system.",Browser,Free,https://opensource.com/article/19/2/git-terminology,Basic,Learning|Programming,,
1520,"Space Engine","Generate a 3D planetarium by using scientifically accurate algorithms and astronomical data that users can explore and learn from.",Windows,"One-time cost",http://spaceengine.org/,Basic,Awesome,,
1522,Thingiverse,"Download and share 3D printing designs, most of which are free to access and licensed under a Creative Commons license.",Browser,Free,https://www.thingiverse.com/,Basic,"Virtual Reality (VR) and 3D|Repository|Making",,
1528,LibreOffice,"Use a free and open source productivity software that includes a word processor, a spreadsheet program, a graphics editor and a database management program.","Linux, Mac, Windows","Free|Open Source",https://www.libreoffice.org/,Basic,"Image Editing|Productivity Software",,
1533,Paint.net,"Create and edit images and photos in this free tool, which offers a variety of tools as well as support for plugins that expand the functionality of the application.",Windows,Free,https://www.getpaint.net/features.html,Basic,"Digital Art|Image Editing",,
1538,"Machine Learning course (Coursera)","Explore Andrew Ng's provides a broad introduction to machine learning and data mining through an eleven week series that includes video lectures, quizzes, exercises and readings. Enrollment for the course is free, while a certificate can be added as a one-time cost.",Browser,"Free|One-time cost",https://www.coursera.org/learn/machine-learning,Basic,"Learning|Machine Learning|Programming",,
1539,"Crash Course: Computer Science Series","Explore Carrie Anne Philbin's accessible history and analysis of the origins of the modern computer and the development of computer science.",Browser,Free,https://thecrashcourse.com/courses/computerscience,Basic,Learning,,
1542,"Autodesk SketchBook","Draw digitally with textured brush sets, layering and precision tools, and explore free tutorials for beginners and advanced drawers.","Browser, Mac, Windows","One-time cost",https://sketchbook.com/,Basic,"Digital Art|Image Editing",,
1544,NandGame,"Learn to build a home computer from scratch using this free online game.",Browser,Free,http://nandgame.com/,Basic,Learning,,
1545,"From Nand to Tetris:Building a Modern Computer From First Principles","Learn ""The Elements of Computing Systems""using Noam Nisan and Shimon Schockent's website, which compiles 12 projects using assignments, lectures and readings.",Browser,"Free|Open Source",https://www.nand2tetris.org/,Basic,Learning,,
1549,Historypin,"Plot historical photos, videos and audio onto a digital map and share your work with others.",Browser,Free,https://www.historypin.org/en/,Basic,Mapping,,
1551,Pixlr,"Edit images, record your screen, and remove your background using AI using cloud-based utilities.",Browser,Free|Subscription,https://pixlr.com/,Basic,"Image Editing|Screen Capture/Recording|Video Editing",,
1558,Freesound,"Upload, tag, browse and download audio.",Browser,Free,https://freesound.org/,Basic,"Audio Editing|Repository",,"Free Music Archive, Soundbible: Royalty Free Sounds, ccMixter, Pixabay"
1560,Excalidraw,"Draw diagrams and other digital illustrations in your browser.",Browser,Free,https://excalidraw.com/,Basic,"Digital Art|Online Collaboration",,
1562,MERLOT,"Find and share open educational teaching and learning materials.",Browser,Free,https://www.merlot.org/merlot/,Basic,"Open Educational Resources|Repository",,
1565,ccMixter,"Upload, tag, browse and download audio.",Browser,Free,http://ccmixter.org,Basic,"Audio Editing|Repository",,"Free Music Archive, Soundbible: Royalty Free Sounds, Freesound, Pixabay"
1566,"Soundbible: Royalty Free Sounds","Discover free sound effects that are licensed under Creative Commons and are in the public domain.",Browser,Free,https://soundbible.com/royalty-free-sounds-1.html,Basic,"Audio Editing|Repository",,"Free Music Archive, ccMixter, Freesound, Pixabay"
1574,"Adobe Stock - Free","Search this repository of free photos, vectors and images that can be downloaded and used privately or commercially.",Browser,Free,https://tinyurl.com/adobe-stock-free,Basic,"Image Editing|Repository",,"Pexels, StockSnap.io, Unsplash"
1585,"EdTech Catalogue","Explore a catalogue of educational technology, tools, services and platforms. The audience is the University of Toronto, but this is also a good suite of vetted applications to review.",Browser,Free,https://act.utoronto.ca/edtech-catalogue/,Basic,Directory,,
1586,"Open Access Books Toolkit","Learn more about open access academic book publishing, and how you can publish your book openly.",Browser,Free,https://oabooks-toolkit.org,Basic,Learning|Licensing|Publishing,,
1587,"List of Freeware","Explore information on and links to a broad set of free applications. ",Browser,Free,https://listoffreeware.com,Basic,Directory,,
1589,"Share Your Paper","Legally self-archive your published works in an open source repository with automatic permissions checking.",Browser,Free,https://shareyourpaper.org/permissions,Basic,Licensing|Publishing,,
1590,"Newspaper Map","Locate and translate global newspapers on a map.",Browser,Free,https://newspapermap.com,Basic,Awesome,,
1599,"Adobe Color","Create and share color themes. Extracting color palettes from an image or photograph.",Browser,Free,https://color.adobe.com/create/color-wheel,Basic,"Image Editing",,
1600,"University of Toronto Map and Data Library tutorials","Explore a directory of tutorials offered by the University of Toronto's Map and Data Library, organized by data format, discipline, technique and tools.",Browser,Free,https://mdl.library.utoronto.ca/technology/tutorials,Basic,Learning,,
1603,"Natural Language eBook","Learn about Natural Language Processing using Steven Bird et al.'s free, online textbook.",Browser,Free,https://www.nltk.org/book/,Basic,"Learning|Programming|Text Analysis",,
1606,"Our World in Data","Explore interactive data visualizations that present research on global development, including topics such as poverty, disease, hunger and climate change.",Browser,Free,https://ourworldindata.org,Basic,Awesome|Learning|Repository,,
1613,Photogrammar,"Get inspired by the visualization and search tools on this digital collection of photographs from the U.S Farm Security and Administation and the Office of War Information, held at the Library of Congress.",Browser,Free,http://photogrammar.yale.edu,Basic,Awesome|Repository,,
1617,Are.na,"Build simple collections of content by adding links and files of any kind. Connect ideas with other people by collaborating privately or building public collections for everyone.",Browser,Freemium|Subscription,https://www.are.na/about,Basic,"Content Management System (CMS)",,
1619,FreeVectorMaps,"Find vector maps that can be downloaded for free.",Browser,"Free|One-time cost",https://freevectormaps.com/,Basic,Mapping|Repository,,
1623,Zooniverse,"Submit your projects or volunteer as a citizen scientist to help researchers by performing tasks like transcribing images.",Browser,Free,https://www.zooniverse.org/,Basic,Crowdsourcing,,
1624,Animaker,"Create your own animated and live action videos with this cloud-based software that features customizable template characters, objects and backgrounds.",Browser,Freemium|Subscription,https://www.animaker.com/,Basic,"Digital Art|Digital Storytelling",,
1632,Filezilla,"Connect to any server and file sharing service for macOS and Windows.","Mac, Windows","Free|One-time cost",https://filezilla-project.org/,Basic,"FTP Client",,Cyberduck
1644,Sketchpad,"Illustrate and edit images.","Browser, Windows","Free|One-time cost",https://sketch.io/sketchpad/,Basic,"Digital Art|Image Editing",,
1646,Vectr,"Edit 2D graphics.","Browser, Mac, Windows",Free,http://www.vectr.com/,Basic,"Image Editing",,
1653,SComCaT,"Explore this Scholarly Communication Technology Catalogue, designed to support users to make decisions about what technologies they will adopt using overviews of the functionality, organizational backing, dependencies, the use of standards, and how widely each has been adopted (summarized from description).",Browser,Free,https://www.scomcat.net/,Basic,Directory|Publishing,,
1655,BibBase,"Keep a web-page updated with information in your Zotero library (targeted to people trying to keep a web page updated with their publications).",Browser,Free|Subscription,https://bibbase.org/,Basic,"Citation Management|Publishing",,
1656,DALL-E,"Generate images from a textual description using artificial intelligence.",Browser,Free,https://openai.com/blog/dall-e/,Basic,"Artificial Intelligence (AI)",,
1661,geocodio,"Geocode and data match US and Canadian addresses.","Browser, Linux, Mac, Windows",Freemium,https://www.geocod.io/,Basic,Mapping,,GeoNames
1663,Salty,"Create a messy dataset for your students to clean up through instruction.","Linux, Mac, Windows","Open Source",https://github.com/mdlincoln/salty,Basic,"Data Cleaning|Learning",,
1677,Greenshot,"Capture, edit, and annotate screenshots.",Windows,"Free|Open Source",https://getgreenshot.org/,Basic,"Image Editing|Screen Capture/Recording",,
1702,RawTherapee,"Process raw image formats.","Linux, Mac, Windows","Open Source",https://www.rawtherapee.com/,Basic,"Image Editing",,Darktable
1703,Darktable,"Edit photographs and process raw image formats.","Linux, Mac, Windows","Free|Open Source",https://www.darktable.org/,Basic,"Image Editing",,RawTherapee
1710,"KIT Scenarist","Develop screenplays","Linux, Mac, Windows","Free|Open Source",https://kitscenarist.ru/en/index.html,Basic,"Digital Storytelling|Storyboarding",,Scrite
1711,Scrite,"Write screenplays in a digital environment.","Linux, Mac, Windows","Free|One-time cost|Open Source",https://www.scrite.io/,Basic,"Digital Art|Digital Storytelling|Storyboarding",,"KIT Scenarist"
1714,Sketchfab,"Find and share 3D, VR and AR designs and collaborate on designs with other users.",Browser,"One-time cost|Subscription|Free",https://sketchfab.com/,Basic,"Virtual Reality (VR) and 3D|Repository|Making",,
1718,Yeggi,"Search across many online communities providing free and for sale printable 3D models.",Browser,Free,https://www.yeggi.com/,Basic,"Virtual Reality (VR) and 3D|Repository",,
1729,"Mastering Zotero","Review this open-source user guide for installing and using Zotero.",Browser,"Open Source",https://zotero-manual.github.io/,Basic,Learning,,Zotero
1730,JabRef,"Manage research, create citations and bibliographies.","Browser, Linux, Mac, Windows","Free|Open Source",https://www.jabref.org/,Basic,"Citation Management",,Zotero
1731,Mendeley,"Manage research, create citations and bibliographies.","Browser, Linux, Mac, Windows",Freemium,https://www.mendeley.com/?interaction_required=true,Basic,"Citation Management",,
1732,RefWorks,"Manage research, create citations and bibliographies.",Browser,Subscription,https://onesearch.library.utoronto.ca/refworks,Basic,"Citation Management",,
1733,LibraryThing,"Catalog books and other media with social media features.",Browser,Free,https://www.librarything.com/,Basic,"Citation Management",,GoodReads
1734,Scratch,"Learn programming with this beginner language, indended for teaching core concepts.","Browser, Linux, Mac, Windows",Free,https://scratch.mit.edu/,Basic,Learning|Programming,,"Blockly, Processing"
1735,Blockly,"Add a block based visual programming language editor to your application that will output syntactically correct code in any programming language.",Browser,"Free|Open Source",https://github.com/google/blockly,Basic,Learning|Programming,,"Scratch, Processing"
1745,Glosario,"Explore and learn more about common data science vocabulary using this glossary (also available in multiple other languages)",Browser,Free,https://glosario.carpentries.org/en/,Basic,"Data Science|Glossary|Learning",,
1748,"Google Earth","Explore sattelite imagery of the world and incorporate it into your projects.",Browser,Free,http://earth.google.com/,Basic,Mapping,"Other: Google","ArcGIS Online"
1751,"Statistics Canada Data Literacy Learning Catalogue","Data literacy training by the Canadian government",Browser,Free,https://www.statcan.gc.ca/en/wtc/data-literacy/catalogue,Basic,Learning,,
1756,FromThePage,"Transcribe documents and collaborate on transcription with others.",Browser,Freemium,http://beta.fromthepage.com/,Basic,Transcription,,
1757,"Hathitrust Datasets","Download text data of public domain works for non-commercial research purposes (Approval process)",Browser,Free,https://www.hathitrust.org/datasets,Basic,Repository,,
1759,Trophy,"Manage primary sources (research photos)","Linux, Mac, Windows","Open Source",https://tropy.org/,Basic,"Document Management",,
1762,"Chat GPT","Have a conversation with an advanced AI that can also support writing and data tasks.",Browser,Freemium,https://openai.com/blog/chatgpt/,Basic,"Artificial Intelligence (AI)",,
1770,"Word Wanderer","Test an experiment with encouraging engagement with text using visual cues.",Browser,Free,https://wordwanderer.org/,Basic,Awesome,,
1772,"I write Like","See which famous author you write like.","Browser, Mac","Freemium|One-time cost",https://www.codingrobots.com/iwl/,Basic,Awesome,,
1786,Bookends,"Import references and PDFs",Mac,"One-time cost",https://www.sonnysoftware.com/bookends-for-mac,Basic,"Citation Management",,
1787,Dropbox,"Sync files across multiple devices and store in the cloud.","Browser, Linux, Mac, Windows",Freemium|Subscription,https://www.dropbox.com/,Basic,"Document Management",,
1830,Ideaboardz,"Brainstorm and collaborate with this free tool using stickies. ",Browser,Free,https://ideaboardz.com/,Basic,"Project Management",,"Google Jamboard"
1834,GoodReads,"Track books you have read and discover new things to read. ",Browser,Free,https://www.goodreads.com/,Basic,"Citation Management",,LibraryThing
1344,Twine,"Create interactive, nonlinear stories and games.","Browser, Linux, Mac, Windows","Open Source",https://twinery.org,Basic,"Digital Storytelling|Gaming",,
1345,Palladio,"Visualize your data, making maps, graphs, tables, and galleries.",Browser,"Open Source",http://hdlab.stanford.edu/palladio/,Basic,Mapping|Visualizations,,
1363,"Scene VR","Create 360 degree narratives using your panoramic or VR ready images, and publish them in other platforms.",Browser,"Free|Open Source",https://scene.knightlab.com/,Basic,"Digital Storytelling|Virtual Reality (VR) and 3D",,
1366,TimelineJS,"Tell stories on the web that highlight the locations of a series of event and publish them on other platforms.",Browser,"Free|Open Source",http://timeline.knightlab.com/,Basic,"Digital Storytelling|Mapping|Timelines|Visualizations",,
1370,"ArcGIS StoryMaps","Create interactive stories with a spatial element and publish them on other platforms using ArcGIS.","Browser, Windows","Academic Licensing|Subscription",https://storymaps.arcgis.com/,Basic,"Digital Storytelling|Mapping",,StoryMapJS
1375,"Creative Commons Licensing","Author licenses for your online content to help people understand how they can and can't use it in various contexts.",Browser,Free,https://creativecommons.org/licenses/,Basic,Licensing,,
1384,"Debates in the Digital Humanities","Learn about Digital Humantities through this hybrid print/digital book series.",Browser,Free,https://dhdebates.gc.cuny.edu/,Basic,"Digital Humanities|Learning",,
1387,SketchUp,"SketchUp is a 3D modelling program that allows users to draw and customize original designs.","Browser, Mac, Windows",Freemium,https://www.sketchup.com/,Basic,"Computer Assisted Design (CAD)|Making",,"3D Warehouse"
1388,"ArcGIS Online","Use the online version of this software to complete most general GIS functions and publish and embed your work.",Browser,"Academic Licensing",https://www.arcgis.com/index.html,Basic,Mapping,,"ArcGIS Pro, Google Earth"
1354,Zoom,"Meet online for video calls or live-stream a presentation.","Browser, Windows, Mac, Linux",Freemium,https://zoom.us/,Basic,"Online Collaboration",,
1355,"Microsoft Teams","Meet online for video calls or live-stream a presentation.","Windows, Mac, Browser",Freemium,https://www.microsoft.com/en/microsoft-teams/group-chat-software,Basic,"Online Collaboration",,
1356,"Google Meet","Meet in a customizable online environment.",Browser,Free,https://meet.google.com/,Basic,"Online Collaboration",,
1357,Padlet,"Collaborate for the creation of multiple types of diagrams.",Browser,Freemium,https://padlet.com/,Basic,Visualizations,,
1358,"WebRecorder Project","Record and replay websites.","Linux, Mac, Windows, Browser","Open Source",https://webrecorder.net/,Basic,"Web Archiving",,
1360,Wattpad,"Join a community self-publishing authors",Browser,Freemium,https://www.wattpad.com/,Basic,Publishing,,
1361,NVIVO,"Code, analyze, and visualize qualitative data.","Windows, Mac","Academic Licensing",https://www.qsrinternational.com/nvivo-qualitative-data-analysis-software/home,Basic,"Qualitative Data Analysis",,
1348,"Gather Town","Meet in a customizable online environment.",Browser,Freemium,https://www.gather.town/,Basic,"Online Collaboration",,
1349,Wonder.me,"Meet in a customizable online environment.",Browser,Freemium,https://www.wonder.me/,Basic,"Online Collaboration",,
1350,KumoSpace,"Meet in a customizable online environment.",Browser,Freemium,https://www.kumospace.com/,Basic,"Online Collaboration",,
1351,"Mozilla Hubs","Meet and collaborate in 3D virtual spaces.",Browser,"Freemium|Open Source",https://hubs.mozilla.com/,Basic,"Online Collaboration",,
1352,Topia,"Meet in a customizable online environment.",Browser,Freemium,https://topia.io/,Basic,"Online Collaboration",,
1353,Here.fm,"Create sharable video environments",Browser,Freemium,https://here.fm/,Basic,"Online Collaboration",,
1347,Hopin,"Host online, interactive events and workshops.",Browser,Subscription,https://hopin.to/,Basic,"Online Collaboration",,
1373,Movavi,"Capture, edit, and convert media on your desktop.","Windows, Mac","One-time cost",https://www.movavi.com/,Basic,"Video Editing",,
1374,iMovie,"Edit videos with the editing software that comes by default with all Mac devices.",Mac,Free,https://www.apple.com/ca/imovie/,Basic,"Video Editing",,
1378,"Slides Carnival","Find free, attractive slideshow templates for PowerPoint and Google Slides, organized by theme, genre, and colour.",Browser,Free,http://www.slidescarnival.com/,Basic,Presentations,,
1379,Wix,"Develop a customized website from a predeveloped template with no coding knowledge.",Browser,Freemium,https://www.wix.com/,Basic,"Website Development",,
1380,Coggle,"Mind-map your self or collaborate on the creation of mind maps.",Browser,Freemium,https://coggle.it/,Basic,Visualizations,,
1427,TSpace,"Members of the U of T can upload their research to be publicly and openly accessible.",Browser,Free,https://tspace.library.utoronto.ca/,Basic,Repository|Publishing,,
1440,Flickr,"Host and share high-resolution image and video files.",Browser,Freemium,https://www.flickr.com/,Basic,"Content Management System (CMS)|Repository|Social Media Analysis",,
1442,Voyant,"Get started with text analysis by analyzing a corpus and producing visualizations.",Browser,"Free|Open Source",https://voyant-tools.org/,Basic,"Text Analysis",,
1447,Zenodo,"Deposit and license research outputs in this repository, and generate DOIs.",Browser,Free,https://zenodo.org/,Basic,"Research Data Management (RDM)|Repository",,
1452,"TAGS Explorer","Use this Google Chrome extension to display, locate, and validate tags on your website.",Browser,Free,https://chrome.google.com/webstore/detail/tag-explorer/obhceflecohdhjjomleeakkogaiclhoo?hl=en,Basic,"Website Development","Other: Google",
1455,"Registry of Research Data Repositories","Find global data repositories by subject, type, and country.",Browser,Free,https://www.re3data.org/,Basic,Repository,,
1458,Mirador,"Build the display and comparison of IIIF images into your digital scholarship system.",Browser,"Open Source",https://projectmirador.org/,Basic,"Digital Storytelling","Other: International Image Interoperability Framework (IIIF)",
1463,Proto,"Prototype the interfaces for your application without using code.",Browser,Freemium,https://proto.io/,Basic,Wireframing,,
1471,Storyboarder,"Create, animate and export illustrated storyboards.","Linux, Mac, Windows","Open Source",https://wonderunit.com/storyboarder/,Basic,"Storyboarding|Digital Storytelling",,
1472,Discord,"Create and join various community channels for voice calls and chatting.","Browser, Linux, Mac, Windows",Free,https://discord.com/,Basic,"Social Media Analysis",,
1473,Pixton,"Create custom comics and storyboards with posable figures, speech bubbles and virtual props.",Browser,Subscription,https://www.pixton.com/,Basic,"Storyboarding|Digital Storytelling",,
1362,"Juxtapose JS","Compare two images side by side, and publish your comparison in other platforms.",Browser,"Free|Open Source",http://juxtapose.knightlab.com/,Basic,"Digital Storytelling",,
1364,"StoryLine JS","Build annotated, interactive line charts from sources such as Google Sheets and publish them in other platforms.",Browser,"Open Source|Free",http://storyline.knightlab.com/,Basic,Visualizations|Timelines,,
1365,StoryMapJS,"Build an interactive, multimedia timeline of chronological events using sources such as Google Sheets and publish them in other platforms.",Browser,"Free|Open Source",http://storymap.knightlab.com/,Basic,"Digital Storytelling|Timelines|Visualizations",,"ArcGIS StoryMaps"
1371,Camtasia,"Record your screen and edit this together with other media and complex animations and transitions, usually to create instructional content.","Windows, Mac","One-time cost|Academic Licensing",https://www.techsmith.com/video-editor.html,Basic,"Video Editing",,
1372,"Weebly (Square)","Develop a customized website from a predeveloped template with no coding knowledge.",Browser,Freemium,https://www.weebly.com,Basic,"Website Development",,
1414,Thinglink,"Create and manage collaborative presentation and learning environments.",Browser,Subscription,https://www.thinglink.com/,Basic,"Online Collaboration|Presentations|Digital Storytelling",,
1420,Netlytic,"Analyze text and social networks through public social media posts.",Browser,Free,https://netlytic.org/index.php,Basic,"Social Media Analysis",,
1424,Kumu,"Create concept maps and graphs.",Browser,Freemium,https://kumu.io/,Basic,Visualizations,,
1478,OSF,"Document, share and archive your research materials and data.",Browser,Free,https://osf.io/,Basic,"Research Data Management (RDM)",,
1479,Miro,"Collaborate on a whiteboard with your team.","Browser, Mac, Windows",Freemium,https://miro.com/index/,Basic,"Online Collaboration",,
1481,Trello,"Plan, design and collaborate on projects and group workflows.",Browser,Freemium,https://trello.com/home,Basic,"Project Management",,
1483,Infogram,"Collaborate on the creation of infographics.",Browser,Freemium,https://infogram.com/,Basic,Visualizations,,
1485,LBRY,"Access and share a variety of free and paid content through decentralised community channels and networks.","Browser, Linux, Mac, Windows",Free,https://lbry.com/,Basic,Publishing|Repository,,
1486,Prezi,"Build browser-based, interactive presentations.",Browser,Freemium,https://prezi.com/,Basic,"Digital Storytelling|Presentations",,
1410,Hypothesis,"Annotate any web based document and collaborate on annotation.",Browser,"Free|Open Source",https://web.hypothes.is/,Basic,"Web-based Annotation",,
1411,Exobrain,"Take notes and collaborate on diagrams and other visualizations.",Browser,Free,https://www.exobrain.co/,Basic,Visualizations,,
1412,Etherpad,"Take collaborative notes in a free, online editor.",Browser,"Free|Open Source",https://etherpad.org/,Basic,"Online Collaboration",,
1407,Histropedia,"Build and explore virtual timelines on any topic in history.","Browser, Server",Free,http://histropedia.com/,Basic,Programming|Timelines,,
1505,Datawrapper,"Quickly plot data into a chart, map, or table.",Browser,Freemium,https://www.datawrapper.de/,Basic,Visualizations,,
1509,Chartbuilder,"Quickly generate and export graphs based on customized data sets in a browser.",Browser,Free,http://quartz.github.io/Chartbuilder/,Basic,Visualizations,,
1510,"Google Charts","Create and customize a variety of different graphs and charts.",Browser,Free,https://developers.google.com/chart,Basic,Programming|Visualizations,"Other: Google",
1511,Visme,"Create visually appealing visual content such as presentations, infographics, charts, and social media graphs.",Browser,Freemium,https://www.visme.co/,Basic,"Social Media Analysis|Presentations",,
1488,RAWGraphs,"Creates and exports custom graphs and models based on your data sets.",Browser,"Open Source|Free",https://rawgraphs.io/,Basic,Visualizations,,
1493,Lucidchart,"Collaborate with others to draw and edit digital diagrams and charts.",Browser,Freemium,https://www.lucidchart.com/pages/,Basic,"Online Collaboration",,
1569,"subtitle horse SHIRE","Create, customise, and validate video subtitles in a browser.",Browser,Free,https://subtitle-horse.com,Basic,Transcription,,
