tool_id,data_tapor,repository_tapor,url_tapor,name_tapor-api,detail,name,QId,url_image,star_average,_ - tools - _ - attribute_value_ids - attribute_value_ids,_ - attribute_values - _ - id,_ - attribute_values - _ - name
,,,,,,,,,,79,87,Interpretation
11,"{""id"":11,""user_id"":null,""name"":""Voyant Bubbles"",""detail"":""\u003cp\u003eBubbles reads the words in a document (or corpus) and displays the highest frequency words within proportionately large bubbles. Once you arrive to Bubbles, insert / upload your content and let the tool perform its analysis.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/11.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/Bubbles/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/11-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/Bubbles/,Voyant Bubbles,"Bubbles reads the words in a document (or corpus) and displays the highest frequency words within proportionately large bubbles. Once you arrive to Bubbles, insert / upload your content and let the tool perform its analysis.",Voyant Bubbles,,https://tapor.ca/images/tools/0/11.jpg,5,4,88,Modeling
,,,,,,,,,,79,63,Natural Language Processing
12,"{""id"":12,""user_id"":null,""name"":""Voyant Corpus Grid"",""detail"":""\u003cp\u003eCorpus Grid shows an overview of the corpus, including each document's title, number of word tokens (total words), number or word types (unique words), and lexical density (the ratio of tokens to types).\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/12.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":3.0,""url"":""http://voyant-tools.org/tool/CorpusGrid/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/12-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/CorpusGrid/,Voyant Corpus Grid,"Corpus Grid shows an overview of the corpus, including each document's title, number of word tokens (total words), number or word types (unique words), and lexical density (the ratio of tokens to types).",Voyant Corpus Grid,,https://tapor.ca/images/tools/0/12.jpg,3,79,89,Organizing
13,"{""id"":13,""user_id"":null,""name"":""Voyant Corpus Summary"",""detail"":""\u003cp\u003eCorpus Summary is a tool that provides a simple, textual overview of the current corpus. Features of this tool include number of words, number of unique words, longest documents, highest vocabulary density, most frequent words, notable peaks in frequency, and distinctive words.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/13.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":0.0,""url"":""http://voyant-tools.org/tool/CorpusSummary/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/13-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://voyant-tools.org/tool/CorpusSummary/,Voyant Corpus Summary,"Corpus Summary is a tool that provides a simple, textual overview of the current corpus. Features of this tool include number of words, number of unique words, longest documents, highest vocabulary density, most frequent words, notable peaks in frequency, and distinctive words.",Voyant Corpus Summary,,https://tapor.ca/images/tools/0/13.jpg,0,79,148,Programming
14,"{""id"":14,""user_id"":null,""name"":""Voyant Corpus Term Frequencies"",""detail"":""\u003cp\u003eCorpus Term Frequencies shows overall word frequencies for the entire corpus as well as information about how word frequencies are spread out over documents within the corpus. Hover over column headers and buttons for more information.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/14.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/CorpusTypeFrequenciesGrid/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/14-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/CorpusTypeFrequenciesGrid/,Voyant Corpus Term Frequencies,Corpus Term Frequencies shows overall word frequencies for the entire corpus as well as information about how word frequencies are spread out over documents within the corpus. Hover over column headers and buttons for more information.,Voyant Corpus Term Frequencies,,https://tapor.ca/images/tools/0/14.jpg,5,79,65,Publishing
15,"{""id"":15,""user_id"":null,""name"":""Voyant Document Term Frequencies"",""detail"":""\u003cp\u003eDocument Term Frequencies shows word frequencies for each document in the corpus. You can see the selected word at the top of the window highlighted in yellow. Its relevance to the documents is shown in the table below.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/15.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/DocumentTypeFrequenciesGrid/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/15-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/DocumentTypeFrequenciesGrid/,Voyant Document Term Frequencies,Document Term Frequencies shows word frequencies for each document in the corpus. You can see the selected word at the top of the window highlighted in yellow. Its relevance to the documents is shown in the table below.,Voyant Document Term Frequencies,,https://tapor.ca/images/tools/0/15.jpg,5,79,66,RDF
16,"{""id"":16,""user_id"":null,""name"":""Voyant Document KWICs"",""detail"":""\u003cp\u003eDocument KWICs shows a table of keywords in their context. In other words, it provides a list of certain keywords and their occurrence within a corpus or document.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/16.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":4.0,""url"":""http://voyant-tools.org/tool/DocumentTypeKwicsGrid/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/16-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/DocumentTypeKwicsGrid/,Voyant Document KWICs,"Document KWICs shows a table of keywords in their context. In other words, it provides a list of certain keywords and their occurrence within a corpus or document.",Voyant Document KWICs,,https://tapor.ca/images/tools/0/16.jpg,4,79,1,Search
17,"{""id"":17,""user_id"":null,""name"":""Voyant Knots"",""detail"":""\u003cp\u003eKnots is a visualization tool that helps to understand patterns of word relevance in one or more documents. Each term is represented as a twisted line – when the lines overlap it means a relevance or linkage within the terms.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/17.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":5.0,""url"":""http://voyant-tools.org/tool/Knots/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/17-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/Knots/,Voyant Knots,Knots is a visualization tool that helps to understand patterns of word relevance in one or more documents. Each term is represented as a twisted line – when the lines overlap it means a relevance or linkage within the terms.,Voyant Knots,,https://tapor.ca/images/tools/0/17.jpg,5,91,90,Storage
,,,,,,,,,,4,91,Uncategorized
,,,,,,,,,,79,4,Visualization
18,"{""id"":18,""user_id"":null,""name"":""Voyant Lava"",""detail"":""\u003cp\u003eLava allows you to view multiple levels of a corpus in a three-dimensional environment. Clicking on certain documents within the corpus expands the Lava visualization in a ring to explore further.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/18.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":0.0,""url"":"""",""last_updated"":""2018-09-25"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/18-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Voyant Lava,Lava allows you to view multiple levels of a corpus in a three-dimensional environment. Clicking on certain documents within the corpus expands the Lava visualization in a ring to explore further.,Voyant Lava,,https://tapor.ca/images/tools/0/18.jpg,0,4,92,Web development
,,,,,,,,,,79,,
19,"{""id"":19,""user_id"":null,""name"":""Voyant Reader"",""detail"":""\u003cp\u003eReader acts as a method of reading all documents within a specified corpus. It does not provide text analysis but rather a method of viewing the contents of a corpus.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/19.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":0.0,""url"":""http://voyant-tools.org/tool/Reader/"",""last_updated"":""2018-10-17"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/19-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,http://voyant-tools.org/tool/Reader/,Voyant Reader,Reader acts as a method of reading all documents within a specified corpus. It does not provide text analysis but rather a method of viewing the contents of a corpus.,Voyant Reader,,https://tapor.ca/images/tools/0/19.jpg,0,1,,
,,,,,,,,,,81,,
,,,,,,,,,,86,,
,,,,,,,,,,147,,
20,"{""id"":20,""user_id"":null,""name"":""Voyant ScatterPlot"",""detail"":""\u003cp\u003eScatterPlot creates a scatter plot graph of terms, spaced by their variation from one another. Once you arrive to ScatterPlot, insert / upload your content and let the tool perform its analysis. You may hover over these dots and click on them for more information.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/20.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":3.0,""url"":""http://voyant-tools.org/tool/ScatterPlot/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/20-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/ScatterPlot/,Voyant ScatterPlot,"ScatterPlot creates a scatter plot graph of terms, spaced by their variation from one another. Once you arrive to ScatterPlot, insert / upload your content and let the tool perform its analysis. You may hover over these dots and click on them for more information.",Voyant ScatterPlot,,https://tapor.ca/images/tools/0/20.jpg,3,4,,
,,,,,,,,,,79,,
21,"{""id"":21,""user_id"":null,""name"":""Voyant Term Frequencies Chart"",""detail"":""\u003cp\u003eTerm Frequencies Chart shows how terms are distributed across document(s) in a corpus (documents are shown in the order in which they were added).\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/21.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":1.0,""url"":""http://voyant-tools.org/tool/TypeFrequenciesChart/"",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/21-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,http://voyant-tools.org/tool/TypeFrequenciesChart/,Voyant Term Frequencies Chart,Term Frequencies Chart shows how terms are distributed across document(s) in a corpus (documents are shown in the order in which they were added).,Voyant Term Frequencies Chart,,https://tapor.ca/images/tools/0/21.jpg,1,4,,
,,,,,,,,,,79,,
22,"{""id"":22,""user_id"":null,""name"":""Voyant Term Fountain (beta)"",""detail"":""\u003cp\u003eTerm Fountain is a tool for visualizing word frequencies, and a part of the Voyant suite of tools. It takes the most common words in a corpus and represents them as a fountain. This tool is still in beta.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/22.jpg"",""creators_name"":""Stéfan Sinclair and Geoffrey Rockwell"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":1.0,""url"":"""",""last_updated"":""2018-10-05"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/22-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,,Voyant Term Fountain (beta),"Term Fountain is a tool for visualizing word frequencies, and a part of the Voyant suite of tools. It takes the most common words in a corpus and represents them as a fountain. This tool is still in beta.",Voyant Term Fountain (beta),,https://tapor.ca/images/tools/0/22.jpg,1,4,,
,,,,,,,,,,79,,
23,"{""id"":23,""user_id"":null,""name"":""Voyant Mandala"",""detail"":""\u003cp\u003eMandala is a visualization tool that imports “textual” files to perform analysis on the frequency and linkage of words. For example, you may import a play and find the linkage and frequency between a word and its speaker.\u003c/p\u003e \u003cp\u003e \u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/23.jpg"",""creators_name"":""Stéfan Sinclair and Stan Ruecker"",""creators_email"":""sgs@mcmaster.ca"",""creators_url"":""http://stefansinclair.name/"",""star_average"":2.0,""url"":""http://voyant-tools.org/tool/Mandala/"",""last_updated"":""2013-10-30"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/23-thumb.jpg"",""rating_count"":2,""recipes"":""""}",,http://voyant-tools.org/tool/Mandala/,Voyant Mandala,"Mandala is a visualization tool that imports “textual” files to perform analysis on the frequency and linkage of words. For example, you may import a play and find the linkage and frequency between a word and its speaker.  ",Voyant Mandala,,https://tapor.ca/images/tools/0/23.jpg,2,79,,
,,,,,,,,,,1,,
,,,,,,,,,,4,,
,,,,,,,,,,147,,
24,"{""id"":24,""user_id"":null,""name"":""Orlando Degrees of Separation"",""detail"":""\u003cp\u003eOrlando contains a relatively large corpus, currently consisting of details about the life and writing careers of roughly 1000 British women writers, amounting to 6.8 million words with 2.2 million semantic tags for everything from paragraphs to politics, plots, or relations with publishers.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/24.jpg"",""creators_name"":""The Orlando Project was led by Patricia Clements, Isobel Grundy, and Susan Brown at the University of Alberta and the University of Guelph. The 6 degrees research team also includes Blair Nonnecke (Guelph), Claire Warwick (UCL), and Stan Ruecker (U of A)."",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2018-11-07"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/24-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Orlando Degrees of Separation,"Orlando contains a relatively large corpus, currently consisting of details about the life and writing careers of roughly 1000 British women writers, amounting to 6.8 million words with 2.2 million semantic tags for everything from paragraphs to politics, plots, or relations with publishers.",Orlando Degrees of Separation,,https://tapor.ca/images/tools/0/24.jpg,0,1,,
,,,,,,,,,,147,,
25,"{""id"":25,""user_id"":null,""name"":""Orlando Breadboard"",""detail"":""\u003cp\u003eBreadboard is an application that allows one to easily find and view authors, with a compact representation of their connections to other authors, places, literary references, organizations and miscellaneous.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/25.jpg"",""creators_name"":""Susan Brown, Milena Radzikowska, Stan Ruecker, Mark Bieber, Jeffrey Antoniuk"",""creators_email"":"""",""creators_url"":"""",""star_average"":0.0,""url"":"""",""last_updated"":""2018-11-07"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/25-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Orlando Breadboard,"Breadboard is an application that allows one to easily find and view authors, with a compact representation of their connections to other authors, places, literary references, organizations and miscellaneous.",Orlando Breadboard,,https://tapor.ca/images/tools/0/25.jpg,0,1,,
,,,,,,,,,,147,,
26,"{""id"":26,""user_id"":null,""name"":""Voyant Flowerbed (beta)"",""detail"":""\u003cp class=\""western\""\u003eFlowerbed is a simple visualization tool for viewing up to two documents. Each document is presented as a “flowerbed”, wherein each word is a flower. The height of the flower is determined by the relative frequency of that word within the document. The petals on each flower represent features associated with the word. When two documents are present in chosen the corpus, the second is mirrored below the first. In this way it is possible to do a cursory comparison of the documents.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/26.jpg"",""creators_name"":""Stéfan Sinclair"",""creators_email"":"""",""creators_url"":""http://stefansinclair.name/"",""star_average"":0.0,""url"":"""",""last_updated"":""2018-09-28"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/26-thumb.jpg"",""rating_count"":0,""recipes"":""""}",,,Voyant Flowerbed (beta),"Flowerbed is a simple visualization tool for viewing up to two documents. Each document is presented as a “flowerbed”, wherein each word is a flower. The height of the flower is determined by the relative frequency of that word within the document. The petals on each flower represent features associated with the word. When two documents are present in chosen the corpus, the second is mirrored below the first. In this way it is possible to do a cursory comparison of the documents.",Voyant Flowerbed (beta),,https://tapor.ca/images/tools/0/26.jpg,0,4,,
,,,,,,,,,,79,,
,,,,,,,,,,82,,
27,"{""id"":27,""user_id"":null,""name"":""Voyant FeatureClusters (beta)"",""detail"":""\u003cp class=\""western\""\u003eFeatureClusters is a visualization tool for viewing associations between words, based on commonalities in the feature sets of the words. This is illustrated using a force-directed graph, wherein each word is a node in the graph. Nodes are connected to one another if they share the same feature. Features are represented by the smaller circles (or petals) which surround each word. Moving your mouse over a word will show the feature details associated with that word. Clicking on a word will highlight its connections to other words.\u003c/p\u003e"",""is_approved"":true,""image_url"":""images/tools/0/27.jpg"",""creators_name"":""Stéfan Sinclair"",""creators_email"":"""",""creators_url"":""http://stefansinclair.name/"",""star_average"":3.0,""url"":"""",""last_updated"":""2018-10-03"",""nature"":""tool"",""language"":null,""code"":null,""repository"":"""",""thumb_url"":""images/tools/0/27-thumb.jpg"",""rating_count"":1,""recipes"":""""}",,,Voyant FeatureClusters (beta),"FeatureClusters is a visualization tool for viewing associations between words, based on commonalities in the feature sets of the words. This is illustrated using a force-directed graph, wherein each word is a node in the graph. Nodes are connected to one another if they share the same feature. Features are represented by the smaller circles (or petals) which surround each word. Moving your mouse over a word will show the feature details associated with that word. Clicking on a word will highlight its connections to other words.",Voyant FeatureClusters (beta),,https://tapor.ca/images/tools/0/27.jpg,3,4,,
,,,,,,,,,,79,,
