"id.tapor","label","description","id.wikidata","label.clean"
712,"Analyse-it Quality Control & Improvement Edition","Analyse-it Quality Control & Improvement Edition provides the statistical analysis you need to understand processes, bring them under control, and find improvements that better your product.•	Bring processes under statistical control so they are stable and predictable with powerful Shewhart, cumulative sum, and moving average control charts. Include Xbar-R, Xbar-S, R, S, I-MR, time weighted CUSUM, UWMA, EMA plots, and WECO, Nelson, Montomery or custom rulesets.•	Ensure products are capable of meeting end-user specifications using capability indices to compare in-control process performance to your specification limits.•	Improve processes and products by identifying solutions that really work using hypothesis tests and model fitting techniques. Includes ANOVA with multiple comparison, multiple linear and logistic regression, PCA and Factor analysis.•	Identify actions that will reap the most rewards using Pareto analysis to identify commonly occurring defects and monitor them during process improvement.",NA,"Analyse-it Quality Control \& Improvement Edition"
714,"Analyse-it Standard Edition","Analyse-it Standard Edition provides you with the powerful statistical analysis and regression you’d expect from an expensive statistics package, but without the complexity or the cost. •	Describe your data with a wide range of statistics.•	Visualize distributions, see trends and patterns, and spot outliers with powerful charts from histograms to scatter plots.•	Infer and test hypotheses to get answers on distribution parameters, differences between populations, association between variables, and much more. Includes ANOVA, multiple comparisons, and an extensive range of parametric and non-parametric tests.•	Discover relationships between variables and identify important factors with powerful regression and model fitting techniques. Include linear and logistic regression, with simple functions, or advanced models with crossed, polynomial and factorial terms.•	Get insight into highly complex data by reducing dimensionality to get a clearer picture of the underlying structure. Includes correlation matrix, PCA (Principle Component Analysis) and Factor Analysis.",NA,"Analyse-it Standard Edition"
1212,"Anastasia","A software application that enables a user to search, manipulate and publish large SGML/XML documents. Anastasia was developed within an academic context to enable the manipulation of a single, large mark-up documents or a set of documents. It utilises two methods to interpret the structure of a mark-up document: First, it uses pattern-matching algorithms to process a hierarchical tree, similar to other XML software applications; Second, it interprets the document structure as a series of sequential 'events' which must be processed. The latter method, it is indicated, enables the application to perform processing activities that are difficult or impossible using the traditional approach. For example, it is able to build a view of textual content across element divisions and in different types of hiearchical structure and to allow the easy publication of user defined extracts from complex documents.Features: Pattern-matching algorithms to process a hierarchical treeEvent-driven analysis to manipulate information stored across element boundaries and contained in semi-structured or unstructured text mark-up",NA,"Anastasia"
793,"Anki","Anki is flashcard program to aid in rote memorisation. Anyone who needs to remember things in their daily life can benefit from Anki. Since it is content-agnostic and supports images, audio, videos and scientific markup (via LaTeX), the possibilities are endless.For example:Learning a languageStudying for medical and law examsMemorizing people's names and facesBrushing up on geographyMastering long poemsEven practicing guitar chords!","Q557318","Anki"
969,"ANNIS","ANNIS is an open source, cross platform (Linux, Mac, Windows), web browser-based search and visualization architecture for complex multi-layer linguistic corpora with diverse types of annotation. ANNIS, which stands for ANNotation of Information Structure, was originally designed to provide access to the data of the SFB 632 - “Information Structure: The Linguistic Means for Structuring Utterances, Sentences and Texts”. It has since then been extended to a large number of projects annotating a variety of phenomena. Since complex linguistic phenomena such as information structure interact on many levels, ANNIS addresses the need to concurrently annotate, query and visualize data from such varied areas as syntax, semantics, morphology, prosody, referentiality, lexis and more. For projects working with spoken language, support for audio / video annotations is also required.Data is often annotated using both automatic taggers/parsers and a growing set of manual annotation tools (e.g. EXMARaLDA, ELAN, annotate/Synpathy, MMAX, RSTTool, Arborator, WebAnno, Atomic), ANNIS provides the means for visualizing and retrieving this data. Pepper is used to import the multiple annotation formats into ANNIS.",NA,"ANNIS"
304,"ANNIS (ANNotation of Information Structure)","ANNIS (ANNotation of Information Structure), now in version 3.4.3, is an open source browser-based visualization architecture designed to annotate complex multilevel linguistic corpora. Now in its second version, ANNIS enables users to concurrently annotate, query and visualize data for syntax, semantics, morphology, prosody, referntiality, lexis and so forth. It also offers support for spoken language and audio and visual annotation.",NA,"ANNIS \(ANNotation of Information Structure\)"
1118,"Annotate","Annotate allows you to annotate documents and images online. You may also collaborate on documents and index files. Annotate supports PDF and MS Office file formats, and runs on all common web browsers.",NA,"Annotate"
1019,"AnnotateIt","AnnotateIt lets users annotate anything anywhere on the web.",NA,"AnnotateIt"
1292,"Annotation Graph Toolkit","AGTK is a suite of software components for building tools for annotating linguistic signals, time-series data which documents any kind of linguistic behavior (e.g. audio, video). The internal data structures are based on annotation graphs. Annotation Graphs are a formal framework for representing linguistic annotations of time series data. (Note: last release 2007. Last update on sourceforge page 2011). The links on the sourceforge page are broken: software is reportedly released under a 'Common Public Licence', although the link to the licence at http://www.opensource.org/ is broken; link to the project website at the Linguistic Data Consortium is broken.","Q104891173","Annotation Graph Toolkit"
443,"Annotation Studio","Annotation Studio is an open source, web-based annotation application that integrates a powerful set of textual interpretation tools behind an intuitive and easy-to-use interface. Users can upload their own texts, and annotate with styled text, video, images, and weblinks. To date, the project has been used with great success in disciplines such as Writing, Literature, Foreign Languages, Anthropology, Film and Media Studies, and others at institutions including Harvard, Yale, Stanford, MIT, Barnard College, and Washington University.",NA,"Annotation Studio"
828,"Annotations","Annotating documents with highlights and notes can quickly clutter the page. Annotations simplifies adding and managing notes to texts while keeping the documents clear and readable.FeaturesHighlight text with colours, assign custom keywords or add notesAuto-completion to match existing keywords as you typeOrganise and filter annotations by collections, type, keywords or matching search criteriaCreate relationships between different annotationsSummary mode to view and export only what has been highlighted or provided with notesImport support for plain text, rich text and Microsoft® Word documents","Q105229735","Annotations"
881,"Annotator","Annotator is an open source JavaScript library that developers can include on their pages (along with jQuery) to allow users to annotate content. Annotations can be stored in AnnotateIt.",NA,"Annotator"
1117,"Annotator's Workbench","The Annotator's Workbench is a software tool that enables users to create a collection from a set of existing video files, segment that collection, create annotations and assign vocabulary terms to the segments, and control access. This tool is part of the Ethnographic Video for Institution and Analysis (EVIA) Digital Archive Project at Indiana University and the University of Michigan.

A download of the program can be gotten here: https://sourceforge.net/projects/awbench/",NA,"Annotator's Workbench"
934,"Annotorious","A Web-based image annotation tool, built specifically for integration with existing Web pages or portal environments. Annotorious is also available as a plugin to the Annotator Web annotation system by the Open Knowledge Foundation.","Q110088633","Annotorious"
1023,"Annotum","Annotum is an open-source, open-process, open-access scholarly authoring and publishing platform based on WordPress.",NA,"Annotum"
1116,"Annozilla (Annotea on Mozilla)","Annozilla allows you to view and create annotations associated with a web page. To use Annozilla you need to install the packages and get set up with an account with the W3C test server.",NA,"Annozilla \(Annotea on Mozilla\)"
1123,"AnSWR","AnSWR supports qualitative analysis of word-based data. This entails a set of methods for organizing, displaying, processing, summarizing, and interpreting information.Last updated 9/23/2005. Only available for Windows 2000 and Windows XP.","Q105229737","AnSWR"
148,"AntConc","AntConc is free concordance software. It is multi-platform and easy to deploy and use.

AntConc is part of a suite of related tools for text processing and analysis, including applications for parallel corpus analysis, word profiling, PDF to text conversion, text structure analysis, detecting and converting character encodings, Japanese and Chinese segmenter and tokenizer, wordclass tagger, and spelling variant anaysis. The developer is currently drafting a more explicit licence for the use of the software.","Q104878038","AntConc"
1471,"AntConc","AntConc is free concordance software. It is multi-platform and easy to deploy and use.AntConc is part of a suite of related tools for text processing and analysis, including applications for parallel corpus analysis, word profiling, PDF to text conversion, text structure analysis, detecting and converting character encodings, Japanese and Chinese segmenter and tokenizer, wordclass tagger, and spelling variant anaysis. The developer is currently drafting a more explicit licence for the use of the software.","Q104878038","AntConc"
86,"Anthologize","Anthologize is a free, open-source plugin for WordPress 3.0. It enables WordPress to be used as a platform for publishing electronic texts in PDF, ePUB or TEI format. The plugin enables users to grab their existing blog posts, export content from external feeds or compose new content directly in Anthologize, then apply outlining, create a custom order, and edit content into a single document for export. Anthologize requires a self-hosted or local installation of WordPress.",NA,"Anthologize"
520,"ANTHROPAC","ANTHROPAC, now in version 4.98, is a long-standing menu-driven DOS program developed for working with anthropological and other cultural data. It assists both the collection and analysis of datasets, and can accommodate both qualitiative and quantitative information. ANTHROPAC includes analytic tools such as consensus analysis, factor analysis, cluster analysis and correspondance analysis, in addition to data manipulation and transformation functions. It imports and exports data via ASCII formats, and includes an extensive reference manual, a user's guide and a methods guide tailored for cultural domain analysis.",NA,"ANTHROPAC"
1470,"AntWordProfiler","AntWordProfiler is free software for analyzing word frequency.",NA,"AntWordProfiler"
1030,"Anvil","ANVIL is a free video annotation tool. It offers multi-layered annotation based on a user-defined coding scheme.",NA,"Anvil"
1392,"Apache Lucene","Apache Lucene is a Java-based high-performance text search engine library. Lucene Core is a Java library providing powerful indexing and search features, as well as spellchecking, hit highlighting and advanced analysis/tokenization capabilities.","Q773196","Apache Lucene"
120,"Apache OpenNLP","Apache OpenNLP is a free, open source toolkit for processing natural language text, based on machine learning. It includes common natural language processing functions such as tokenization, sentence segmentation, part-of-speech tagging, named entity extraction, chunking, parsing, and coreference resolution.","Q7095836","Apache OpenNLP"
1393,"Apache Solr","Solr is an open source enterprise search platform from the Apache Lucene project. It operates as a standalone full-text search server within an appropriate servlet container, such as Tomcat. Solr uses the Lucene Java search library at its core for full-text indexing and search, and has REST-like HTTP/XML and JSON APIs that make it easy to use from virtually any programming language.","Q2858103","Apache Solr"
1249,"Apache Subversion","Apache Subversion Version System (SVN) is an open source version control system. Access and revision to objects are carefully controlled, to prevent unauthorized access and alteration. Developers use SVN to maintain current and historical versions of files such as source code, web pages, and documentation. Their Vision: Subversion exists to be universally recognized and adopted as an open-source, centralized version control system characterized by its reliability as a safe haven for valuable data; the simplicity of its model and usage; and its ability to support the needs of a wide variety of users and projects, from individuals to large-scale enterprise operations.Features:Version support for all files and directories in repository, enabling administrator to track changes that have occurred and obtain earlier versions of filesRenamed/copied/moved/removed files retain full revision historyFree-form versioned metadataAtomic commitsMerge trackingFile lockingChangelists to organize commits into commit groupsPreservation of file attributes, such as executable and read/write statusApache network server support with WebDAV/DeltaV protocolWrite-through proxy using WebDAVInteractive conflict resolution Repository read-only mirroringParsable output, including XML log output Full MIME support - users can view or change the MIME type of each file, with the software knowing which MIME types can have their differences from previous versions shown","Q46794","Apache Subversion"
