"id","title","antragsteller","antragstellerId","fachlicheZuordnung","dates","projektText","dfgVerfahren","onset","terminus"
101394633,"Dichtung und Gesellschaft: Poesía Buenos Aires und Avantgarde-Kunst in den 1950er und 1960er Jahren in Argentinien.","Professorin Dr. Inke Gunia","1650626","Europäische und Amerikanische Literaturen","Förderung von 2008 bis 2013","Den Untersuchungsgegenstand bilden die 30 Nummern von Poesía Buenos Aires, die zwischen 1950 und 1960 in der Hauptstadt Argentiniens erschienen sind. Diese Zeitschrift wurde von Raúl Gustavo Aguirre initiiert und diente einer Gruppe von Lyrikern als Sprachrohr ihres poetologischen Programms. Einige der Mitherausgeber engagierten sich schon in den 1940er Jahren in Avantgarde-Gruppierungen mit einem ganzheitlichen Kunstkonzept (z.B. in Arturo, Revista de Artes Abstractas oder Arte Concreto-Invención des Movimiento Arte MADÍ). Seit der Herausgabe der Anthologie Literatura de Vanguardia. El movimiento Poesía Buenos Aires (1950–1960) durch Raúl Gustavo Aguirre (1979) werden die in der Zeitschrift Poesía Buenos Aires veröffentlichten Arbeiten der argentinischen Lyriker als “Movimiento”/ “Bewegung” behandelt. Die Nährlösung ihrer Dichtungen ist eine Mélange an poetologischen Elementen aus dem französischen Symbolismus und den lateinamerikanischen wie europäischen Avantgarden der 1920er bis 1950er Jahre. Mit der Untersuchung soll erstmals die Zeitschrift Poesía Buenos Aires im nationalen argentinischen wie im internationalen Kontext verortet werden. Ein besonderes Interesse gilt hierbei der Erklärung der künstlerischen Produktions- und Rezeptionsprozesse in einer sozialen Lebenswirklichkeit, die eine Positionierung der Kunst einforderte. Die Dichter von Poesía Buenos Aires suchten eine Verbindung zur faktischen Wirklichkeit, die den Künstler nicht von seiner gesellschaftlichen Verantwortung entband, ohne dabei in eine agitatorische politische Haltung überzugehen.","Sachbeihilfen",2008,2013
101414069,"Globale Theatergeschichte: Modernisierung und die Entstehung einer transnationalen Öffentlichkeit (1860-1960)","Professor Dr. Christopher Balme","992653","Theater- und Medienwissenschaften","Förderung von 2009 bis 2016","The aim of this project is to investigate the emergence of theatre as a globalphenomenon over the past century. Seen from the present it is astounding to manythat theatre, an ‘old’ medium that has been repeatedly pronounced moribund with thearrival of each successive wave of technological media, has in fact continued toflourish and expand.Today, theatre is a global artistic practice, a crucial cultural institution in manycountries and a central part of transnational networks of artistic exchange. Oftendefying exact definition, its manifestations range from improvised street theatre inbackyard slums to multi-million-dollar edifices purveying the latest performances ofnineteenth-century opera to 21st century cultural elites. Despite its bewilderingnumber of forms that include puppet theatre, stand-up comedy and abstractperformance art, theatre-makers and audiences are connected across cultures bymutual recognition of commonality in what they do. Investigation of this artistic andcultural diversity has been a hallmark of theatre and performance studies over the pasttwo decades. The still rapidly expanding disciplines of theatre and performancestudies have devoted themselves primarily to understanding the semantic specificityof performances on the basis of a number of commonly shared theoretical andmethodological tools (in the main semiotics, and more recently phenomenology andperformance theory). What theatre studies has not yet attempted to do is to explainhow this global phenomenon came to be. What were the factors that led to aparticular, mainly Western, artistic practice being exported to and established inentirely diverse cultural environments? How did these processes of transpositionaffect the new host cultures and how did they in turn change the practices beingexported?The project aims to provide a major corrective to existing theatre historiographicalprinciples and research agendas by linking theatrical modernism (as an artisticpractice) and modernization in its political, economic and institutional manifestations.The temporal coordinates of the project parallel the acceleration of colonialism andimperialism leading ultimately to political decolonization in the early 1960s and thegeopolitical realignments marked by the collapse of Eastern European socialism.The main focus will be on hitherto under-researched phenomena: theatrical traderoutes facilitating the movement of theatre artists and productions (in the first period);the creation of new public spheres in situations of cross-cultural contact in multiethnicmetropolitan centres and the dynamics of theatrical modernization in non-Westerncountries.The objectives of the project can be summarized as follows:• to define and theorize theatre as a cultural practice that is not only local but in itsinstitutional manifestations inherently global. It is this focus on the institutional andglobal dimensions as opposed to its aesthetic and local specificities that marks aradical break with existing research paradigms.• to examine the role of theatre in its function and perception as a cultural institutionagainst the background of contemporary debates over the ‘crisis of modernization’and ‘multiple modernities’. In this sense theatre can be regarded as a paradigm forunderstanding how the dynamics and contradictions of modernization led to theemergence of new artistic institutions and the public spheres that support them.• At its most ambitious, the project will result in the establishment of a new subfieldof theatre and performance studies that could be termed – provisionally – globaltheatre histories. Over its five-year period it will demonstrate the ground-breakingpotential of this new approach and outline the interdisciplinary team-basedapproaches necessary to implement it.","Reinhart Koselleck-Projekte",2009,2016
101517826,"Deutsche Altertumswissenschaftler im amerikanischen Exil. Eine Rekonstruktion anhand der Akten des \"Emergency Committee in Aid of Displaced German Scholars\" und anderer Hilfsorganisationen","Dr. Hans Peter Obermayer","1640422","Wissenschaftsgeschichte","Förderung von 2008 bis 2011","Trotz ehrgeiziger Projekte auf den Gebieten der Wissenschaftsgeschichte und der Exilforschung fehlt im Bereich der Geisteswissenschaften eine umfassende Aufarbeitung der Schicksale deutschsprachiger Altertumswissenschaftler, die nach Hitlers Machtergreifung aus rassischen oder politischen Gründen entlassen und in die Emigration getrieben wurden. Ziel meines Forschungsprojektes ist eine detaillierte Darstellung der Geschichte der „German Refugee Classical Scholars , die versuchten mit Hilfe jüdischer und nichtjüdischer Hilfsorganisationen in den USA beruflich Fuß zu fassen. Der Standort New York ist unverzichtbare Voraussetzung und Bedingung für das Projekt; hier liegen die Akten der wichtigsten Hilfsorganisationen, die des „Emergency Committee in Aid of Displaced German Scholars , des „Oberländer Trusts der „Carl Schurz Memorial Foundation und der Rockefeller Foundation. Die Archive der Columbia University, der New York University und der „New School of Social Research , die die legendäre University of Exile ins Leben rief, liefern wertvolle Ergänzungen. Für ein erfolgreiches Abschliessen des Projektes ist eine Verlängemng der Förderungsdauer dringend notwendig. Während der intensiven Recherchen in den Archiven New Yorks und der Ostküste (siehe Arbeitsbericht) hat es sich in den letzten Monaten gezeigt, dass der Zeitplan des Erstantrages, der im Frühjahr 2008 auf der Grundlage des mir bis dahin bekannten Materials erstellt worden war, zu optimistisch und in dieser Form nicht zu halten war. Die Fülle von neuen wertvollen und überraschend ergiebigen Materialfunden machte es unumgänglich, die Konzeption der geplanten Monographie gründlich zu modifizieren und um wesentliche Abschnitte zu erweitern.(...)","Forschungsstipendien",2008,2011
101536924,"Überregionale Literaturversorgung der Frankreichkunde an der Universitätsbibliothek Mainz","Einzelsprachwissenschaften",NA,"Einzelsprachwissenschaften","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 101536924","Keine Zusammenfassung vorhanden","Informationsversorgung und FID (Wiss. Literaturversorgung und Informationssysteme)",1015,6924
101618900,"Digitalisierung von Beständen der Universitäts- und Landesbibliothek Düsseldorf - Das illustrierte Buch der Düsseldorfer Malerschule","Kunstgeschichte",NA,"Kunstgeschichte","Zur Homepage","Die Universitäts- und Landesbibliothek Düsseldorf (ULBD) plant, im Rahmen des beantragten Projekts ihre international einmalige Sammlung illustrierter Bücher der „Düsseldorfer Malerschule\" zu digitalisieren und in einem Internet-Portal der breiten Öffentlichkeit zu präsentieren. Die Bedeutung der Stadt Düsseldorf als Kunstmetropole im 19. Jahrhundert wurde wesentlich durch die nicht nur regional, sondern national und international bedeutsame Künstlerbewegung der „Düsseldorfer Malerschule\" geprägt. Neben den Akademien in Berlin, Dresden, Mannheim und München gehörte die Düsseldorfer Kunstakademie zu den führenden Ausbildungsstätten für bildende Künstler. Einen Schwerpunkt im Kunstbestand der ULB Düsseldorf bilden die illustrierten Bücher und Mappenwerke (ca. 250 Bände) namhafter Malerschüler wie Alfred Rethel, Caspar Scheuren, Adolph Schroedter, Benjamin Vautier u. a., durch deren Digitalisierung erstmals ein umfassender Überblick über die Buchillustration der „Düsseldorfer Malerschule\" ermöglicht werden kann. Die digitalisierten Bestände sollen für die interdisziplinäre Forschung und Lehre über das Internet zugänglich gemacht werden und somit einen repräsentativen Querschnitt des illustrativen Buchs der „Düsseldorfer Malerschule\" vermitteln. Das so präsentierte Datenmaterial wird Anlass bieten zu neuen weiterführenden Forschungen des illustrierten Buchs im 19. Jahrhundert.","Digitalisierung und Erschließung (Wiss. Literaturversorgung und Informationssysteme)",NA,NA
101721741,"FOR 1224: Bauweisen für CFK-Aluminium-Übergangsstrukturen im Leichtbau","Materialwissenschaft und Werkstofftechnik
Geisteswissenschaften
Maschinenbau und Produktionstechnik",NA,"Materialwissenschaft und Werkstofftechnik
Geisteswissenschaften
Maschinenbau und Produktionstechnik","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 101721741","In Leichtbaustrukturen finden zunehmend Kombinationen von Verbundwerkstoffen und leichten Metalllegierungen Verwendung, um die Bauteileigenschaften an die lokalen Anforderungen anzupassen. Zur gewichts- und prozessoptimierten Realisierung sind neue Arten der Verbindung notwendig. Ziel der Forschergruppe ist, integrale Übergangsstrukturen zwischen Aluminium und CFK (kohlenstofffaserverstärkter Kunststoff) zu entwickeln, die zu einer Reduzierung von Gewicht, Bauraum und der Fertigungsschritte sowie zu Vorteilen der optimierten Krafteinleitung führen. Die Forschergruppe nahm im Sommer 2010 ihre Arbeit auf. Drei der fünf Partner entwickeln neuartige Verbindungsarten unter Nutzung ihrer wissenschaftlichen Kernkompetenz und stellen diese her. Dabei kommen textiltechnische, schweißtechnische und gießtechnische Verfahren zum Einsatz. Die weiteren Partner unterstützen die Entwicklung in Form von experimentellen und numerischen Untersuchungen für die Validierung und Weiterentwicklung der Lösungen. Alle Partner stellten umfangreiche Recherchen in ihren Disziplinen an und starteten Vorversuche zur Überprüfung der Machbarkeit aller Konzepte. Anhand eines Konzeptes wurden erste Untersuchungen zu den Fertigungsprozessen, zur FE-Modellierung und zum Bruchverhalten entkoppelter Verbindungszonen in der CFK-Aluminium-Übergangsstruktur unter statischer Last durchgeführt. Hier wird die Übergangsstruktur durch Titandrahtschlaufen realisiert. Dabei werden die Drahtschlaufen an das CFK textiltechnisch und an das Aluminium durch Laserstrahlschweißen bzw. durch Gießen angebunden. Die gewonnenen Erkenntnisse aus den Untersuchungen dienen als Basis zur Erarbeitung von interdisziplinären Spezifikationen für alle Konzepte. Aufgrund der großen Gestaltungsfreiheit und der Vielzahl von Fertigungs- und Materialparametern werden die Lösungen im Laufe des Vorhabens sukzessive verbessert werden. Als Ergebnisse der ersten Projektphase liegen Verbindungen vor, die für statische Belastungen optimiert sind, sowie Konzepte zur Fertigung der Verbindungen und die Untersuchung der Korrosionssicherheit. Weitere Aufgaben in einer möglichen zweiten Phase sind, ausgewählte Lösungen für unterschiedliche Anwendungen weiterzuentwickeln sowie die Optimierung der Konstruktionen für dynamische Lasten.","Forschungsgruppen",1017,1741
101721958,"Das Spiel als bildungstheoretische Dimension der Religionspädagogik","Dr. Oliver Kliss","101721943","Evangelische Theologie","Förderung von 2008 bis 2009","Die Arbeit untersucht in fünf Abschnitten theologische Texte daraufhin, ob die in ihnen begegnende Rede von.„Spiel\" -und „spielen\" Vorgänge beschreibt, die als— Bildungsprozesse verstanden werden können. Die Texte sind die Bibel, das Gesamtwerk Luthers, ausgewählte Schriften von Comenius, der überwiegende Teil des Werks von Schleiermacher sowie ausgewählte systematisch-theologische Entwürfe des 20. Jahrhunderts. Die Einleitung entfaltet unter anderem das der Arbeit zugrundegelegte Bildungsverständnis, im Ergebnisteil wird der rekonstruierte theologische Spielbegriff mit einem pädagogischen kontrastiert. Schließlich werden dort auch neuere religionsdidaktische Entwürfe auf ihr Spielverständnis hin befragt und die Berücksichtigung des in der Untersuchung erarbeiteten Verständnisses des Spiels als bildungstheoretische Dimension der Religionspädagogik empfohlen.","Publikationsbeihilfen",2008,2009
102028687,"Außensicht vs. Innensicht: Rekonstruktion und vergleichende Kritik der Philosophien der Psychologie von Husserl und Wittgenstein","Professor Dr. Uwe Meixner","1442523","Theoretische Philosophie","Förderung von 2008 bis 2013","Die philosophische Psychologie (als Disziplin) verfügt über zwei Weisen des erkennenden Zugangs zu ihrem Gegenstand: die internalistische und die externalistische (auch bekannt als first-person point of view und third-person point of view). De facto - wie der Philosophiegeschichte der Neuzeit einschließlich des 20. Jahrhunderts zu entnehmen ist - stehen sich die beiden Zugänge konträr gegenüber, blicken sie doch weltanschaulich in entgegengesetzte Richtungen: der Internalismus zum Dualismus, ja zum Idealismus, der Externalismus zum Materialismus. Nicht zuletzt durch den gewaltigen Einfluss von Wittgensteins Philosophischen Untersuchungen erlangte der Externalismus im 20. Jahrhundert - nach jahrhundertelanger Hegemonie des Internalismus - ein massives Übergewicht, wodurch die gegenwärtige Philosophie des Geistes vollständig geprägt ist. In dem geplanten Forschungsvorhaben soll den erkenntnistheoretischen und sprachphilosophischen Argumenten Wittgensteins im Detail kritisch nachgegangen werden, und zwar in durchgängiger Gegenüberstellung zu den ausgefeilten Konzeptionen des letzten großen Vertreters des Internalismus, Edmund Husserl. Die folgenden Fragen sollen umfassend beantwortet werden: Ist Wittgensteins Kritik an einer Psychologie aus der Innenperspektive - der Perspektive der husserlschen Phänomenologie - in allen Punkten durchschlagend? Wenn nicht, inwieweit ist dann Wittgensteins Kritik berechtigt und inwieweit ist sie es nicht, oder anders gefragt: inwieweit behält die Innenperspektive in der Psychologie gegenüber der Außenperspektive doch ihr Recht? Schließlich: Wie lassen sich Internalismus und Externalismus sinnvoll zusammenführen, sich ihren - doch wohl auf beiden Seiten vorhandenen - Einseitigkeiten entheben?","Sachbeihilfen",2008,2013
102110212,"3 D Laser Vermessung der buddhistischen Klosteranlage Takht-i Bahi als Grundlage für eine virtuelle Rekonstruktion im Rahmen neuer morphologischer Untersuchungen","Professor Dr.-Ing. Michael Jansen","1439346","Ägyptische und Vorderasiatische Altertumswissenschaften","Förderung von 2008 bis 2012","Die buddhistische Klosteranlage Takht-i-Bahi ist auf der Liste des UNESCO Weltkulturerbes als ein besonders authentisches Beispiel der Kunst und Kultur Gandharas eingetragen. Die Blütezeit Gandharas fällt in das 2.-3. Jh. n. Chr., in welcher im heutigen Grenzgebiet von Afghanistan zum Nordwesten Pakistans eine einmalige Verschmelzung klassischer Ideale der westlichen antiken Welt mit der zeitgenössischen Religiosität des indischen Subkontinents stattgefunden hat. Die Epoche ist geprägt von einer Phase der Neu-Orientierung der buddhistischen Glaubensvorstellung unter dem Patronat königlicher Autoritäten. Die neue Schule des Mahayana personalisiert die Figur Buddhas als transzendentes Wesen und institutionalisiert eine Form der Heiligen- und Reliquienverehrung innerhalb großer Klostergemeinschaften, die sich zu Wallfahrts- und Pilgerorten zum Zwecke der Buddhaverehrung entwickeln. Auf der Basis von Hochauflösenden Messdaten untersucht das Projekt die Steinbearbeitung, die Konstruktion und das Dekor sowie die funktionalen Zusammenhänge des architektonischen Raumprogramms hinsichtlich der Abhängigkeit zu den stadt- und landschaftsräumlichen Besonderheiten der hügeligen Anlage Takht-i-Bahi anhand von historischen Dokumentationen und neueren Satellitenaufnahmen. Die mithilfe eines 3D Laserscanners mit integrierter Digitalkamera erzeugten Messdaten werden in ein virtuelles Modell überführt, um auf der Basis exakter Geometrien Hypothesen zur ursprünglichen Morphologie und Konstruktion der Anlage zu überprüfen. Ergebnisse der Arbeit werden im Rahmen der int. Ausstellung „Gandhara - Das buddhistische Erbe Pakistans“ in der Ausstellungshalle der Bundesrepublik Deutschland präsentiert.","Sachbeihilfen",2008,2012
102437968,"Das Augustana-Jubiläum von 1830 als Kulminationspunkt der Ausbildung moderner theologischer Positionen während der europäischen Sattelzeit","Privatdozent Dr. Johannes Hund","102437965","Evangelische Theologie","Förderung von 2009 bis 2014","Das Vorhaben geht von der Arbeitshypothese aus, dass das dreihundertjährige Jubiläum der Augsburger Konfession im Jahre 1830 in seiner theologischen Beschäftigung mit der reformatorischen Tradition in Zustimmung oder deren Ablehnung zu einer Beschleunigung und einem Höhepunkt der unterschiedlichen, sich teils gegenseitig ausschließenden modernen theologischen Positionen im Kontext der allgemeinen politischen und gesellschaftlichen Umbrüche der europäischen Sattelzeit führte. So feierte die ältere, noch voll im Geiste der Aufklärung stehende Generation die Reformation beim Jubelfest 1830 als Beginn der Befreiung Europas aus den Fesseln des Papsttums hin zum vollen Vernunftgebrauch, als „Morgenstern der Aufklärung“.1 Innerhalb dieser Gruppe gab es indes auch Stimmen, die dem Augsburger Bekenntnis keinerlei positive Funktion mehr zuerkannten, es als „alte halb verfallene Burg“2 abreißen und an seine Stelle ein gereinigtes, einzig an den Kriterien der Vernunftgemäßheit orientiertes neues, rationalistisches Bekenntnis setzen wollten. Gegen diese als zu einseitig empfundene Hochschätzung der Vernunft formierte sich in den ersten Jahrzehnten des 19. Jahrhunderts, auch als Reaktion auf die als Gericht Gottes empfundenen Revolutionskriege Napoleons, eine innerkirchliche Erweckungsbewegung, von der ein Teil im Kontext des Augustana-Jubiläums unter deutlicher Abgrenzung gegen den Rationalismus eine stärkere Bindung an dieses Bekenntnis als „Augapfel aller Rechtgläubigen“3 forderte. Neben diesen drei exemplarisch dargestellten gab es eine Fülle weiterer Positionsbestimmungen, etwa die idealistische Variante bei Schleiermacher und Hegel, und natürlich auch Mischformen. Das Forschungsprojekt wird nach der Funktion des Augustana-Jubiläums für die Entwicklung unterschiedlicher Positionen in der Auseinandersetzung mit dem reformatorischen Bekenntnis fragen. Dabei wird davon ausgegangen, dass das Augustana-Jubiläum wie ein Prisma die vorhandenen theologiegeschichtlichen Positionen gebündelt und neu geordnet hat und während der europäischen Sattelzeit zwischen Früher Neuzeit und Moderne als eine Art Katalysator die Positionsbestimmung für die moderne theologische Welt beschleunigt hat.","Sachbeihilfen",2009,2014
102458673,"Schreibweisen des Selbst. Zur Geschichte der Wahrnehmungen und Darstellungen von Körper und Gemüt um 1830","Dr. Bettina Brockmeyer","46690637","Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)","Förderung von 2008 bis 2012","In der Studie werden Selbstzeugnisse aus der ersten Hälfte des 19. Jahrhunderts untersucht, die neue, zum Teil ungewöhnlich intime Einblicke in Empfindungen, Erlebnisse und Alltagswelten von Frauen und Männern verschiedener sozialer Schichten im deutschsprachigen Raum gewähren. Diese Einblicke kommen unter anderem durch ein Quellenkorpus zustande, das bislang ausschließlich medizinhistorisch betrachtet wurde: Briefe von Ratsuchenden an den Begründer der Homöopathie, Samuel Hahnemann (1755- 1843). Verschiedene Themenfelder werden herausgearbeitet und analysiert: die Diätetik als ein zeitgenössisch bedeutsames (antikes) Lebenskonzept, Geschlechterrollen, Religion bzw. Gottesbezug, die Geschlechtlichkeit, die Körperfunktionen, hier besonders die Ausscheidungen, und schließlich der Umgang mit dem Sterben von Angehörigen. Die Studie fuhrt zu Ergebnissen auf zwei Ebenen. Erstens werden zeitgenössische Alltagspraktiken und Selbstwahrnehmungen und zweitens Zugänge zu historischen Subjektivitäten erschlossen. Diese Subjektivitäten erweisen sich als kontextgebunden, veränderlich und relational. Statt der Genese eines modernen westlichen Individuums zeigt sich die Heterogenität historischer Selbstentwürfe.","Publikationsbeihilfen",2008,2012
102459029,"Verkehrswege und ihre Sicherung in Kaukasien: ein Integrationsproblem des Zarenreichs 1780 bis 1860","Professor Dr. Dietmar Neutatz","1201197","Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)","Förderung von 2009 bis 2013","Das größte Land der Welt benötigte rund 90 Jahre, um sich den gebirgigen Grenzsaum in seinem Süden einzuverleiben. Seine Mittel dazu waren über die meiste Zeit beschränkt. Daher entwickelte die Führung eine Stützpunktstrategie, die auf ausgedehnten, ständig bedrohten Verkehrsverbindungen beruhte und die indigenen Bevölkerungen auf die eine oder andere Weise einbezog. Für Jahrzehnte bewährte sich diese Lösung in einem naturräumlich schwierigen Gebiet, das bis zur Mitte des 19. Jahrhunderts das begehrte Objekt dreier Mächte bildete, von denen Russland der modernste Staat war. Das Projekt verortet sich im Kontext der Forschung zu Kolonisierungsprozessen und Integrationsstrategien multiethnischer Großreiche. Es untersucht die militärisch-verkehrstechnische Seite von Einverleibung und Herrschaft, die Politik zur Raumsicherung und zum Unterhalt der Kommunikationen. Es soll gezeigt werden, wie in der Zeit vor dem Eisenbahnbau die Verkehrsanbindung kaukasischer Territorien an das Russische Reich funktionierte und wie sie sich auf die Integration der verschiedenen kaukasischen Gebiete auswirkte.","Sachbeihilfen",2009,2013
102500228,"Wege zur Verbindlichkeit. Studien zum deutschen Roman um 1300 und zur Entwicklung historisierender Epik im 13. Jahrhundert","Professor Dr. Mathias Herweg","1769074","Ältere deutsche Literatur","Förderung von 2008 bis 2010","Die Habilitationsschrift zielt auf eine kultur- und literaturgeschichtliche Ortsbestimmung des erst in jüngerer Zeit in den Fokus der Forschung getretenen höfischen Romans um 1300. Sie sucht seine Position in der Gattungsgeschichte des mittelalterlichen Versromans sowie zwischen den Polen von Fiktion und Geschichte genauer (und in entscheidenden Belangen abweichend von bisherigen Einschätzungen) zu markieren.Die fünf überaus umfangreichen, in den Jahrzehnten um 1300 entstandenen Texte werden dabei erstmals als literarische Reihe perspektiviert, in der sich drei Leitdiskurse als typusprägende Konstanten herauskristallisieren: Dynastie und Herkommen, Land und Herrschaft sowie enzyklopädisches Erzählen.In der seit jeher strittigen und bislang nur unbefriedigend gelösten Gattungsfrage wird für die genannten Texte anstelle der wenig distinkten und auf höchst disparate Corpora angewandten Bezeichnung 'Minne- und Aventiureroman' der Begriff 'Fürsten- und Herrschaftsroman' zur Diskussion gestellt.Ein weiterer übergreifender Akzent der Arbeit liegt in der kritischen Auseinandersetzung mit dem mediävistischen Fiktions- und Fiktionalitätsbegriff, wobei auch Analog- und Komplementärphänomene in der volkssprachigen Chronistik erörtert werden. Im Ausblick rückt schließlich die Frage des Gattungsabbruchs nach 1300 in neues Licht: Seit Mitte des 13. Jahrhunderts hatten sich Roman und Chronistik deutlich aufeinander zu bewegt, wovon offenkundig die sinn- und heilsgesättigte Chronistik auf Dauer mehr profitierte als der 'unverbindliche', stets dem Lügenvorwurf ausgesetzte Roman: Dieser versiegt um 1315 als produktives Genre, während zugleich jene zeitweise zur epischen Leitgattung aufsteigt.","Publikationsbeihilfen",2008,2010
102631349,"Das frühneuzeitliche deutsche Reich als politisches Referenzsystem des amerikanischen Förderalismus im Entstehungsprozess der USA (1751-1788)","Professor Dr. Johannes Burkhardt; Professor Dr. Volker Depkat","1359256","Frühneuzeitliche Geschichte","Förderung von 2009 bis 2014","Ziel des vorliegenden Forschungsantrags ist die bisher vernachlässigte Untersuchung und Dokumentation des besonderen Status des frühneuzeitlichen deutschen Reiches als politisches Referenzsystem des amerikanischen Föderalismus im Entstehungsprozeß der USA (1751-1788). Auf der Grundlage von bislang in der Frühneuzeitforschung wie von der Amerika-Historiographie übersehenen, aber außerordentlich reichhaltigen und aussagekräftigen Quellenbeständen ist die Erforschung folgender Zusammenhänge beabsichtigt: 1.) Der kurz vor und während des Siebenjährigen Krieges von Benjamin Franklin angeregte Diskurs über die Möglichkeit eines freiwilligen Zusammenschlusses der britischen Kolonien Nordamerikas, auch unter – zunächst noch spärlicher – Bezugnahme auf das frühneuzeitliche deutsche Reich (1751-1763). 2.) Franklins nach Ende des Siebenjährigen Krieges intensiv geführtes Gespräch mit dem deutschen Reichsjuristen Johann Stephan Pütter über die Verfassung der “Germanic Confederation” (Franklin, 1776), die dann bis zur Unabhängigkeitserklärung (1776) und Annahme der Konföderationsartikel (1777/81) zu einer festen politischen Referenzgröße der amerikanischen Gründerväter wurde (1764- 1777). 3.) Die vor, während und nach Annahme der US-Verfassung von 1787 geführte Debatte amerikanischer Föderalisten über den bundesstaatlichen Charakter der USA, den James Madison im Oktober 1787 in einem Brief an Thomas Jefferson explizit als Variante des frühneuzeitlichen deutschen Reiches definierte (1778-1788). – Im Ergebnis soll gezeigt werden, daß auch die in einem revolutionären Entstehungsakt begründeten USA nicht ohne Rekurs auf eingeführte europäische Verfassungsordnungen auskommen konnten und daß sich dabei die föderative Organisationsform des – von amerikanischen Föderalisten als ‚Staat‘ bezeichneten – frühneuzeitlichen deutschen Reiches als besonders hilfreich erwies.","Sachbeihilfen",2009,2014
102827715,"Pflege der zwischen den Kunstbibliotheken vereinbarten Sammelschwerpunkte","Kunstgeschichte",NA,"Kunstgeschichte","Deutsche Forschungsgemeinschaft (DFG) - Projektnummer 102827715","Der Antrag gehört in das Förderprogramm: \"Überregionale Literaturversorgung\". In diesem Programm unterstützt die Deutsche Forschungsgemeinschaft das System der Sondersammelgebiete (SSG) an wissenschaftlichen Bibliotheken in Deutschland. Die beteiligten Bibliotheken erwerben nach einer festgelegten Verteilung der fachlichen Zuständigkeiten in- und ausländische wissenschaftliche Publikationen aus allen Disziplinen. Ziel der kooperativen Erwerbung ist es, dass jedes wissenschaftlich relevante Werk wenigstens einmal in Deutschland vorhanden ist, erschlossen wird und auch langfristig überregional bereitgestellt werden kann. Das SSG-System umfasst heute insgesamt 110 fachlich und regional definierte Sammelschwerpunkte, die an 36 Bibliotheken betreut werden (http://webis.sub.uni-hamburg.de). Von der DFG erhalten 27 Bibliotheken (mit 85 Sammelschwerpunkten, Stand 2012) eine laufende Förderung aus dem Programm „Überregionale Literaturversorgung\". Aus diesen Mitteln werden 75 Prozent der Ausgaben für ausländische Veröffentlichungen finanziert. Alle übrigen Kosten - u. a. für die Erwerbung deutscher Veröffentlichungen des jeweiligen Sammelschwerpunktes und für den Personalaufwand -tragen die Bibliotheken selbst.","Informationsversorgung und FID (Wiss. Literaturversorgung und Informationssysteme)",1028,7715
103012103,"Historische und literarisch - ästhetische Kommentierung des Buches Exodus","Professor Dr. Wolfgang Oswald; Professor Dr. Helmut Utzschneider","53551996","Evangelische Theologie","Förderung von 2009 bis 2012","Die Bibelwissenschaft ist seit etwa 40 Jahren durch eine Frontstellung zwischen literarhistorischen („diachronen“) und literarisch–ästhetischen („synchronen“) Zugängen geprägt. Unter dem Einfluss außertheologischer Fragestellungen wie Textlinguistik, Rezeptionsästhetik und Erzählforschung gewannen – zunächst im anglophonen Bereich aber auch in Israel – neue literaturwissenschaftliche Methoden an Boden, die in der literarhistorisch orientierten Wissenschaftstradition des deutschen Sprachraums nur sehr zögernd rezipiert, ja bisweilen abgelehnt werden. Verantwortet durch eine internationale, interkonfessionelle und interreligiöse Herausgeberschaft und getragen durch den Kohlhammer-Verlag, Stuttgart, in Kooperation mit dem Verlag Eisenbrauns Inc., Winona Lake, IN, ist nun eine Kommentarreihe zum AT (International Exegetical Commentary on the Old Testament: IECOT / Internationaler Exegetischer Kommentar zum Alten Testament: IEKAT) im Entstehen begriffen, zu dessen wissenschaftlichen Zielen „die Verknüpfung synchroner und diachroner Perspektiven in der Textanalyse“1 gehört. Antragsteller und Mitantragsteller haben die gemeinsame Autorschaft für die Kommentierung des Buches Exodus angeboten bekommen. Der erste Teilband dieses Kommentars soll bereits 2012 erscheinen und hat somit eine Pilotfunktion für das gesamte Projekt. Grund und Gegenstand des Antrages ist es, Antragsteller und Mitantragsteller die nötigen zeitlichen und institutionellen Freiräume für die Abfassung des ersten Teilbandes (Ex 1–15) zu schaffen.","Sachbeihilfen",2009,2012
